Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,0.46,87.07,SELL,2.22,-86.23,-86.74
01-11-2024,0.45,86.55,SELL,4.65,-86.53,-87.29
01-10-2024,0.43,85.48,SELL,26.47,-87.13,-87.61
01-09-2024,0.34,78.22,SELL,6.25,-89.82,-90.00
01-08-2024,0.32,75.71,SELL,6.67,-90.42,-90.80
01-05-2024,0.30,72.81,HOLD,3.45,-91.02,-91.30
01-04-2024,0.29,71.21,HOLD,0.00,-91.32,-91.57
01-03-2024,0.29,71.21,HOLD,31.82,-91.32,-91.85
01-02-2024,0.22,55.37,HOLD,0.00,-93.41,-93.41
12-29-2023,0.22,55.37,HOLD,22.22,-93.41,0.00
12-28-2023,0.18,38.78,HOLD,0.00,-94.61,0.00
12-27-2023,0.18,38.78,HOLD,5.88,-94.61,0.00
12-26-2023,0.17,33.45,HOLD,0.00,-94.91,0.00
12-22-2023,0.17,33.45,HOLD,0.00,-94.91,0.00
12-21-2023,0.17,33.45,HOLD,6.25,-94.91,0.00
12-20-2023,0.16,28.46,HOLD,0.00,-95.21,0.00
12-19-2023,0.16,28.46,HOLD,0.00,-95.21,0.00
12-18-2023,0.16,28.46,HOLD,-5.88,-95.21,0.00
12-15-2023,0.17,30.28,HOLD,-5.56,-94.91,0.00
12-14-2023,0.18,32.19,HOLD,0.00,-94.61,0.00
12-13-2023,0.18,32.19,HOLD,0.00,-94.61,0.00
12-12-2023,0.18,32.19,HOLD,-10.00,-94.61,0.00
12-11-2023,0.20,35.80,HOLD,-4.76,-94.01,0.00
12-08-2023,0.21,37.77,HOLD,0.00,-93.71,0.00
12-07-2023,0.21,37.77,HOLD,0.00,-93.71,0.00
12-06-2023,0.21,37.77,HOLD,-4.55,-93.71,0.00
12-05-2023,0.22,39.51,HOLD,0.00,-93.41,0.00
12-04-2023,0.22,39.51,HOLD,4.76,-93.41,0.00
12-01-2023,0.21,37.01,HOLD,0.00,-93.71,0.00
11-30-2023,0.21,37.01,HOLD,-4.55,-93.71,0.00
11-29-2023,0.22,38.38,HOLD,4.76,-93.41,0.00
11-28-2023,0.21,36.18,HOLD,-4.55,-93.71,0.00
11-27-2023,0.22,37.42,HOLD,-4.35,-93.41,0.00
11-24-2023,0.23,38.65,HOLD,0.00,-93.11,0.00
11-22-2023,0.23,38.65,HOLD,-4.17,-93.11,0.00
11-21-2023,0.24,39.77,HOLD,0.00,-92.81,0.00
11-20-2023,0.24,39.77,HOLD,-7.69,-92.81,0.00
11-17-2023,0.26,41.87,HOLD,-3.70,-92.22,0.00
11-16-2023,0.27,42.92,HOLD,0.00,-91.92,0.00
11-15-2023,0.27,42.92,HOLD,-3.57,-91.92,0.00
11-14-2023,0.28,43.87,HOLD,12.00,-91.62,0.00
11-13-2023,0.25,40.18,HOLD,8.70,-92.51,0.00
11-10-2023,0.23,37.65,HOLD,0.00,-93.11,0.00
11-09-2023,0.23,37.65,HOLD,-8.00,-93.11,0.00
11-08-2023,0.25,39.07,HOLD,0.00,-92.51,0.00
11-07-2023,0.25,39.07,HOLD,0.00,-92.51,0.00
11-06-2023,0.25,39.07,HOLD,4.17,-92.51,0.00
11-03-2023,0.24,38.13,HOLD,9.09,-92.81,0.00
11-02-2023,0.22,36.31,HOLD,-4.35,-93.41,0.00
11-01-2023,0.23,36.81,HOLD,15.00,-93.11,0.00
10-31-2023,0.20,34.27,HOLD,5.26,-94.01,0.00
10-30-2023,0.19,33.44,HOLD,-5.00,-94.31,0.00
10-27-2023,0.20,33.84,HOLD,-9.09,-94.01,0.00
10-26-2023,0.22,34.60,HOLD,0.00,-93.41,0.00
10-25-2023,0.22,34.60,HOLD,-21.43,-93.41,0.00
10-24-2023,0.28,36.74,HOLD,7.69,-91.62,0.00
10-23-2023,0.26,35.50,HOLD,-3.70,-92.22,0.00
10-20-2023,0.27,35.83,HOLD,35.00,-91.92,0.00
10-19-2023,0.20,31.78,HOLD,53.85,-94.01,0.00
10-18-2023,0.13,27.53,HOLD,-40.91,-96.11,0.00
10-17-2023,0.22,29.74,HOLD,-66.15,-93.41,0.00
10-16-2023,0.65,46.21,HOLD,0.00,-80.54,0.00
10-13-2023,0.65,46.21,HOLD,-16.67,-80.54,0.00
10-12-2023,0.78,54.00,HOLD,-4.88,-76.65,0.00
10-11-2023,0.82,56.74,HOLD,9.33,-75.45,0.00
10-10-2023,0.75,52.86,HOLD,20.97,-77.54,0.00
10-09-2023,0.62,44.23,HOLD,14.81,-81.44,0.00
10-06-2023,0.54,37.72,HOLD,0.00,-83.83,0.00
10-05-2023,0.54,37.72,HOLD,1.89,-83.83,0.00
10-04-2023,0.53,36.93,HOLD,-1.85,-84.13,0.00
10-03-2023,0.54,37.37,HOLD,14.89,-83.83,0.00
10-02-2023,0.47,32.09,HOLD,4.44,-85.93,0.00
09-29-2023,0.45,30.53,HOLD,-2.17,-86.53,0.00
09-28-2023,0.46,30.86,HOLD,-9.80,-86.23,0.00
09-27-2023,0.51,32.48,HOLD,18.60,-84.73,0.00
09-26-2023,0.43,26.76,BUY,10.26,-87.13,0.00
09-25-2023,0.39,23.77,BUY,-33.90,-88.32,0.00
09-22-2023,0.59,29.34,HOLD,-6.35,-82.34,0.00
09-21-2023,0.63,30.68,HOLD,-10.00,-81.14,0.00
09-20-2023,0.70,33.13,HOLD,-2.78,-79.04,0.00
09-19-2023,0.72,33.84,HOLD,2.86,-78.44,0.00
09-18-2023,0.70,32.49,HOLD,4.48,-79.04,0.00
09-15-2023,0.67,30.50,HOLD,-2.90,-79.94,0.00
09-14-2023,0.69,31.07,HOLD,13.11,-79.34,0.00
09-13-2023,0.61,25.96,BUY,0.00,-81.74,0.00
09-12-2023,0.61,25.96,BUY,0.00,-81.74,0.00
