Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,75.61,75.05,SELL,1.97,6.40,2023
01-09-2023,74.15,71.29,SELL,0.11,4.35,2023
01-06-2023,74.07,71.07,SELL,2.95,4.24,2023
01-05-2023,71.95,64.28,HOLD,0.57,1.25,2023
01-04-2023,71.54,62.71,HOLD,0.68,0.68,2023
01-03-2023,71.06,60.84,HOLD,-0.20,0.00,2023
12-30-2022,71.20,61.68,HOLD,0.15,,2022
12-29-2022,71.09,61.29,HOLD,0.65,,2022
12-28-2022,70.63,59.70,HOLD,-1.12,,2022
12-27-2022,71.43,63.94,HOLD,0.90,,2022
12-23-2022,70.79,61.93,HOLD,0.71,,2022
12-22-2022,70.29,60.33,HOLD,-0.64,,2022
12-21-2022,70.74,62.53,HOLD,1.59,,2022
12-20-2022,69.63,59.11,HOLD,1.12,,2022
12-19-2022,68.86,56.56,HOLD,-0.82,,2022
12-16-2022,69.43,59.09,HOLD,-1.45,,2022
12-15-2022,70.45,63.85,HOLD,-0.38,,2022
12-14-2022,70.72,65.14,HOLD,-1.24,,2022
12-13-2022,71.61,69.43,HOLD,0.67,,2022
12-12-2022,71.13,68.39,HOLD,-1.88,,2022
12-09-2022,72.49,75.13,SELL,0.96,,2022
12-08-2022,71.80,73.92,SELL,2.79,,2022
12-07-2022,69.85,70.10,SELL,-0.70,,2022
12-06-2022,70.34,72.58,SELL,1.27,,2022
12-05-2022,69.46,70.86,SELL,-0.52,,2022
12-02-2022,69.82,72.59,SELL,0.93,,2022
12-01-2022,69.18,71.44,SELL,0.79,,2022
11-30-2022,68.64,70.46,SELL,1.15,,2022
11-29-2022,67.86,69.05,HOLD,4.08,,2022
11-28-2022,65.20,63.53,HOLD,-0.81,,2022
11-25-2022,65.73,65.70,HOLD,-0.62,,2022
11-23-2022,66.14,67.35,HOLD,1.44,,2022
11-22-2022,65.20,65.50,HOLD,1.43,,2022
11-21-2022,64.28,63.63,HOLD,-1.40,,2022
11-18-2022,65.19,66.96,HOLD,0.40,,2022
11-17-2022,64.93,66.50,HOLD,0.65,,2022
11-16-2022,64.51,65.78,HOLD,-1.18,,2022
11-15-2022,65.28,68.29,HOLD,1.62,,2022
11-14-2022,64.24,66.69,HOLD,-0.73,,2022
11-11-2022,64.71,68.13,HOLD,6.41,,2022
11-10-2022,60.81,61.78,HOLD,4.22,,2022
11-09-2022,58.35,56.73,HOLD,-1.97,,2022
11-08-2022,59.52,60.24,HOLD,1.81,,2022
11-07-2022,58.46,58.06,HOLD,0.21,,2022
11-04-2022,58.34,57.81,HOLD,10.03,,2022
11-03-2022,53.02,44.54,HOLD,0.45,,2022
11-02-2022,52.78,43.80,HOLD,-3.98,,2022
11-01-2022,54.97,49.39,HOLD,3.04,,2022
10-31-2022,53.35,44.52,HOLD,0.98,,2022
10-28-2022,52.83,42.89,HOLD,-3.51,,2022
10-27-2022,54.75,47.71,HOLD,-3.80,,2022
10-26-2022,56.91,54.06,HOLD,3.38,,2022
10-25-2022,55.05,48.59,HOLD,1.77,,2022
10-24-2022,54.09,45.47,HOLD,-2.65,,2022
10-21-2022,55.56,49.76,HOLD,4.18,,2022
10-20-2022,53.33,42.07,HOLD,-0.76,,2022
10-19-2022,53.74,43.20,HOLD,-1.77,,2022
10-18-2022,54.71,45.90,HOLD,-0.85,,2022
10-17-2022,55.18,47.24,HOLD,2.74,,2022
10-14-2022,53.71,42.38,HOLD,-4.82,,2022
10-13-2022,56.43,50.34,HOLD,1.77,,2022
10-12-2022,55.45,47.01,HOLD,-1.26,,2022
10-11-2022,56.16,49.23,HOLD,-2.26,,2022
10-10-2022,57.46,53.53,HOLD,0.28,,2022
10-07-2022,57.30,53.06,HOLD,0.23,,2022
10-06-2022,57.17,52.70,HOLD,-2.67,,2022
10-05-2022,58.74,57.65,HOLD,-0.86,,2022
10-04-2022,59.25,59.33,HOLD,3.95,,2022
10-03-2022,57.00,53.81,HOLD,3.52,,2022
09-30-2022,55.06,48.18,HOLD,-0.22,,2022
09-29-2022,55.18,48.52,HOLD,2.43,,2022
09-28-2022,53.87,44.56,HOLD,2.84,,2022
09-27-2022,52.38,39.65,HOLD,2.26,,2022
09-26-2022,51.22,35.53,HOLD,-1.80,,2022
09-23-2022,52.16,37.45,HOLD,-5.76,,2022
09-22-2022,55.35,45.17,HOLD,4.00,,2022
09-21-2022,53.22,37.14,HOLD,-3.43,,2022
09-20-2022,55.11,42.24,HOLD,-2.13,,2022
09-19-2022,56.31,45.96,HOLD,2.07,,2022
09-16-2022,55.17,41.41,HOLD,-0.33,,2022
09-15-2022,55.35,41.92,HOLD,-1.51,,2022
09-14-2022,56.20,44.36,HOLD,-0.85,,2022
09-13-2022,56.68,45.75,HOLD,-3.67,,2022
09-12-2022,58.84,52.65,HOLD,1.57,,2022
09-09-2022,57.93,49.68,HOLD,4.68,,2022
09-08-2022,55.34,39.68,HOLD,1.86,,2022
09-07-2022,54.33,35.00,HOLD,-1.00,,2022
09-06-2022,54.88,36.43,HOLD,0.72,,2022
09-02-2022,54.49,34.67,HOLD,0.28,,2022
09-01-2022,54.34,34.02,HOLD,-3.46,,2022
08-31-2022,56.29,38.67,HOLD,-0.85,,2022
08-30-2022,56.77,39.92,HOLD,-4.17,,2022
08-29-2022,59.24,47.20,HOLD,-0.79,,2022
08-26-2022,59.71,48.77,HOLD,-0.76,,2022
08-25-2022,60.17,50.29,HOLD,1.78,,2022
08-24-2022,59.12,46.77,HOLD,-3.24,,2022
08-23-2022,61.10,53.38,HOLD,3.68,,2022
08-22-2022,58.93,45.55,HOLD,0.17,,2022
08-19-2022,58.83,45.15,HOLD,-2.74,,2022
08-18-2022,60.49,50.83,HOLD,1.39,,2022
08-17-2022,59.66,47.78,HOLD,-2.16,,2022
08-16-2022,60.98,52.60,HOLD,4.22,,2022
08-15-2022,58.51,42.53,HOLD,-2.81,,2022
08-12-2022,60.20,49.17,HOLD,0.37,,2022
08-11-2022,59.98,48.19,HOLD,-2.80,,2022
08-10-2022,61.71,56.05,HOLD,0.60,,2022
08-09-2022,61.34,54.58,HOLD,0.89,,2022
08-08-2022,60.80,52.42,HOLD,0.18,,2022
08-05-2022,60.69,51.99,HOLD,2.31,,2022
08-04-2022,59.32,46.36,HOLD,0.24,,2022
08-03-2022,59.18,45.76,HOLD,-0.20,,2022
08-02-2022,59.30,46.17,HOLD,-1.58,,2022
08-01-2022,60.25,49.45,HOLD,-1.28,,2022
07-29-2022,61.03,52.29,HOLD,1.92,,2022
07-28-2022,59.88,48.23,HOLD,0.77,,2022
07-27-2022,59.42,46.53,HOLD,0.52,,2022
07-26-2022,59.11,45.42,HOLD,-0.94,,2022
07-25-2022,59.67,47.07,HOLD,3.77,,2022
07-22-2022,57.50,39.12,HOLD,-0.05,,2022
07-21-2022,57.53,39.19,HOLD,0.40,,2022
07-20-2022,57.30,38.35,HOLD,-0.26,,2022
07-19-2022,57.45,38.67,HOLD,1.43,,2022
07-18-2022,56.64,35.94,HOLD,2.22,,2022
07-15-2022,55.41,31.64,HOLD,1.34,,2022
07-14-2022,54.68,29.01,BUY,-5.89,,2022
07-13-2022,58.10,34.83,HOLD,1.54,,2022
07-12-2022,57.22,31.55,HOLD,-1.02,,2022
07-11-2022,57.81,32.57,HOLD,-2.20,,2022
07-08-2022,59.11,34.88,HOLD,-0.64,,2022
07-07-2022,59.49,35.57,HOLD,3.89,,2022
07-06-2022,57.26,27.85,BUY,-0.03,,2022
07-05-2022,57.28,27.88,BUY,-4.26,,2022
07-01-2022,59.83,31.62,HOLD,-1.92,,2022
06-30-2022,61.00,33.53,HOLD,-3.07,,2022
06-29-2022,62.93,36.95,HOLD,-0.52,,2022
06-28-2022,63.26,37.56,HOLD,0.38,,2022
06-27-2022,63.02,36.86,HOLD,0.48,,2022
06-24-2022,62.72,36.02,HOLD,3.14,,2022
06-23-2022,60.81,30.59,HOLD,-3.03,,2022
06-22-2022,62.71,33.19,HOLD,-4.11,,2022
06-21-2022,65.40,37.38,HOLD,1.33,,2022
06-17-2022,64.54,34.94,HOLD,-5.14,,2022
06-16-2022,68.04,40.96,HOLD,-2.13,,2022
06-15-2022,69.52,43.93,HOLD,3.11,,2022
06-14-2022,67.42,38.01,HOLD,-2.02,,2022
06-13-2022,68.81,40.65,HOLD,-4.02,,2022
06-10-2022,71.69,46.92,HOLD,-3.66,,2022
06-09-2022,74.41,54.26,HOLD,-2.72,,2022
06-08-2022,76.49,61.04,HOLD,-2.44,,2022
06-07-2022,78.40,68.32,HOLD,3.28,,2022
06-06-2022,75.91,62.97,HOLD,1.40,,2022
06-03-2022,74.86,60.35,HOLD,-1.27,,2022
06-02-2022,75.82,64.21,HOLD,3.54,,2022
06-01-2022,73.23,57.39,HOLD,-0.29,,2022
05-31-2022,73.44,58.22,HOLD,0.34,,2022
05-27-2022,73.19,57.54,HOLD,1.47,,2022
05-26-2022,72.13,54.62,HOLD,0.33,,2022
05-25-2022,71.89,53.95,HOLD,0.87,,2022
05-24-2022,71.27,52.27,HOLD,0.76,,2022
05-23-2022,70.73,50.82,HOLD,1.71,,2022
05-20-2022,69.54,47.56,HOLD,2.37,,2022
05-19-2022,67.93,42.79,HOLD,1.89,,2022
05-18-2022,66.67,38.74,HOLD,-3.32,,2022
05-17-2022,68.96,43.99,HOLD,3.59,,2022
05-16-2022,66.57,35.51,HOLD,1.15,,2022
05-13-2022,65.81,32.50,HOLD,2.16,,2022
05-12-2022,64.42,26.67,BUY,-1.53,,2022
05-11-2022,65.42,28.30,BUY,0.49,,2022
05-10-2022,65.10,26.97,BUY,0.20,,2022
05-09-2022,64.97,26.46,BUY,-4.55,,2022
05-06-2022,68.07,31.34,HOLD,-1.30,,2022
05-05-2022,68.97,32.98,HOLD,-3.95,,2022
05-04-2022,71.81,38.96,HOLD,0.97,,2022
05-03-2022,71.12,36.36,HOLD,0.24,,2022
05-02-2022,70.95,35.73,HOLD,-0.24,,2022
04-29-2022,71.12,36.06,HOLD,-0.55,,2022
04-28-2022,71.51,36.78,HOLD,-0.54,,2022
04-27-2022,71.90,37.48,HOLD,4.60,,2022
04-26-2022,68.74,27.07,BUY,-2.96,,2022
04-25-2022,70.84,30.17,HOLD,-2.52,,2022
04-22-2022,72.67,33.25,HOLD,-2.86,,2022
04-21-2022,74.81,37.40,HOLD,-4.80,,2022
04-20-2022,78.58,46.99,HOLD,-2.63,,2022
04-19-2022,80.70,54.25,HOLD,-2.06,,2022
04-18-2022,82.40,61.31,HOLD,0.65,,2022
04-14-2022,81.87,59.79,HOLD,-0.09,,2022
04-13-2022,81.94,60.08,HOLD,1.80,,2022
04-12-2022,80.49,56.00,HOLD,0.94,,2022
04-11-2022,79.74,53.73,HOLD,-0.67,,2022
04-08-2022,80.28,55.65,HOLD,-0.71,,2022
04-07-2022,80.85,57.67,HOLD,0.35,,2022
04-06-2022,80.57,56.96,HOLD,0.10,,2022
04-05-2022,80.49,56.77,HOLD,-1.09,,2022
04-04-2022,81.38,59.53,HOLD,-1.57,,2022
04-01-2022,82.68,63.73,HOLD,2.84,,2022
03-31-2022,80.40,59.02,HOLD,-0.12,,2022
03-30-2022,80.50,59.33,HOLD,2.70,,2022
03-29-2022,78.38,54.57,HOLD,-0.19,,2022
03-28-2022,78.53,55.00,HOLD,-1.24,,2022
03-25-2022,79.52,57.74,HOLD,1.56,,2022
03-24-2022,78.30,55.18,HOLD,0.54,,2022
03-23-2022,77.88,54.30,HOLD,1.84,,2022
03-22-2022,76.47,51.31,HOLD,-1.57,,2022
03-21-2022,77.69,54.15,HOLD,3.00,,2022
03-18-2022,75.43,49.31,HOLD,0.79,,2022
03-17-2022,74.84,47.98,HOLD,2.92,,2022
03-16-2022,72.72,42.99,HOLD,5.27,,2022
03-15-2022,69.08,32.68,HOLD,-0.42,,2022
03-14-2022,69.37,33.13,HOLD,-4.61,,2022
03-11-2022,72.72,38.76,HOLD,-2.85,,2022
03-10-2022,74.85,43.09,HOLD,-3.69,,2022
03-09-2022,77.72,50.09,HOLD,0.25,,2022
03-08-2022,77.53,49.58,HOLD,-2.53,,2022
03-07-2022,79.54,55.04,HOLD,-2.86,,2022
03-04-2022,81.88,62.46,HOLD,-2.52,,2022
03-03-2022,84.00,70.45,SELL,0.55,,2022
03-02-2022,83.54,69.67,HOLD,4.39,,2022
03-01-2022,80.03,62.67,HOLD,1.85,,2022
02-28-2022,78.58,59.04,HOLD,0.80,,2022
02-25-2022,77.96,57.40,HOLD,3.37,,2022
02-24-2022,75.42,49.73,HOLD,-2.68,,2022
02-23-2022,77.50,57.62,HOLD,-0.35,,2022
02-22-2022,77.77,58.74,HOLD,0.18,,2022
02-18-2022,77.63,58.35,HOLD,1.24,,2022
02-17-2022,76.68,55.71,HOLD,-2.39,,2022
02-16-2022,78.56,63.07,HOLD,1.85,,2022
02-15-2022,77.13,59.27,HOLD,-1.58,,2022
02-14-2022,78.37,64.63,HOLD,0.75,,2022
02-11-2022,77.79,63.18,HOLD,-1.48,,2022
02-10-2022,78.96,68.42,HOLD,0.80,,2022
02-09-2022,78.33,67.05,HOLD,0.29,,2022
02-08-2022,78.10,66.56,HOLD,1.91,,2022
02-07-2022,76.64,63.35,HOLD,3.72,,2022
02-04-2022,73.89,55.94,HOLD,0.57,,2022
02-03-2022,73.47,54.64,HOLD,-1.10,,2022
02-02-2022,74.29,57.73,HOLD,0.12,,2022
02-01-2022,74.20,57.48,HOLD,3.92,,2022
01-31-2022,71.40,48.93,HOLD,-2.37,,2022
01-28-2022,73.13,55.31,HOLD,-2.61,,2022
01-27-2022,75.09,64.11,HOLD,1.43,,2022
01-26-2022,74.03,60.99,HOLD,0.48,,2022
01-25-2022,73.68,59.93,HOLD,0.56,,2022
01-24-2022,73.27,58.70,HOLD,-1.47,,2022
01-21-2022,74.36,63.50,HOLD,-2.36,,2022
01-20-2022,76.16,72.61,SELL,-2.26,,2022
01-19-2022,77.92,83.49,SELL,2.89,,2022
01-18-2022,75.73,80.03,SELL,0.44,,2022
01-14-2022,75.40,79.43,SELL,-0.34,,2022
01-13-2022,75.66,81.22,SELL,-0.54,,2022
01-12-2022,76.07,84.00,SELL,2.22,,2022
01-11-2022,74.42,81.65,SELL,2.35,,2022
01-10-2022,72.71,78.65,SELL,0.65,,2022
01-07-2022,72.24,77.71,SELL,3.14,,2022
01-06-2022,70.04,72.49,SELL,1.94,,2022
01-05-2022,68.71,68.32,HOLD,1.76,,2022
01-04-2022,67.52,63.76,HOLD,1.18,,2022
01-03-2022,66.73,60.23,HOLD,-0.31,,2022
12-31-2021,66.94,61.71,HOLD,0.25,,2021
12-30-2021,66.77,60.99,HOLD,0.98,,2021
12-29-2021,66.12,58.19,HOLD,0.30,,2021
12-28-2021,65.92,57.32,HOLD,-0.74,,2021
12-27-2021,66.41,60.18,HOLD,0.30,,2021
12-23-2021,66.21,59.41,HOLD,0.50,,2021
12-22-2021,65.88,58.18,HOLD,-0.20,,2021
12-21-2021,66.01,58.83,HOLD,2.61,,2021
12-20-2021,64.33,52.38,HOLD,-0.89,,2021
12-17-2021,64.91,55.15,HOLD,-1.35,,2021
12-16-2021,65.80,59.65,HOLD,1.94,,2021
12-15-2021,64.55,54.85,HOLD,-0.23,,2021
12-14-2021,64.70,55.58,HOLD,0.76,,2021
12-13-2021,64.21,53.70,HOLD,0.16,,2021
12-10-2021,64.11,53.32,HOLD,0.20,,2021
12-09-2021,63.98,52.86,HOLD,0.16,,2021
12-08-2021,63.88,52.53,HOLD,-0.44,,2021
12-07-2021,64.16,53.52,HOLD,3.33,,2021
12-06-2021,62.09,46.61,HOLD,1.24,,2021
12-03-2021,61.33,43.76,HOLD,-4.37,,2021
12-02-2021,64.13,53.53,HOLD,3.17,,2021
12-01-2021,62.16,45.59,HOLD,-0.85,,2021
11-30-2021,62.69,47.62,HOLD,-0.40,,2021
11-29-2021,62.94,48.57,HOLD,0.98,,2021
11-26-2021,62.33,46.14,HOLD,-2.23,,2021
11-24-2021,63.75,51.39,HOLD,-0.14,,2021
11-23-2021,63.84,51.74,HOLD,2.95,,2021
11-22-2021,62.01,44.70,HOLD,2.14,,2021
11-19-2021,60.71,38.81,HOLD,1.35,,2021
11-18-2021,59.90,34.80,HOLD,-1.27,,2021
11-17-2021,60.67,36.94,HOLD,0.20,,2021
11-16-2021,60.55,36.37,HOLD,-1.74,,2021
11-15-2021,61.62,39.29,HOLD,-1.15,,2021
11-12-2021,62.34,41.37,HOLD,-1.05,,2021
11-11-2021,63.00,43.32,HOLD,4.41,,2021
11-10-2021,60.34,31.18,HOLD,-1.73,,2021
11-09-2021,61.40,33.87,HOLD,-1.43,,2021
