Date,Price,RSI,STATUS
12-16-2022,36.76,28.52,BUY
12-15-2022,37.19,30.64,HOLD
12-14-2022,38.13,36.10,HOLD
12-13-2022,38.30,37.22,HOLD
12-12-2022,38.34,37.47,HOLD
12-09-2022,38.51,38.50,HOLD
12-08-2022,39.24,43.24,HOLD
12-07-2022,39.48,44.94,HOLD
12-06-2022,39.21,42.59,HOLD
12-05-2022,39.60,45.17,HOLD
12-02-2022,40.48,51.73,HOLD
12-01-2022,40.39,51.06,HOLD
11-30-2022,40.44,51.43,HOLD
11-29-2022,39.83,47.07,HOLD
11-28-2022,39.78,46.71,HOLD
11-25-2022,39.99,47.99,HOLD
11-23-2022,39.72,46.22,HOLD
11-22-2022,39.54,45.07,HOLD
11-21-2022,42.12,63.16,HOLD
11-18-2022,42.46,66.42,HOLD
11-17-2022,41.84,63.21,HOLD
11-16-2022,42.03,64.98,HOLD
11-15-2022,41.47,62.07,HOLD
11-14-2022,41.88,65.78,HOLD
11-11-2022,41.59,64.38,HOLD
11-10-2022,42.02,68.23,HOLD
11-09-2022,41.55,66.18,HOLD
11-08-2022,42.00,70.21,SELL
11-07-2022,41.75,69.25,HOLD
11-04-2022,41.91,70.61,SELL
11-03-2022,42.29,73.81,SELL
11-02-2022,41.87,72.53,SELL
11-01-2022,42.20,75.21,SELL
10-31-2022,42.08,74.89,SELL
10-28-2022,41.87,74.37,SELL
10-27-2022,41.02,72.18,SELL
10-26-2022,39.55,67.76,HOLD
10-25-2022,35.94,49.42,HOLD
10-24-2022,36.28,52.00,HOLD
10-21-2022,36.43,53.14,HOLD
10-20-2022,35.99,50.17,HOLD
10-19-2022,36.88,56.96,HOLD
10-18-2022,36.67,55.64,HOLD
10-17-2022,36.14,52.22,HOLD
10-14-2022,35.02,43.70,HOLD
10-13-2022,36.06,51.64,HOLD
10-12-2022,36.20,52.84,HOLD
10-11-2022,36.36,54.18,HOLD
10-10-2022,36.45,54.91,HOLD
10-07-2022,36.16,53.02,HOLD
10-06-2022,37.13,60.92,HOLD
10-05-2022,36.68,58.24,HOLD
10-04-2022,37.10,61.92,HOLD
10-03-2022,35.38,49.88,HOLD
09-30-2022,34.68,43.08,HOLD
09-29-2022,35.14,46.97,HOLD
09-28-2022,34.90,44.54,HOLD
09-27-2022,34.34,38.44,HOLD
09-26-2022,34.63,40.59,HOLD
09-23-2022,34.78,41.71,HOLD
09-22-2022,34.90,42.58,HOLD
09-21-2022,35.50,47.16,HOLD
09-20-2022,35.76,49.29,HOLD
09-19-2022,36.23,53.34,HOLD
09-16-2022,35.57,47.74,HOLD
09-15-2022,35.80,49.67,HOLD
09-14-2022,36.33,54.37,HOLD
09-13-2022,35.93,51.13,HOLD
09-12-2022,36.26,54.07,HOLD
09-09-2022,36.12,53.00,HOLD
09-08-2022,36.23,53.91,HOLD
09-07-2022,35.96,52.03,HOLD
09-06-2022,35.78,50.79,HOLD
09-02-2022,33.74,32.34,HOLD
09-01-2022,34.16,34.84,HOLD
08-31-2022,33.76,30.06,HOLD
08-30-2022,33.85,30.53,HOLD
08-29-2022,34.04,31.49,HOLD
08-26-2022,34.48,33.77,HOLD
08-25-2022,35.67,41.29,HOLD
