Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,123.85,41.17,HOLD,-0.02,-3.75,0.21
01-26-2023,123.87,41.22,HOLD,-0.33,-3.74,-0.98
01-25-2023,124.28,42.17,HOLD,0.87,-3.42,-0.44
01-24-2023,123.21,38.76,HOLD,-0.09,-4.25,-3.44
01-23-2023,123.32,38.98,HOLD,0.14,-4.17,-3.65
01-20-2023,123.15,38.48,HOLD,1.26,-4.30,-4.05
01-19-2023,121.62,33.97,HOLD,-0.42,-5.49,-5.83
01-18-2023,122.13,34.76,HOLD,-2.82,-5.09,-5.04
01-17-2023,125.68,40.90,HOLD,0.63,-2.33,-3.22
01-13-2023,124.89,38.66,HOLD,1.31,-2.95,-4.40
01-12-2023,123.27,33.89,HOLD,-2.88,-4.20,-6.49
01-11-2023,126.92,40.48,HOLD,1.40,-1.37,-3.92
01-10-2023,125.17,34.84,HOLD,-2.00,-2.73,-4.91
01-09-2023,127.73,39.98,HOLD,-0.49,-0.74,-4.52
01-06-2023,128.36,41.38,HOLD,2.26,-0.25,-4.51
01-05-2023,125.52,31.35,HOLD,-2.13,-2.46,-6.44
01-04-2023,128.25,37.00,HOLD,-0.33,-0.33,-6.10
01-03-2023,128.68,38.00,HOLD,-0.24,0.00,-4.97
12-30-2022,128.99,38.70,HOLD,-1.35,,0.00
12-29-2022,130.75,42.87,HOLD,1.04,,0.00
12-28-2022,129.41,38.16,HOLD,-1.15,,0.00
12-27-2022,130.92,41.76,HOLD,0.11,,0.00
12-23-2022,130.77,41.25,HOLD,1.03,,0.00
12-22-2022,129.44,36.67,HOLD,-1.55,,0.00
12-21-2022,131.48,41.25,HOLD,1.11,,0.00
12-20-2022,130.04,36.01,HOLD,0.30,,0.00
12-19-2022,129.65,34.54,HOLD,-1.44,,0.00
12-16-2022,131.55,38.54,HOLD,-1.39,,0.00
12-15-2022,133.40,43.06,HOLD,-1.86,,0.00
12-14-2022,135.93,50.58,HOLD,-0.34,,0.00
12-13-2022,136.40,52.15,HOLD,-0.31,,0.00
12-12-2022,136.82,53.53,HOLD,0.74,,0.00
12-09-2022,135.81,50.61,HOLD,-0.40,,0.00
12-08-2022,136.35,52.24,HOLD,0.58,,0.00
12-07-2022,135.57,50.09,HOLD,-0.97,,0.00
12-06-2022,136.90,53.94,HOLD,-1.59,,0.00
12-05-2022,139.11,61.21,HOLD,-1.00,,0.00
12-02-2022,140.52,66.52,HOLD,0.55,,0.00
12-01-2022,139.75,64.98,HOLD,0.33,,0.00
11-30-2022,139.29,64.06,HOLD,1.93,,0.00
11-29-2022,136.65,58.23,HOLD,0.10,,0.00
11-28-2022,136.52,57.92,HOLD,-0.26,,0.00
11-25-2022,136.88,59.05,HOLD,0.70,,0.00
11-23-2022,135.93,56.99,HOLD,0.40,,0.00
11-22-2022,135.39,55.81,HOLD,0.55,,0.00
11-21-2022,134.65,54.22,HOLD,0.57,,0.00
11-18-2022,133.89,52.59,HOLD,1.50,,0.00
11-17-2022,131.91,48.12,HOLD,0.83,,0.00
11-16-2022,130.82,45.49,HOLD,1.55,,0.00
11-15-2022,128.82,40.35,HOLD,-0.89,,0.00
11-14-2022,129.98,42.51,HOLD,-0.82,,0.00
11-11-2022,131.06,44.57,HOLD,-2.81,,0.00
11-10-2022,134.85,52.95,HOLD,2.10,,0.00
11-09-2022,132.07,46.04,HOLD,-0.34,,0.00
11-08-2022,132.52,47.08,HOLD,0.78,,0.00
11-07-2022,131.49,44.42,HOLD,1.22,,0.00
11-04-2022,129.91,40.13,HOLD,-1.41,,0.00
11-03-2022,131.77,43.83,HOLD,1.11,,0.00
11-02-2022,130.32,39.81,HOLD,-0.66,,0.00
11-01-2022,131.18,41.44,HOLD,-1.09,,0.00
10-31-2022,132.62,44.26,HOLD,-0.42,,0.00
10-28-2022,133.18,45.38,HOLD,-1.08,,0.00
10-27-2022,134.64,48.33,HOLD,0.76,,0.00
10-26-2022,133.62,46.05,HOLD,-1.12,,0.00
10-25-2022,135.13,49.02,HOLD,0.42,,0.00
10-24-2022,134.56,47.84,HOLD,0.76,,0.00
