Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,35.89,40.01,HOLD,-3.29,-32.26,-40.30
01-11-2024,37.11,44.19,HOLD,-3.33,-29.95,-36.43
01-10-2024,38.39,49.20,HOLD,0.66,-27.54,-32.42
01-09-2024,38.14,48.13,HOLD,-1.19,-28.01,-29.64
01-08-2024,38.60,49.92,HOLD,1.82,-27.14,-27.22
01-05-2024,37.91,47.18,HOLD,0.24,-28.44,-31.93
01-04-2024,37.82,46.83,HOLD,-2.53,-28.61,-32.27
01-03-2024,38.80,50.21,HOLD,0.91,-26.76,-30.30
01-02-2024,38.45,48.99,HOLD,-5.06,-27.43,-27.43
12-29-2023,40.50,56.53,HOLD,0.35,-23.56,0.00
12-28-2023,40.36,56.11,HOLD,0.90,-23.82,0.00
12-27-2023,40.00,55.05,HOLD,2.17,-24.50,0.00
12-26-2023,39.15,52.54,HOLD,1.48,-26.10,0.00
12-22-2023,38.58,50.83,HOLD,1.61,-27.18,0.00
12-21-2023,37.97,49.01,HOLD,8.15,-28.33,0.00
12-20-2023,35.11,39.18,HOLD,-4.95,-33.73,0.00
12-19-2023,36.94,44.25,HOLD,0.90,-30.28,0.00
12-18-2023,36.61,43.01,HOLD,2.43,-30.90,0.00
12-15-2023,35.74,39.75,HOLD,-5.07,-32.54,0.00
12-14-2023,37.65,45.00,HOLD,0.40,-28.94,0.00
12-13-2023,37.50,44.47,HOLD,-2.75,-29.22,0.00
12-12-2023,38.56,47.50,HOLD,1.82,-27.22,0.00
12-11-2023,37.87,45.24,HOLD,-5.33,-28.52,0.00
12-08-2023,40.00,51.60,HOLD,2.46,-24.50,0.00
12-07-2023,39.04,48.58,HOLD,1.19,-26.31,0.00
12-06-2023,38.58,47.11,HOLD,1.53,-27.18,0.00
12-05-2023,38.00,45.27,HOLD,-0.52,-28.27,0.00
12-04-2023,38.20,45.78,HOLD,1.92,-27.90,0.00
12-01-2023,37.48,43.67,HOLD,3.48,-29.26,0.00
11-30-2023,36.22,39.86,HOLD,-1.42,-31.63,0.00
11-29-2023,36.74,40.92,HOLD,-7.50,-30.65,0.00
11-28-2023,39.72,47.67,HOLD,6.00,-25.03,0.00
11-27-2023,37.47,40.83,HOLD,3.00,-29.28,0.00
11-24-2023,36.38,37.13,HOLD,-2.99,-31.33,0.00
11-22-2023,37.50,39.48,HOLD,-1.99,-29.22,0.00
11-21-2023,38.26,41.13,HOLD,-0.67,-27.78,0.00
11-20-2023,38.52,41.68,HOLD,2.53,-27.29,0.00
11-17-2023,37.57,38.90,HOLD,-0.87,-29.09,0.00
11-16-2023,37.90,39.51,HOLD,-1.53,-28.46,0.00
11-15-2023,38.49,40.56,HOLD,7.30,-27.35,0.00
11-14-2023,35.87,33.24,HOLD,-22.07,-32.30,0.00
11-13-2023,46.03,59.71,HOLD,1.21,-13.12,0.00
11-10-2023,45.48,58.03,HOLD,4.31,-14.16,0.00
11-09-2023,43.60,51.62,HOLD,-2.00,-17.70,0.00
11-08-2023,44.49,55.33,HOLD,-0.04,-16.02,0.00
11-07-2023,44.51,55.42,HOLD,0.09,-15.99,0.00
11-06-2023,44.47,55.29,HOLD,-0.71,-16.06,0.00
11-03-2023,44.79,56.47,HOLD,8.32,-15.46,0.00
11-02-2023,41.35,44.77,HOLD,2.25,-21.95,0.00
11-01-2023,40.44,40.86,HOLD,-3.02,-23.67,0.00
10-31-2023,41.70,44.95,HOLD,0.60,-21.29,0.00
10-30-2023,41.45,43.91,HOLD,3.70,-21.76,0.00
10-27-2023,39.97,37.47,HOLD,-2.08,-24.56,0.00
10-26-2023,40.82,39.91,HOLD,-7.16,-22.95,0.00
10-25-2023,43.97,51.49,HOLD,-2.89,-17.01,0.00
10-24-2023,45.28,57.98,HOLD,1.82,-14.53,0.00
10-23-2023,44.47,54.70,HOLD,-0.31,-16.06,0.00
10-20-2023,44.61,55.39,HOLD,-1.06,-15.80,0.00
10-19-2023,45.09,57.73,HOLD,-1.25,-14.89,0.00
10-18-2023,45.66,60.54,HOLD,-2.21,-13.82,0.00
10-17-2023,46.69,65.92,HOLD,0.00,-11.87,0.00
10-16-2023,46.69,65.92,HOLD,2.46,-11.87,0.00
10-13-2023,45.57,62.82,HOLD,0.46,-13.99,0.00
10-12-2023,45.36,62.22,HOLD,2.19,-14.38,0.00
10-11-2023,44.39,59.42,HOLD,0.77,-16.21,0.00
10-10-2023,44.05,58.42,HOLD,6.22,-16.86,0.00
10-09-2023,41.47,49.64,HOLD,-2.22,-21.73,0.00
10-06-2023,42.41,53.46,HOLD,0.69,-19.95,0.00
10-05-2023,42.12,52.41,HOLD,0.86,-20.50,0.00
10-04-2023,41.76,51.14,HOLD,-1.97,-21.18,0.00
10-03-2023,42.60,54.28,HOLD,-3.07,-19.59,0.00
10-02-2023,43.95,59.74,HOLD,0.00,-17.04,0.00
09-29-2023,43.95,59.74,HOLD,1.92,-17.04,0.00
09-28-2023,43.12,57.47,HOLD,2.45,-18.61,0.00
09-27-2023,42.09,54.52,HOLD,4.83,-20.55,0.00
09-26-2023,40.15,48.23,HOLD,-0.12,-24.22,0.00
09-25-2023,40.20,48.39,HOLD,11.79,-24.12,0.00
09-22-2023,35.96,30.12,HOLD,0.03,-32.13,0.00
09-21-2023,35.95,30.07,HOLD,-4.21,-32.14,0.00
