Date,Price,RSI,STATUS
11-28-2022,38.03,60.27,HOLD
11-25-2022,36.79,57.15,HOLD
11-23-2022,36.77,57.10,HOLD
11-22-2022,35.28,53.30,HOLD
11-21-2022,35.21,53.12,HOLD
11-18-2022,36.59,57.18,HOLD
11-17-2022,37.72,60.71,HOLD
11-16-2022,38.51,63.24,HOLD
11-15-2022,40.02,68.30,HOLD
11-14-2022,38.40,65.56,HOLD
11-11-2022,39.44,69.12,HOLD
11-10-2022,36.51,64.00,HOLD
11-09-2022,30.90,48.92,HOLD
11-08-2022,32.80,56.34,HOLD
11-07-2022,32.24,54.45,HOLD
11-04-2022,32.15,54.16,HOLD
11-03-2022,33.74,60.62,HOLD
11-02-2022,33.51,59.98,HOLD
11-01-2022,34.79,65.50,HOLD
10-31-2022,34.23,64.16,HOLD
10-28-2022,34.19,64.07,HOLD
10-27-2022,34.10,63.87,HOLD
10-26-2022,29.06,49.68,HOLD
10-25-2022,29.83,52.61,HOLD
10-24-2022,28.75,48.67,HOLD
10-21-2022,29.75,52.42,HOLD
10-20-2022,29.73,52.35,HOLD
10-19-2022,28.35,47.53,HOLD
10-18-2022,28.73,48.79,HOLD
10-17-2022,27.76,45.35,HOLD
10-14-2022,26.06,38.64,HOLD
10-13-2022,26.24,39.12,HOLD
10-12-2022,25.99,38.14,HOLD
10-11-2022,25.67,36.94,HOLD
10-10-2022,26.45,38.64,HOLD
10-07-2022,27.21,40.31,HOLD
10-06-2022,30.06,47.48,HOLD
10-05-2022,30.83,49.70,HOLD
10-04-2022,31.53,51.73,HOLD
10-03-2022,27.76,39.28,HOLD
09-30-2022,26.94,35.94,HOLD
09-29-2022,26.77,35.25,HOLD
09-28-2022,29.24,41.20,HOLD
09-27-2022,27.85,35.51,HOLD
09-26-2022,28.25,36.46,HOLD
09-23-2022,28.76,37.64,HOLD
09-22-2022,28.57,36.93,HOLD
09-21-2022,30.55,41.48,HOLD
09-20-2022,30.95,42.46,HOLD
09-19-2022,32.94,47.68,HOLD
09-16-2022,31.73,43.78,HOLD
09-15-2022,33.85,49.82,HOLD
09-14-2022,33.69,49.33,HOLD
09-13-2022,32.70,46.32,HOLD
09-12-2022,35.16,53.68,HOLD
09-09-2022,34.81,52.68,HOLD
09-08-2022,31.94,43.46,HOLD
09-07-2022,30.98,39.81,HOLD
09-06-2022,29.84,35.20,HOLD
09-02-2022,30.11,35.80,HOLD
09-01-2022,31.27,38.43,HOLD
08-31-2022,31.65,39.31,HOLD
08-30-2022,31.36,38.31,HOLD
08-29-2022,31.94,39.51,HOLD
08-26-2022,32.42,40.49,HOLD
08-25-2022,34.34,44.60,HOLD
08-24-2022,33.29,41.59,HOLD
08-23-2022,32.47,39.20,HOLD
08-22-2022,33.18,40.53,HOLD
08-19-2022,34.20,42.47,HOLD
08-18-2022,36.86,48.00,HOLD
08-17-2022,37.30,48.98,HOLD
08-16-2022,39.58,54.32,HOLD
08-15-2022,39.84,54.96,HOLD
08-12-2022,40.76,57.15,HOLD
08-11-2022,40.42,56.56,HOLD
08-10-2022,40.61,56.97,HOLD
08-09-2022,36.75,50.14,HOLD
08-08-2022,39.77,56.67,HOLD
08-05-2022,40.81,59.14,HOLD
08-04-2022,41.02,59.62,HOLD
08-03-2022,41.93,61.66,HOLD
08-02-2022,37.74,55.09,HOLD
08-01-2022,36.44,52.76,HOLD
07-29-2022,34.83,49.77,HOLD
07-28-2022,35.91,51.81,HOLD
07-27-2022,35.24,50.64,HOLD
07-26-2022,31.55,43.64,HOLD
07-25-2022,36.71,53.50,HOLD
07-22-2022,37.35,54.92,HOLD
07-21-2022,40.40,62.28,HOLD
07-20-2022,38.49,59.10,HOLD
07-19-2022,34.37,50.77,HOLD
07-18-2022,32.54,46.25,HOLD
07-15-2022,31.27,42.88,HOLD
07-14-2022,30.67,41.26,HOLD
07-13-2022,32.15,44.12,HOLD
07-12-2022,32.38,44.57,HOLD
