Date,Price,RSI,STATUS
12-16-2022,77.70,51.54,HOLD
12-15-2022,78.26,52.84,HOLD
12-14-2022,79.89,56.70,HOLD
12-13-2022,81.33,60.32,HOLD
12-12-2022,80.26,58.49,HOLD
12-09-2022,79.03,56.35,HOLD
12-08-2022,78.12,54.74,HOLD
12-07-2022,80.45,59.99,HOLD
12-06-2022,74.36,47.84,HOLD
12-05-2022,76.24,52.40,HOLD
12-02-2022,77.72,56.33,HOLD
12-01-2022,78.72,59.11,HOLD
11-30-2022,79.67,61.80,HOLD
11-29-2022,73.93,48.70,HOLD
11-28-2022,73.52,47.51,HOLD
11-25-2022,77.06,58.40,HOLD
11-23-2022,77.05,58.38,HOLD
11-22-2022,76.59,57.28,HOLD
11-21-2022,76.61,57.34,HOLD
11-18-2022,75.59,55.07,HOLD
11-17-2022,74.51,52.59,HOLD
11-16-2022,78.91,66.46,HOLD
11-15-2022,79.46,68.56,HOLD
11-14-2022,79.00,67.77,HOLD
11-11-2022,80.99,75.38,SELL
11-10-2022,79.86,73.83,SELL
11-09-2022,75.22,65.56,HOLD
11-08-2022,76.15,69.66,HOLD
11-07-2022,75.93,69.24,HOLD
11-04-2022,75.45,68.34,HOLD
11-03-2022,73.07,63.47,HOLD
11-02-2022,73.88,66.72,HOLD
11-01-2022,74.40,68.82,HOLD
10-31-2022,74.00,68.10,HOLD
10-28-2022,74.78,71.06,SELL
10-27-2022,73.10,68.30,HOLD
10-26-2022,72.28,66.87,HOLD
10-25-2022,72.05,66.48,HOLD
10-24-2022,70.52,63.83,HOLD
10-21-2022,69.12,61.22,HOLD
10-20-2022,64.86,51.29,HOLD
10-19-2022,64.57,50.49,HOLD
10-18-2022,64.42,50.09,HOLD
10-17-2022,63.81,48.54,HOLD
10-14-2022,61.11,41.03,HOLD
10-13-2022,63.50,46.63,HOLD
10-12-2022,60.16,35.15,HOLD
10-11-2022,60.81,36.57,HOLD
10-10-2022,61.62,38.36,HOLD
10-07-2022,62.11,39.45,HOLD
10-06-2022,63.96,43.81,HOLD
10-05-2022,65.43,47.69,HOLD
10-04-2022,65.61,48.18,HOLD
10-03-2022,63.11,40.34,HOLD
09-30-2022,60.81,31.49,HOLD
09-29-2022,61.09,32.02,HOLD
09-28-2022,62.58,34.98,HOLD
09-27-2022,60.65,26.88,BUY
09-26-2022,61.97,29.19,BUY
09-23-2022,62.98,31.08,HOLD
09-22-2022,65.41,36.35,HOLD
09-21-2022,67.08,40.77,HOLD
09-20-2022,68.25,44.26,HOLD
09-19-2022,70.15,50.84,HOLD
09-16-2022,69.38,47.96,HOLD
09-15-2022,70.67,52.82,HOLD
09-14-2022,70.67,52.82,HOLD
09-13-2022,71.39,55.54,HOLD
09-12-2022,73.43,64.20,HOLD
09-09-2022,72.25,60.93,HOLD
09-08-2022,71.32,58.13,HOLD
09-07-2022,69.03,49.88,HOLD
09-06-2022,67.37,42.22,HOLD
09-02-2022,66.99,40.31,HOLD
09-01-2022,67.89,43.52,HOLD
08-31-2022,67.65,42.39,HOLD
08-30-2022,68.37,44.91,HOLD
08-29-2022,68.02,43.37,HOLD
08-26-2022,68.42,44.69,HOLD
08-25-2022,70.94,54.20,HOLD
08-24-2022,69.81,49.75,HOLD
08-23-2022,70.05,50.71,HOLD
08-22-2022,70.16,51.13,HOLD
08-19-2022,71.52,56.62,HOLD
08-18-2022,73.44,65.85,HOLD
08-17-2022,73.21,65.20,HOLD
08-16-2022,73.72,67.80,HOLD
08-15-2022,73.70,67.75,HOLD
08-12-2022,74.17,69.93,HOLD
08-11-2022,72.76,66.95,HOLD
08-10-2022,71.78,64.69,HOLD
08-09-2022,69.66,59.05,HOLD
08-08-2022,69.58,58.82,HOLD
08-05-2022,69.94,60.22,HOLD
08-04-2022,69.61,59.40,HOLD
08-03-2022,70.30,61.89,HOLD
08-02-2022,68.51,57.58,HOLD
08-01-2022,69.64,61.68,HOLD
07-29-2022,70.31,64.21,HOLD
07-28-2022,69.26,61.93,HOLD
07-27-2022,68.21,59.55,HOLD
07-26-2022,66.31,54.82,HOLD
07-25-2022,67.70,59.58,HOLD
07-22-2022,67.46,59.01,HOLD
07-21-2022,67.13,58.25,HOLD
07-20-2022,66.29,56.36,HOLD
07-19-2022,66.64,57.38,HOLD
07-18-2022,64.30,52.08,HOLD
07-15-2022,65.00,53.95,HOLD
07-14-2022,59.23,36.62,HOLD
07-13-2022,60.32,39.21,HOLD
07-12-2022,61.72,42.83,HOLD
07-11-2022,62.06,43.73,HOLD
07-08-2022,62.39,44.57,HOLD
07-07-2022,63.05,46.25,HOLD
07-06-2022,61.63,41.91,HOLD
07-05-2022,62.43,43.74,HOLD
07-01-2022,62.73,44.44,HOLD
06-30-2022,61.02,39.42,HOLD
06-29-2022,62.86,43.33,HOLD
06-28-2022,63.26,44.22,HOLD
06-27-2022,63.97,45.76,HOLD
06-24-2022,65.01,48.03,HOLD
06-23-2022,61.69,39.06,HOLD
06-22-2022,62.13,39.89,HOLD
06-21-2022,62.59,40.75,HOLD
06-17-2022,60.58,35.07,HOLD
06-16-2022,61.14,35.97,HOLD
06-15-2022,62.72,38.54,HOLD
06-14-2022,61.00,33.74,HOLD
06-13-2022,61.87,35.02,HOLD
06-10-2022,63.99,38.31,HOLD
06-09-2022,66.84,43.41,HOLD
06-08-2022,67.73,45.14,HOLD
06-07-2022,71.62,53.91,HOLD
06-06-2022,70.05,50.30,HOLD
06-03-2022,69.94,50.05,HOLD
06-02-2022,71.74,54.27,HOLD
06-01-2022,68.62,47.06,HOLD
05-31-2022,71.11,53.29,HOLD
05-27-2022,71.65,54.75,HOLD
05-26-2022,69.64,50.02,HOLD
05-25-2022,67.98,45.68,HOLD
05-24-2022,67.36,43.99,HOLD
05-23-2022,68.40,46.23,HOLD
05-20-2022,66.19,40.20,HOLD
05-19-2022,64.71,35.73,HOLD
05-18-2022,65.70,37.47,HOLD
05-17-2022,68.34,42.60,HOLD
05-16-2022,67.01,38.69,HOLD
05-13-2022,67.89,40.39,HOLD
05-12-2022,66.33,35.75,HOLD
05-11-2022,65.05,31.68,HOLD
05-10-2022,66.42,33.80,HOLD
05-09-2022,67.93,36.29,HOLD
05-06-2022,68.80,37.77,HOLD
05-05-2022,69.87,39.62,HOLD
05-04-2022,71.38,42.34,HOLD
05-03-2022,68.58,34.62,HOLD
05-02-2022,67.28,30.59,HOLD
04-29-2022,65.70,25.42,BUY
04-28-2022,67.53,27.64,BUY
04-27-2022,65.59,20.85,BUY
04-26-2022,66.44,21.68,BUY
04-25-2022,69.60,25.12,BUY
04-22-2022,69.52,24.84,BUY
04-21-2022,73.16,29.51,BUY
04-20-2022,74.47,31.48,HOLD
04-19-2022,73.49,28.13,BUY
04-18-2022,72.97,26.36,BUY
04-14-2022,74.37,28.09,BUY
04-13-2022,81.27,40.17,HOLD
04-12-2022,80.69,38.06,HOLD
04-11-2022,81.15,39.06,HOLD
04-08-2022,82.57,42.24,HOLD
04-07-2022,82.36,41.60,HOLD
04-06-2022,82.11,40.85,HOLD
04-05-2022,83.69,44.12,HOLD
04-04-2022,84.21,45.22,HOLD
04-01-2022,84.18,45.15,HOLD
03-31-2022,85.46,47.71,HOLD
03-30-2022,89.80,57.98,HOLD
03-29-2022,89.66,57.71,HOLD
03-28-2022,87.85,54.13,HOLD
03-25-2022,88.26,55.11,HOLD
03-24-2022,86.78,52.20,HOLD
03-23-2022,85.29,49.12,HOLD
03-22-2022,88.06,55.28,HOLD
03-21-2022,86.14,51.37,HOLD
03-18-2022,86.70,52.60,HOLD
03-17-2022,85.84,50.91,HOLD
03-16-2022,85.26,49.77,HOLD
03-15-2022,81.86,42.61,HOLD
03-14-2022,81.26,41.22,HOLD
03-11-2022,80.03,38.42,HOLD
03-10-2022,80.84,39.57,HOLD
03-09-2022,81.48,40.47,HOLD
03-08-2022,77.37,31.18,HOLD
03-07-2022,76.21,28.25,BUY
03-04-2022,78.49,30.64,HOLD
03-03-2022,81.83,34.61,HOLD
03-02-2022,81.83,34.61,HOLD
03-01-2022,78.86,27.39,BUY
02-28-2022,83.19,32.19,HOLD
02-25-2022,86.51,36.80,HOLD
02-24-2022,83.34,27.61,BUY
02-23-2022,85.04,29.77,BUY
02-22-2022,90.11,37.94,HOLD
02-18-2022,91.05,39.82,HOLD
02-17-2022,91.30,40.32,HOLD
02-16-2022,97.76,57.43,HOLD
02-15-2022,97.80,57.57,HOLD
02-14-2022,96.20,53.33,HOLD
02-11-2022,96.68,54.85,HOLD
02-10-2022,98.85,62.32,HOLD
02-09-2022,99.12,63.32,HOLD
02-08-2022,99.30,63.94,HOLD
02-07-2022,96.84,58.70,HOLD
02-04-2022,96.41,57.70,HOLD
02-03-2022,94.65,53.44,HOLD
02-02-2022,95.12,54.81,HOLD
02-01-2022,94.09,52.30,HOLD
01-31-2022,92.13,47.13,HOLD
01-28-2022,91.30,44.78,HOLD
01-27-2022,90.78,43.33,HOLD
01-26-2022,91.95,45.87,HOLD
01-25-2022,91.77,45.40,HOLD
01-24-2022,91.45,44.62,HOLD
01-21-2022,88.71,37.59,HOLD
01-20-2022,91.85,43.46,HOLD
01-19-2022,91.53,42.61,HOLD
01-18-2022,98.48,61.12,HOLD
01-14-2022,101.17,72.42,SELL
01-13-2022,100.85,71.84,SELL
01-12-2022,100.74,71.66,SELL
01-11-2022,99.78,70.04,SELL
01-10-2022,98.66,68.05,HOLD
01-07-2022,99.11,69.77,HOLD
01-06-2022,96.44,64.86,HOLD
01-05-2022,94.71,61.06,HOLD
01-04-2022,95.85,65.40,HOLD
01-03-2022,92.08,55.74,HOLD
12-31-2021,90.67,50.98,HOLD
12-30-2021,90.35,49.85,HOLD
12-29-2021,90.88,51.69,HOLD
12-28-2021,90.79,51.42,HOLD
12-27-2021,90.88,51.69,HOLD
12-23-2021,90.14,49.60,HOLD
12-22-2021,89.72,48.40,HOLD
12-21-2021,89.45,47.69,HOLD
12-20-2021,87.30,41.55,HOLD
12-17-2021,88.98,45.41,HOLD
12-16-2021,89.81,47.44,HOLD
12-15-2021,89.01,45.25,HOLD
12-14-2021,89.24,45.76,HOLD
12-13-2021,88.43,43.68,HOLD
12-10-2021,90.61,48.28,HOLD
12-09-2021,91.06,49.29,HOLD
12-08-2021,90.03,46.95,HOLD
12-07-2021,91.95,51.01,HOLD
12-06-2021,90.70,48.32,HOLD
12-03-2021,87.22,39.74,HOLD
12-02-2021,89.52,44.25,HOLD
12-01-2021,85.87,33.09,HOLD
11-30-2021,86.21,33.67,HOLD
11-29-2021,90.30,41.91,HOLD
11-26-2021,90.45,42.28,HOLD
11-24-2021,95.21,56.19,HOLD
11-23-2021,95.15,56.03,HOLD
11-22-2021,94.23,53.46,HOLD
11-19-2021,91.81,45.72,HOLD
11-18-2021,92.28,47.15,HOLD
11-17-2021,93.20,49.96,HOLD
11-16-2021,95.55,58.14,HOLD
11-15-2021,96.82,63.36,HOLD
11-12-2021,95.99,61.27,HOLD
11-11-2021,95.42,59.78,HOLD
11-10-2021,94.52,57.40,HOLD
11-09-2021,93.05,53.18,HOLD
11-08-2021,93.63,55.19,HOLD
11-05-2021,92.70,52.53,HOLD
11-04-2021,93.53,55.25,HOLD
11-03-2021,96.51,66.71,HOLD
11-02-2021,96.35,66.37,HOLD
11-01-2021,96.25,66.15,HOLD
10-29-2021,95.49,64.64,HOLD
10-28-2021,95.75,65.58,HOLD
10-27-2021,93.25,60.45,HOLD
10-26-2021,95.22,67.84,HOLD
10-25-2021,95.54,69.11,HOLD
10-22-2021,96.31,72.16,SELL
10-21-2021,95.09,70.24,SELL
10-20-2021,96.29,74.92,SELL
10-19-2021,94.05,71.62,SELL
10-18-2021,91.85,67.75,HOLD
10-15-2021,89.85,63.55,HOLD
10-14-2021,88.86,61.24,HOLD
10-13-2021,86.83,55.87,HOLD
10-12-2021,87.82,59.59,HOLD
10-11-2021,88.15,60.84,HOLD
10-08-2021,88.37,61.66,HOLD
10-07-2021,86.31,56.69,HOLD
10-06-2021,85.72,55.14,HOLD
10-05-2021,85.97,55.91,HOLD
10-04-2021,83.45,49.11,HOLD
10-01-2021,83.73,49.91,HOLD
09-30-2021,82.09,45.09,HOLD
09-29-2021,83.30,48.28,HOLD
09-28-2021,83.56,48.97,HOLD
