Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,32.78,52.86,HOLD,0.31,8.51,1.05
01-11-2024,32.68,52.07,HOLD,0.77,8.18,1.18
01-10-2024,32.43,50.12,HOLD,-0.83,7.35,3.38
01-09-2024,32.70,52.25,HOLD,-1.12,8.24,5.35
01-08-2024,33.07,55.23,HOLD,-2.16,9.47,4.88
01-05-2024,33.80,61.66,HOLD,0.33,11.88,7.75
01-04-2024,33.69,61.03,HOLD,-0.80,11.52,11.22
01-03-2024,33.96,63.42,HOLD,5.76,12.41,13.88
01-02-2024,32.11,51.24,HOLD,0.22,6.29,6.29
12-29-2023,32.04,50.66,HOLD,0.47,6.06,0.00
12-28-2023,31.89,49.47,HOLD,-1.45,5.56,0.00
12-27-2023,32.36,53.21,HOLD,-1.04,7.12,0.00
12-26-2023,32.70,56.05,HOLD,2.12,8.24,0.00
12-22-2023,32.02,51.21,HOLD,0.13,5.99,0.00
12-21-2023,31.98,50.91,HOLD,0.69,5.86,0.00
12-20-2023,31.76,49.34,HOLD,-1.15,5.13,0.00
12-19-2023,32.13,51.93,HOLD,2.13,6.36,0.00
12-18-2023,31.46,47.28,HOLD,1.75,4.14,0.00
12-15-2023,30.92,43.17,HOLD,-1.15,2.35,0.00
12-14-2023,31.28,45.36,HOLD,2.66,3.54,0.00
12-13-2023,30.47,38.88,HOLD,2.97,0.86,0.00
12-12-2023,29.59,30.56,HOLD,-2.28,-2.05,0.00
12-11-2023,30.28,33.92,HOLD,-1.50,0.23,0.00
12-08-2023,30.74,36.40,HOLD,1.65,1.75,0.00
12-07-2023,30.24,31.34,HOLD,-0.10,0.10,0.00
12-06-2023,30.27,31.48,HOLD,-5.47,0.20,0.00
12-05-2023,32.02,41.48,HOLD,-1.72,5.99,0.00
12-04-2023,32.58,45.80,HOLD,-1.21,7.85,0.00
12-01-2023,32.98,49.21,HOLD,-0.03,9.17,0.00
11-30-2023,32.99,49.29,HOLD,0.03,9.20,0.00
11-29-2023,32.98,49.21,HOLD,0.61,9.17,0.00
