Date,Price,RSI,STATUS
12-16-2022,51.18,40.11,HOLD
12-15-2022,51.74,43.25,HOLD
12-14-2022,52.89,50.83,HOLD
12-13-2022,52.61,48.80,HOLD
12-12-2022,52.96,51.26,HOLD
12-09-2022,52.46,47.77,HOLD
12-08-2022,52.66,49.08,HOLD
12-07-2022,53.05,51.63,HOLD
12-06-2022,53.26,53.01,HOLD
12-05-2022,54.50,62.10,HOLD
12-02-2022,55.57,72.00,SELL
12-01-2022,54.97,69.47,HOLD
11-30-2022,54.73,68.41,HOLD
11-29-2022,54.54,67.58,HOLD
11-28-2022,54.55,67.67,HOLD
11-25-2022,55.20,73.31,SELL
11-23-2022,54.89,72.29,SELL
11-22-2022,54.42,70.71,SELL
11-21-2022,53.96,69.07,HOLD
11-18-2022,53.13,65.94,HOLD
11-17-2022,52.64,63.95,HOLD
11-16-2022,51.75,59.94,HOLD
11-15-2022,51.72,59.80,HOLD
11-14-2022,51.59,59.24,HOLD
11-11-2022,51.54,59.03,HOLD
11-10-2022,51.10,57.23,HOLD
11-09-2022,49.42,49.45,HOLD
11-08-2022,50.94,58.37,HOLD
11-07-2022,50.63,56.91,HOLD
11-04-2022,50.85,58.26,HOLD
11-03-2022,49.14,49.59,HOLD
11-02-2022,49.00,48.78,HOLD
11-01-2022,48.47,45.74,HOLD
10-31-2022,50.08,55.02,HOLD
10-28-2022,50.75,59.66,HOLD
10-27-2022,49.53,52.88,HOLD
10-26-2022,49.71,54.18,HOLD
10-25-2022,50.22,57.74,HOLD
10-24-2022,49.46,53.46,HOLD
10-21-2022,48.82,49.51,HOLD
10-20-2022,47.91,43.06,HOLD
10-19-2022,47.98,43.45,HOLD
10-18-2022,48.88,48.82,HOLD
10-17-2022,48.78,48.16,HOLD
10-14-2022,48.46,46.12,HOLD
10-13-2022,49.11,49.83,HOLD
10-12-2022,48.42,45.51,HOLD
10-11-2022,47.42,38.30,HOLD
10-10-2022,46.98,34.81,HOLD
10-07-2022,46.70,32.47,HOLD
10-06-2022,47.40,35.35,HOLD
10-05-2022,48.13,38.62,HOLD
10-04-2022,48.91,42.59,HOLD
10-03-2022,48.25,37.54,HOLD
09-30-2022,47.66,32.70,HOLD
09-29-2022,47.84,33.43,HOLD
09-28-2022,47.99,34.03,HOLD
09-27-2022,47.26,28.30,BUY
09-26-2022,47.16,27.50,BUY
09-23-2022,47.35,28.05,BUY
09-22-2022,48.81,32.78,HOLD
09-21-2022,48.95,33.28,HOLD
09-20-2022,49.58,35.53,HOLD
09-19-2022,50.76,40.30,HOLD
09-16-2022,50.09,35.79,HOLD
09-15-2022,50.59,37.77,HOLD
09-14-2022,50.30,35.86,HOLD
09-13-2022,50.88,38.03,HOLD
09-12-2022,52.91,47.43,HOLD
09-09-2022,51.81,39.97,HOLD
09-08-2022,51.46,37.36,HOLD
09-07-2022,51.87,39.21,HOLD
09-06-2022,51.29,34.98,HOLD
09-02-2022,51.34,35.18,HOLD
09-01-2022,51.02,32.87,HOLD
08-31-2022,50.94,32.33,HOLD
08-30-2022,51.51,34.18,HOLD
08-29-2022,52.45,37.46,HOLD
08-26-2022,53.11,39.90,HOLD
08-25-2022,54.88,47.80,HOLD
08-24-2022,55.82,52.94,HOLD
08-23-2022,55.09,48.97,HOLD
08-22-2022,54.54,45.82,HOLD
08-19-2022,55.29,49.76,HOLD
08-18-2022,55.32,49.92,HOLD
08-17-2022,54.89,47.66,HOLD
08-16-2022,55.68,51.59,HOLD
08-15-2022,55.66,51.49,HOLD
08-12-2022,55.90,52.66,HOLD
08-11-2022,55.89,52.62,HOLD
08-10-2022,54.93,48.68,HOLD
08-09-2022,54.35,46.17,HOLD
08-08-2022,53.86,44.07,HOLD
08-05-2022,53.30,41.60,HOLD
08-04-2022,52.16,36.29,HOLD
08-03-2022,53.42,40.02,HOLD
08-02-2022,52.68,36.46,HOLD
08-01-2022,58.83,67.24,HOLD
07-29-2022,58.90,67.84,HOLD
07-28-2022,58.20,64.90,HOLD
07-27-2022,58.08,64.39,HOLD
07-26-2022,57.29,60.88,HOLD
07-25-2022,57.39,61.58,HOLD
07-22-2022,57.09,60.26,HOLD
07-21-2022,56.37,57.01,HOLD
07-20-2022,57.07,61.55,HOLD
07-19-2022,57.74,66.24,HOLD
07-18-2022,57.28,64.55,HOLD
07-15-2022,57.81,68.21,HOLD
07-14-2022,57.35,66.69,HOLD
07-13-2022,57.42,67.14,HOLD
07-12-2022,56.58,64.40,HOLD
07-11-2022,55.26,59.45,HOLD
07-08-2022,54.71,57.14,HOLD
07-07-2022,53.85,53.29,HOLD
07-06-2022,54.45,56.54,HOLD
07-05-2022,54.55,57.13,HOLD
07-01-2022,54.83,58.58,HOLD
06-30-2022,53.74,54.31,HOLD
06-29-2022,54.57,58.61,HOLD
06-28-2022,54.97,60.71,HOLD
