Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,18.49,48.65,HOLD,2.67,9.34,2023
01-09-2023,18.01,46.04,HOLD,2.10,6.51,2023
01-06-2023,17.64,43.99,HOLD,7.82,4.32,2023
01-05-2023,16.36,36.24,HOLD,-4.72,-3.25,2023
01-04-2023,17.17,39.45,HOLD,1.54,1.54,2023
01-03-2023,16.91,37.80,HOLD,-2.25,0.00,2023
12-30-2022,17.30,39.29,HOLD,0.00,,2022
12-29-2022,17.30,39.29,HOLD,7.05,,2022
12-28-2022,16.16,32.62,HOLD,-4.04,,2022
12-27-2022,16.84,34.74,HOLD,-4.26,,2022
12-23-2022,17.59,37.20,HOLD,0.29,,2022
12-22-2022,17.54,36.93,HOLD,-7.59,,2022
12-21-2022,18.98,41.87,HOLD,4.34,,2022
12-20-2022,18.19,37.61,HOLD,-0.44,,2022
12-19-2022,18.27,37.87,HOLD,-4.14,,2022
12-16-2022,19.06,40.45,HOLD,-2.95,,2022
12-15-2022,19.64,42.41,HOLD,-9.91,,2022
12-14-2022,21.80,50.96,HOLD,-2.37,,2022
12-13-2022,22.33,53.41,HOLD,3.14,,2022
12-12-2022,21.65,50.57,HOLD,3.64,,2022
12-09-2022,20.89,47.24,HOLD,-1.92,,2022
12-08-2022,21.30,48.89,HOLD,3.55,,2022
12-07-2022,20.57,45.76,HOLD,-1.20,,2022
12-06-2022,20.82,46.67,HOLD,-6.34,,2022
12-05-2022,22.23,52.10,HOLD,-5.04,,2022
12-02-2022,23.41,57.27,HOLD,-1.18,,2022
12-01-2022,23.69,58.55,HOLD,0.55,,2022
11-30-2022,23.56,58.15,HOLD,13.43,,2022
11-29-2022,20.77,48.07,HOLD,-2.40,,2022
11-28-2022,21.28,50.12,HOLD,-4.40,,2022
11-25-2022,22.26,54.24,HOLD,-2.07,,2022
11-23-2022,22.73,56.31,HOLD,2.99,,2022
11-22-2022,22.07,54.02,HOLD,4.20,,2022
11-21-2022,21.18,50.81,HOLD,-3.02,,2022
11-18-2022,21.84,53.38,HOLD,-0.09,,2022
11-17-2022,21.86,53.46,HOLD,-0.77,,2022
11-16-2022,22.03,54.06,HOLD,-4.05,,2022
11-15-2022,22.96,57.38,HOLD,4.03,,2022
11-14-2022,22.07,54.92,HOLD,-2.65,,2022
11-11-2022,22.67,56.98,HOLD,5.69,,2022
11-10-2022,21.45,53.71,HOLD,21.88,,2022
11-09-2022,17.60,40.42,HOLD,-6.98,,2022
11-08-2022,18.92,44.48,HOLD,2.16,,2022
11-07-2022,18.52,42.87,HOLD,3.18,,2022
11-04-2022,17.95,40.58,HOLD,4.66,,2022
11-03-2022,17.15,37.30,HOLD,-5.77,,2022
11-02-2022,18.20,39.99,HOLD,-10.34,,2022
11-01-2022,20.30,46.16,HOLD,-3.10,,2022
10-31-2022,20.95,48.31,HOLD,-3.46,,2022
10-28-2022,21.70,50.83,HOLD,9.05,,2022
10-27-2022,19.90,44.34,HOLD,-5.51,,2022
10-26-2022,21.06,48.15,HOLD,-6.61,,2022
10-25-2022,22.55,53.64,HOLD,6.02,,2022
10-24-2022,21.27,49.00,HOLD,3.40,,2022
10-21-2022,20.57,46.27,HOLD,7.08,,2022
10-20-2022,19.21,40.52,HOLD,-1.69,,2022
10-19-2022,19.54,41.52,HOLD,-1.21,,2022
10-18-2022,19.78,42.23,HOLD,2.49,,2022
10-17-2022,19.30,40.35,HOLD,9.85,,2022
10-14-2022,17.57,33.07,HOLD,-9.01,,2022
10-13-2022,19.31,37.32,HOLD,6.69,,2022
10-12-2022,18.10,31.64,HOLD,-0.22,,2022
10-11-2022,18.14,31.73,HOLD,-3.97,,2022
10-10-2022,18.89,33.35,HOLD,-3.13,,2022
10-07-2022,19.50,34.69,HOLD,-11.40,,2022
10-06-2022,22.01,40.96,HOLD,-2.52,,2022
10-05-2022,22.58,42.59,HOLD,0.00,,2022
10-04-2022,22.58,42.59,HOLD,9.29,,2022
10-03-2022,20.66,35.11,HOLD,6.94,,2022
09-30-2022,19.32,29.14,BUY,-5.25,,2022
09-29-2022,20.39,31.27,HOLD,-8.44,,2022
09-28-2022,22.27,35.52,HOLD,5.85,,2022
09-27-2022,21.04,29.72,BUY,0.10,,2022
09-26-2022,21.02,29.62,BUY,-1.36,,2022
09-23-2022,21.31,30.18,HOLD,-4.78,,2022
09-22-2022,22.38,32.24,HOLD,-3.70,,2022
09-21-2022,23.24,33.97,HOLD,-5.49,,2022
09-20-2022,24.59,36.85,HOLD,-2.38,,2022
09-19-2022,25.19,38.19,HOLD,2.40,,2022
09-16-2022,24.60,36.07,HOLD,-1.95,,2022
09-15-2022,25.09,37.05,HOLD,-5.03,,2022
09-14-2022,26.42,39.78,HOLD,2.24,,2022
09-13-2022,25.84,37.93,HOLD,-16.46,,2022
