Date,Price,RSI,STATUS
12-16-2022,70.00,48.66,HOLD
12-15-2022,69.73,47.58,HOLD
12-14-2022,72.02,57.08,HOLD
12-13-2022,71.93,56.76,HOLD
12-12-2022,72.21,57.99,HOLD
12-09-2022,71.71,56.43,HOLD
12-08-2022,73.00,61.96,HOLD
12-07-2022,72.55,60.71,HOLD
12-06-2022,73.55,65.11,HOLD
12-05-2022,69.88,53.66,HOLD
12-02-2022,71.28,60.72,HOLD
12-01-2022,70.84,59.15,HOLD
11-30-2022,71.36,61.86,HOLD
11-29-2022,70.31,58.28,HOLD
11-28-2022,69.62,55.73,HOLD
11-25-2022,71.46,65.63,HOLD
11-23-2022,71.13,64.58,HOLD
11-22-2022,71.05,64.34,HOLD
11-21-2022,70.51,62.73,HOLD
11-18-2022,70.05,61.34,HOLD
11-17-2022,69.37,59.27,HOLD
11-16-2022,69.63,60.42,HOLD
11-15-2022,70.18,62.82,HOLD
11-14-2022,69.36,60.65,HOLD
11-11-2022,70.86,67.30,HOLD
11-10-2022,71.50,70.35,SELL
11-09-2022,68.28,62.38,HOLD
11-08-2022,68.97,65.90,HOLD
11-07-2022,68.98,65.96,HOLD
11-04-2022,68.50,64.76,HOLD
11-03-2022,66.75,60.00,HOLD
11-02-2022,67.18,61.91,HOLD
11-01-2022,68.49,68.02,HOLD
10-31-2022,68.42,67.87,HOLD
10-28-2022,68.48,68.13,HOLD
10-27-2022,65.82,61.97,HOLD
10-26-2022,64.50,58.25,HOLD
10-25-2022,64.35,57.81,HOLD
10-24-2022,63.32,54.81,HOLD
10-21-2022,62.92,53.61,HOLD
10-20-2022,60.92,47.14,HOLD
10-19-2022,61.82,50.06,HOLD
10-18-2022,62.53,52.44,HOLD
10-17-2022,61.73,49.95,HOLD
10-14-2022,59.82,43.38,HOLD
10-13-2022,61.73,49.40,HOLD
10-12-2022,60.44,44.58,HOLD
10-11-2022,61.39,47.69,HOLD
10-10-2022,61.41,47.75,HOLD
10-07-2022,61.28,47.32,HOLD
10-06-2022,62.61,51.37,HOLD
10-05-2022,63.30,53.58,HOLD
10-04-2022,63.57,54.43,HOLD
10-03-2022,60.46,45.10,HOLD
09-30-2022,58.24,36.48,HOLD
09-29-2022,59.03,38.48,HOLD
09-28-2022,60.50,42.50,HOLD
09-27-2022,58.87,35.57,HOLD
09-26-2022,58.34,33.13,HOLD
09-23-2022,59.41,35.66,HOLD
09-22-2022,61.05,39.99,HOLD
09-21-2022,61.52,41.33,HOLD
09-20-2022,62.23,43.36,HOLD
09-19-2022,64.07,49.19,HOLD
09-16-2022,62.81,44.45,HOLD
09-15-2022,64.05,48.59,HOLD
09-14-2022,63.98,48.34,HOLD
09-13-2022,63.27,45.83,HOLD
09-12-2022,67.13,60.72,HOLD
09-09-2022,65.87,56.43,HOLD
09-08-2022,64.12,49.29,HOLD
09-07-2022,63.97,48.62,HOLD
09-06-2022,61.89,38.08,HOLD
09-02-2022,61.81,37.62,HOLD
09-01-2022,61.98,38.18,HOLD
08-31-2022,62.34,39.32,HOLD
08-30-2022,63.40,42.83,HOLD
08-29-2022,64.35,46.25,HOLD
08-26-2022,64.58,47.10,HOLD
08-25-2022,66.92,56.97,HOLD
08-24-2022,65.27,50.13,HOLD
08-23-2022,64.74,47.65,HOLD
08-22-2022,64.54,46.72,HOLD
08-19-2022,66.01,53.16,HOLD
08-18-2022,67.96,64.03,HOLD
08-17-2022,67.63,62.83,HOLD
08-16-2022,68.45,68.04,HOLD
08-15-2022,68.29,67.56,HOLD
08-12-2022,68.04,66.82,HOLD
08-11-2022,67.00,63.64,HOLD
08-10-2022,66.97,63.55,HOLD
08-09-2022,64.39,54.12,HOLD
08-08-2022,64.84,56.48,HOLD
08-05-2022,64.36,54.51,HOLD
08-04-2022,64.37,54.56,HOLD
08-03-2022,65.51,60.14,HOLD
08-02-2022,64.82,57.71,HOLD
08-01-2022,65.72,62.32,HOLD
07-29-2022,65.60,61.94,HOLD
