Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,9.66,65.10,HOLD,2.01,8.66,2023
01-09-2023,9.47,62.79,HOLD,-0.63,6.52,2023
01-06-2023,9.53,64.03,HOLD,3.70,7.20,2023
01-05-2023,9.19,59.85,HOLD,-2.23,3.37,2023
01-04-2023,9.40,64.13,HOLD,5.74,5.74,2023
01-03-2023,8.89,57.24,HOLD,-0.34,0.00,2023
12-30-2022,8.92,57.85,HOLD,1.25,,2022
12-29-2022,8.81,56.27,HOLD,4.01,,2022
12-28-2022,8.47,51.01,HOLD,-3.31,,2022
12-27-2022,8.76,56.38,HOLD,1.86,,2022
12-23-2022,8.60,53.89,HOLD,1.42,,2022
12-22-2022,8.48,51.99,HOLD,-1.74,,2022
12-21-2022,8.63,54.61,HOLD,4.48,,2022
12-20-2022,8.26,48.68,HOLD,-1.31,,2022
12-19-2022,8.37,50.50,HOLD,-4.78,,2022
12-16-2022,8.79,58.22,HOLD,0.23,,2022
12-15-2022,8.77,57.94,HOLD,-4.15,,2022
12-14-2022,9.15,65.85,HOLD,-0.97,,2022
12-13-2022,9.24,67.89,HOLD,1.32,,2022
12-12-2022,9.12,66.61,HOLD,9.09,,2022
12-09-2022,8.36,56.39,HOLD,-0.71,,2022
12-08-2022,8.42,57.68,HOLD,1.81,,2022
12-07-2022,8.27,55.30,HOLD,-1.55,,2022
12-06-2022,8.40,57.92,HOLD,-1.52,,2022
12-05-2022,8.53,60.59,HOLD,-3.94,,2022
12-02-2022,8.88,68.48,HOLD,1.37,,2022
12-01-2022,8.76,67.12,HOLD,0.46,,2022
11-30-2022,8.72,66.67,HOLD,1.99,,2022
11-29-2022,8.55,64.79,HOLD,3.76,,2022
11-28-2022,8.24,61.06,HOLD,-2.83,,2022
11-25-2022,8.48,66.09,HOLD,0.59,,2022
11-23-2022,8.43,65.54,HOLD,1.20,,2022
11-22-2022,8.33,64.47,HOLD,4.26,,2022
11-21-2022,7.99,60.61,HOLD,-3.62,,2022
11-18-2022,8.29,66.53,HOLD,1.22,,2022
11-17-2022,8.19,65.49,HOLD,-0.73,,2022
11-16-2022,8.25,66.65,HOLD,-0.96,,2022
11-15-2022,8.33,68.14,HOLD,4.65,,2022
11-14-2022,7.96,64.75,HOLD,-2.21,,2022
11-11-2022,8.14,68.02,HOLD,7.81,,2022
11-10-2022,7.55,62.22,HOLD,10.70,,2022
11-09-2022,6.82,52.27,HOLD,-2.99,,2022
11-08-2022,7.03,56.22,HOLD,-2.77,,2022
11-07-2022,7.23,60.26,HOLD,-0.28,,2022
11-04-2022,7.25,60.66,HOLD,4.92,,2022
11-03-2022,6.91,56.00,HOLD,10.56,,2022
11-02-2022,6.25,44.07,HOLD,-6.16,,2022
11-01-2022,6.66,52.24,HOLD,1.52,,2022
10-31-2022,6.56,50.15,HOLD,1.23,,2022
10-28-2022,6.48,48.47,HOLD,2.53,,2022
10-27-2022,6.32,45.04,HOLD,-0.94,,2022
10-26-2022,6.38,46.11,HOLD,-2.30,,2022
10-25-2022,6.53,48.80,HOLD,3.49,,2022
10-24-2022,6.31,44.38,HOLD,3.61,,2022
10-21-2022,6.09,39.52,HOLD,2.87,,2022
10-20-2022,5.92,35.48,HOLD,-4.52,,2022
10-19-2022,6.20,39.52,HOLD,-3.73,,2022
10-18-2022,6.44,43.45,HOLD,0.62,,2022
10-17-2022,6.40,42.57,HOLD,3.56,,2022
10-14-2022,6.18,37.58,HOLD,-3.44,,2022
10-13-2022,6.40,40.88,HOLD,2.24,,2022
10-12-2022,6.26,37.65,HOLD,-1.11,,2022
10-11-2022,6.33,38.63,HOLD,1.77,,2022
10-10-2022,6.22,36.20,HOLD,-0.80,,2022
10-07-2022,6.27,36.81,HOLD,-3.83,,2022
10-06-2022,6.52,39.96,HOLD,-2.54,,2022
10-05-2022,6.69,42.24,HOLD,1.52,,2022
10-04-2022,6.59,40.38,HOLD,3.94,,2022
10-03-2022,6.34,35.57,HOLD,6.38,,2022
09-30-2022,5.96,27.29,BUY,-8.31,,2022
09-29-2022,6.50,32.87,HOLD,-7.14,,2022
09-28-2022,7.00,39.87,HOLD,2.19,,2022
09-27-2022,6.85,36.07,HOLD,1.03,,2022
09-26-2022,6.78,34.28,HOLD,1.95,,2022
09-23-2022,6.65,30.93,HOLD,-2.06,,2022
09-22-2022,6.79,32.59,HOLD,-3.96,,2022
09-21-2022,7.07,36.20,HOLD,-2.35,,2022
09-20-2022,7.24,38.61,HOLD,-3.85,,2022
09-19-2022,7.53,43.16,HOLD,3.01,,2022
09-16-2022,7.31,38.01,HOLD,-1.48,,2022
09-15-2022,7.42,39.68,HOLD,-3.64,,2022
09-14-2022,7.70,44.27,HOLD,1.32,,2022
09-13-2022,7.60,42.05,HOLD,-6.98,,2022
09-12-2022,8.17,53.31,HOLD,2.51,,2022
09-09-2022,7.97,48.85,HOLD,1.92,,2022
09-08-2022,7.82,45.20,HOLD,0.77,,2022
09-07-2022,7.76,43.70,HOLD,4.72,,2022
09-06-2022,7.41,33.97,HOLD,0.00,,2022
09-02-2022,7.41,33.97,HOLD,-1.20,,2022
09-01-2022,7.50,35.32,HOLD,-1.19,,2022
08-31-2022,7.59,36.68,HOLD,-1.94,,2022
08-30-2022,7.74,39.00,HOLD,0.78,,2022
08-29-2022,7.68,37.53,HOLD,-1.54,,2022
08-26-2022,7.80,39.29,HOLD,-3.58,,2022
08-25-2022,8.09,43.90,HOLD,0.87,,2022
08-24-2022,8.02,42.38,HOLD,0.25,,2022
08-23-2022,8.00,41.97,HOLD,-0.12,,2022
08-22-2022,8.01,42.11,HOLD,-3.61,,2022
08-19-2022,8.31,46.46,HOLD,-5.57,,2022
