Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,45.75,68.99,HOLD,5.54,22.95,2023
01-09-2023,43.35,62.55,HOLD,2.63,16.50,2023
01-06-2023,42.24,58.89,HOLD,2.42,13.52,2023
01-05-2023,41.24,55.23,HOLD,3.83,10.83,2023
01-04-2023,39.72,48.79,HOLD,6.75,6.75,2023
01-03-2023,37.21,34.30,HOLD,-1.30,0.00,2023
12-30-2022,37.70,36.15,HOLD,-0.58,,2022
12-29-2022,37.92,36.98,HOLD,1.69,,2022
12-28-2022,37.29,32.87,HOLD,-2.38,,2022
12-27-2022,38.20,36.02,HOLD,-0.49,,2022
12-23-2022,38.39,36.71,HOLD,0.29,,2022
12-22-2022,38.28,36.06,HOLD,-1.85,,2022
12-21-2022,39.00,38.47,HOLD,1.17,,2022
12-20-2022,38.55,35.98,HOLD,1.50,,2022
12-19-2022,37.98,32.79,HOLD,-1.17,,2022
12-16-2022,38.43,34.04,HOLD,-0.31,,2022
12-15-2022,38.55,34.36,HOLD,-3.87,,2022
12-14-2022,40.10,38.76,HOLD,-2.60,,2022
12-13-2022,41.17,42.24,HOLD,-6.94,,2022
12-12-2022,44.24,55.47,HOLD,2.79,,2022
12-09-2022,43.04,49.75,HOLD,0.56,,2022
12-08-2022,42.80,48.53,HOLD,-2.86,,2022
12-07-2022,44.06,55.08,HOLD,-4.05,,2022
12-06-2022,45.92,67.60,HOLD,1.98,,2022
12-05-2022,45.03,63.96,HOLD,2.60,,2022
12-02-2022,43.89,58.41,HOLD,0.00,,2022
12-01-2022,43.89,58.41,HOLD,-0.63,,2022
11-30-2022,44.17,60.38,HOLD,1.10,,2022
11-29-2022,43.69,58.13,HOLD,1.56,,2022
11-28-2022,43.02,54.80,HOLD,-3.15,,2022
11-25-2022,44.42,64.79,HOLD,1.67,,2022
11-23-2022,43.69,61.38,HOLD,0.60,,2022
11-22-2022,43.43,60.10,HOLD,0.00,,2022
11-21-2022,43.43,60.10,HOLD,-0.89,,2022
11-18-2022,43.82,62.79,HOLD,1.32,,2022
11-17-2022,43.25,60.39,HOLD,-0.09,,2022
11-16-2022,43.29,60.64,HOLD,-1.70,,2022
11-15-2022,44.04,65.46,HOLD,0.02,,2022
11-14-2022,44.03,65.42,HOLD,-1.52,,2022
11-11-2022,44.71,69.75,HOLD,0.86,,2022
11-10-2022,44.33,68.68,HOLD,4.63,,2022
11-09-2022,42.37,62.24,HOLD,0.45,,2022
11-08-2022,42.18,61.53,HOLD,-1.40,,2022
11-07-2022,42.78,65.13,HOLD,0.38,,2022
11-04-2022,42.62,64.62,HOLD,4.08,,2022
11-03-2022,40.95,58.74,HOLD,-0.39,,2022
11-02-2022,41.11,59.62,HOLD,-3.63,,2022
11-01-2022,42.66,68.92,HOLD,-0.97,,2022
10-31-2022,43.08,71.73,SELL,-1.46,,2022
10-28-2022,43.72,76.13,SELL,1.70,,2022
10-27-2022,42.99,74.47,SELL,1.27,,2022
10-26-2022,42.45,73.19,SELL,-0.35,,2022
10-25-2022,42.60,74.15,SELL,1.72,,2022
10-24-2022,41.88,72.55,SELL,3.56,,2022
10-21-2022,40.44,68.98,HOLD,3.56,,2022
10-20-2022,39.05,64.89,HOLD,-0.13,,2022
10-19-2022,39.10,65.17,HOLD,4.97,,2022
10-18-2022,37.25,58.92,HOLD,3.19,,2022
10-17-2022,36.10,54.18,HOLD,1.78,,2022
10-14-2022,35.47,51.32,HOLD,0.20,,2022
10-13-2022,35.40,51.00,HOLD,3.42,,2022
10-12-2022,34.23,45.52,HOLD,0.88,,2022
10-11-2022,33.93,44.03,HOLD,-0.79,,2022
10-10-2022,34.20,45.06,HOLD,1.00,,2022
10-07-2022,33.86,43.51,HOLD,-3.15,,2022
10-06-2022,34.96,47.53,HOLD,-1.30,,2022
10-05-2022,35.42,49.30,HOLD,0.25,,2022
10-04-2022,35.33,48.95,HOLD,7.68,,2022
10-03-2022,32.81,37.98,HOLD,0.86,,2022
09-30-2022,32.53,36.57,HOLD,-1.15,,2022
09-29-2022,32.91,37.65,HOLD,-2.98,,2022
09-28-2022,33.92,40.60,HOLD,3.32,,2022
09-27-2022,32.83,35.54,HOLD,2.92,,2022
09-26-2022,31.90,30.88,HOLD,-3.54,,2022
09-23-2022,33.07,33.73,HOLD,-4.01,,2022
09-22-2022,34.45,37.52,HOLD,-4.62,,2022
09-21-2022,36.12,42.95,HOLD,-5.37,,2022
09-20-2022,38.17,51.43,HOLD,-1.37,,2022
09-19-2022,38.70,53.99,HOLD,3.26,,2022
09-16-2022,37.48,48.52,HOLD,-3.65,,2022
09-15-2022,38.90,55.68,HOLD,1.22,,2022
09-14-2022,38.43,53.57,HOLD,1.69,,2022
09-13-2022,37.79,50.60,HOLD,-3.65,,2022
09-12-2022,39.22,58.35,HOLD,-0.10,,2022
09-09-2022,39.26,58.58,HOLD,0.98,,2022
09-08-2022,38.88,57.07,HOLD,0.73,,2022
09-07-2022,38.60,55.97,HOLD,5.52,,2022
09-06-2022,36.58,46.85,HOLD,3.60,,2022
09-02-2022,35.31,39.55,HOLD,0.37,,2022
09-01-2022,35.18,38.75,HOLD,0.49,,2022
08-31-2022,35.01,37.75,HOLD,-2.59,,2022
08-30-2022,35.94,41.16,HOLD,-0.22,,2022
08-29-2022,36.02,41.46,HOLD,-1.50,,2022
08-26-2022,36.57,43.49,HOLD,-4.44,,2022
08-25-2022,38.27,50.56,HOLD,2.35,,2022
08-24-2022,37.39,46.37,HOLD,1.30,,2022
08-23-2022,36.91,43.96,HOLD,1.51,,2022
08-22-2022,36.36,41.15,HOLD,-3.04,,2022
08-19-2022,37.50,45.54,HOLD,-3.99,,2022
08-18-2022,39.06,52.70,HOLD,0.26,,2022
08-17-2022,38.96,52.25,HOLD,-3.30,,2022
08-16-2022,40.29,59.15,HOLD,1.08,,2022
08-15-2022,39.86,57.47,HOLD,1.32,,2022
08-12-2022,39.34,55.40,HOLD,1.73,,2022
08-11-2022,38.67,52.65,HOLD,-0.05,,2022
08-10-2022,38.69,52.74,HOLD,2.35,,2022
08-09-2022,37.80,49.14,HOLD,-2.20,,2022
08-08-2022,38.65,52.70,HOLD,2.19,,2022
08-05-2022,37.82,49.37,HOLD,-2.10,,2022
08-04-2022,38.63,52.73,HOLD,0.00,,2022
08-03-2022,38.63,52.73,HOLD,3.76,,2022
08-02-2022,37.23,47.39,HOLD,-1.22,,2022
08-01-2022,37.69,49.08,HOLD,2.56,,2022
07-29-2022,36.75,45.39,HOLD,0.03,,2022
07-28-2022,36.74,45.35,HOLD,0.88,,2022
07-27-2022,36.42,44.16,HOLD,3.06,,2022
07-26-2022,35.34,40.06,HOLD,-2.75,,2022
07-25-2022,36.34,42.76,HOLD,0.03,,2022
07-22-2022,36.33,42.72,HOLD,-2.96,,2022
07-21-2022,37.44,45.66,HOLD,-10.17,,2022
07-20-2022,41.68,60.43,HOLD,0.51,,2022
07-19-2022,41.47,59.83,HOLD,5.41,,2022
07-18-2022,39.34,53.17,HOLD,1.44,,2022
07-15-2022,38.78,51.20,HOLD,2.46,,2022
07-14-2022,37.85,47.81,HOLD,-0.16,,2022
07-13-2022,37.91,48.01,HOLD,-0.84,,2022
07-12-2022,38.23,49.02,HOLD,8.09,,2022
07-11-2022,35.37,38.17,HOLD,-3.02,,2022
07-08-2022,36.47,41.31,HOLD,-0.60,,2022
07-07-2022,36.69,41.95,HOLD,0.08,,2022
07-06-2022,36.66,41.83,HOLD,-0.84,,2022
07-05-2022,36.97,42.64,HOLD,1.45,,2022
07-01-2022,36.44,40.83,HOLD,2.88,,2022
06-30-2022,35.42,37.30,HOLD,-0.73,,2022
06-29-2022,35.68,37.83,HOLD,-3.49,,2022
06-28-2022,36.97,40.51,HOLD,-0.62,,2022
06-27-2022,37.20,40.99,HOLD,-3.40,,2022
06-24-2022,38.51,43.73,HOLD,7.54,,2022
06-23-2022,35.81,35.47,HOLD,-2.48,,2022
06-22-2022,36.72,37.18,HOLD,0.60,,2022
06-21-2022,36.50,36.49,HOLD,0.61,,2022
06-17-2022,36.28,35.84,HOLD,4.31,,2022
06-16-2022,34.78,31.39,HOLD,-8.21,,2022
06-15-2022,37.89,36.23,HOLD,2.43,,2022
06-14-2022,36.99,33.47,HOLD,-0.08,,2022
06-13-2022,37.02,33.51,HOLD,-10.06,,2022
06-10-2022,41.16,40.46,HOLD,-3.61,,2022
06-09-2022,42.70,43.58,HOLD,-4.26,,2022
06-08-2022,44.60,47.81,HOLD,-3.98,,2022
06-07-2022,46.45,52.40,HOLD,3.78,,2022
06-06-2022,44.76,48.18,HOLD,0.74,,2022
06-03-2022,44.43,47.33,HOLD,-2.93,,2022
