Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,59.22,49.89,HOLD,0.00,0.00,0.00
08-22-2022,60.00,52.08,HOLD,0.00,0.00,0.00
08-19-2022,63.55,63.93,HOLD,0.00,0.00,0.00
08-18-2022,65.23,71.03,HOLD,0.00,0.00,0.00
08-17-2022,65.02,70.66,HOLD,0.00,0.00,0.00
08-16-2022,65.95,74.67,HOLD,0.00,0.00,0.00
08-15-2022,64.59,72.55,HOLD,0.00,0.00,0.00
08-12-2022,63.73,71.14,HOLD,0.00,0.00,0.00
08-11-2022,61.46,66.96,HOLD,0.00,0.00,0.00
08-10-2022,61.19,66.42,HOLD,0.00,0.00,0.00
08-09-2022,58.42,60.27,HOLD,0.00,0.00,0.00
08-08-2022,58.68,61.25,HOLD,0.00,0.00,0.00
08-05-2022,58.44,60.70,HOLD,0.00,0.00,0.00
08-04-2022,58.13,60.03,HOLD,0.00,0.00,0.00
08-03-2022,58.60,61.52,HOLD,0.00,0.00,0.00
08-02-2022,56.47,57.03,HOLD,0.00,0.00,0.00
08-01-2022,58.62,64.03,HOLD,0.00,0.00,0.00
07-29-2022,58.90,64.99,HOLD,0.00,0.00,0.00
07-28-2022,57.16,61.66,HOLD,0.00,0.00,0.00
07-27-2022,55.51,58.15,HOLD,0.00,0.00,0.00
07-26-2022,53.27,52.69,HOLD,0.00,0.00,0.00
07-25-2022,54.50,56.44,HOLD,0.00,0.00,0.00
07-22-2022,54.06,55.39,HOLD,0.00,0.00,0.00
07-21-2022,54.75,57.41,HOLD,0.00,0.00,0.00
07-20-2022,53.92,55.60,HOLD,0.00,0.00,0.00
07-19-2022,53.62,54.96,HOLD,0.00,0.00,0.00
07-18-2022,50.02,46.27,HOLD,0.00,0.00,0.00
07-15-2022,51.04,48.74,HOLD,0.00,0.00,0.00
07-14-2022,48.02,39.92,HOLD,0.00,0.00,0.00
07-13-2022,48.70,41.41,HOLD,0.00,0.00,0.00
07-12-2022,49.76,43.78,HOLD,0.00,0.00,0.00
07-11-2022,50.67,45.87,HOLD,0.00,0.00,0.00
07-08-2022,51.49,47.77,HOLD,0.00,0.00,0.00
07-07-2022,51.72,48.30,HOLD,0.00,0.00,0.00
07-06-2022,50.03,44.12,HOLD,0.00,0.00,0.00
07-05-2022,49.70,43.29,HOLD,0.00,0.00,0.00
07-01-2022,50.27,44.35,HOLD,0.00,0.00,0.00
06-30-2022,48.90,41.14,HOLD,0.00,0.00,0.00
06-29-2022,49.97,42.93,HOLD,0.00,0.00,0.00
06-28-2022,49.65,42.24,HOLD,0.00,0.00,0.00
06-27-2022,52.16,46.38,HOLD,0.00,0.00,0.00
06-24-2022,52.50,46.96,HOLD,0.00,0.00,0.00
06-23-2022,48.50,38.57,HOLD,0.00,0.00,0.00
06-22-2022,47.55,36.36,HOLD,0.00,0.00,0.00
06-21-2022,48.11,37.09,HOLD,0.00,0.00,0.00
06-17-2022,45.18,30.26,HOLD,0.00,0.00,0.00
06-16-2022,45.41,30.50,HOLD,0.00,0.00,0.00
06-15-2022,48.91,34.37,HOLD,0.00,0.00,0.00
06-14-2022,47.53,31.17,HOLD,0.00,0.00,0.00
06-13-2022,48.21,31.88,HOLD,0.00,0.00,0.00
06-10-2022,52.59,36.93,HOLD,0.00,0.00,0.00
06-09-2022,57.24,43.75,HOLD,0.00,0.00,0.00
06-08-2022,60.71,50.18,HOLD,0.00,0.00,0.00
06-07-2022,62.28,53.48,HOLD,0.00,0.00,0.00
06-06-2022,60.82,50.68,HOLD,0.00,0.00,0.00
06-03-2022,60.75,50.54,HOLD,0.00,0.00,0.00
06-02-2022,62.66,54.23,HOLD,0.00,0.00,0.00
06-01-2022,60.29,50.03,HOLD,0.00,0.00,0.00
05-31-2022,61.31,51.94,HOLD,0.00,0.00,0.00
05-27-2022,62.37,53.92,HOLD,0.00,0.00,0.00
