Date,Price,RSI,STATUS
12-16-2022,50.27,57.62,HOLD
12-15-2022,50.54,60.47,HOLD
12-14-2022,51.36,70.24,SELL
12-13-2022,50.66,65.87,HOLD
12-12-2022,50.68,66.13,HOLD
12-09-2022,50.35,63.96,HOLD
12-08-2022,50.40,64.54,HOLD
12-07-2022,50.82,69.45,HOLD
12-06-2022,51.17,73.79,SELL
12-05-2022,50.99,72.99,SELL
12-02-2022,51.50,79.41,SELL
12-01-2022,51.15,78.19,SELL
11-30-2022,50.38,75.17,SELL
11-29-2022,49.46,70.67,SELL
11-28-2022,49.59,72.40,SELL
11-25-2022,49.66,73.29,SELL
11-23-2022,49.53,72.71,SELL
11-22-2022,49.10,70.76,SELL
11-21-2022,48.69,68.78,HOLD
11-18-2022,48.21,66.31,HOLD
11-17-2022,48.13,65.89,HOLD
11-16-2022,48.47,69.28,HOLD
11-15-2022,47.92,66.71,HOLD
11-14-2022,47.45,64.33,HOLD
11-11-2022,47.16,62.81,HOLD
11-10-2022,47.54,66.25,HOLD
11-09-2022,46.16,58.61,HOLD
11-08-2022,46.63,63.13,HOLD
11-07-2022,46.30,61.18,HOLD
11-04-2022,46.28,61.06,HOLD
11-03-2022,44.62,49.43,HOLD
11-02-2022,44.92,52.04,HOLD
11-01-2022,45.50,57.48,HOLD
10-31-2022,45.51,57.58,HOLD
10-28-2022,45.74,59.72,HOLD
10-27-2022,44.70,52.27,HOLD
10-26-2022,44.98,54.80,HOLD
10-25-2022,45.13,56.16,HOLD
10-24-2022,44.45,51.07,HOLD
10-21-2022,44.56,51.97,HOLD
10-20-2022,43.52,43.10,HOLD
10-19-2022,43.80,45.19,HOLD
10-18-2022,44.19,48.21,HOLD
10-17-2022,43.98,46.42,HOLD
10-14-2022,43.25,39.69,HOLD
10-13-2022,43.68,42.61,HOLD
10-12-2022,43.52,41.11,HOLD
10-11-2022,43.32,39.27,HOLD
10-10-2022,43.24,38.56,HOLD
10-07-2022,43.35,39.14,HOLD
10-06-2022,43.73,41.16,HOLD
10-05-2022,44.62,46.34,HOLD
10-04-2022,45.27,50.66,HOLD
10-03-2022,44.12,41.73,HOLD
09-30-2022,43.84,39.24,HOLD
09-29-2022,44.71,44.75,HOLD
09-28-2022,44.24,40.56,HOLD
09-27-2022,43.31,30.94,HOLD
09-26-2022,43.82,33.72,HOLD
09-23-2022,43.85,33.89,HOLD
09-22-2022,45.66,46.83,HOLD
09-21-2022,45.53,45.44,HOLD
09-20-2022,45.22,42.09,HOLD
09-19-2022,45.34,43.04,HOLD
09-16-2022,45.17,41.29,HOLD
09-15-2022,45.39,42.87,HOLD
09-14-2022,45.92,46.87,HOLD
09-13-2022,45.89,46.61,HOLD
09-12-2022,46.83,54.42,HOLD
09-09-2022,46.01,47.26,HOLD
09-08-2022,44.95,35.02,HOLD
09-07-2022,45.30,37.70,HOLD
09-06-2022,44.80,30.65,HOLD
09-02-2022,44.60,27.60,BUY
09-01-2022,44.91,29.46,BUY
08-31-2022,45.39,32.63,HOLD
08-30-2022,45.75,35.27,HOLD
08-29-2022,45.95,36.80,HOLD
08-26-2022,46.02,37.33,HOLD
08-25-2022,47.01,45.99,HOLD
08-24-2022,46.94,45.15,HOLD
08-23-2022,46.59,40.91,HOLD
08-22-2022,47.02,44.87,HOLD
08-19-2022,47.41,48.85,HOLD
08-18-2022,47.35,48.20,HOLD
08-17-2022,47.65,51.25,HOLD
08-16-2022,47.65,51.25,HOLD
08-15-2022,47.81,52.79,HOLD
08-12-2022,47.78,52.55,HOLD
08-11-2022,47.65,51.52,HOLD
08-10-2022,48.38,58.07,HOLD
08-09-2022,47.85,54.14,HOLD
08-08-2022,48.42,59.73,HOLD
08-05-2022,48.07,57.21,HOLD
08-04-2022,48.42,60.73,HOLD
08-03-2022,48.80,64.76,HOLD
08-02-2022,48.49,62.90,HOLD
08-01-2022,48.90,67.26,HOLD
07-29-2022,48.66,65.98,HOLD
07-28-2022,48.34,64.24,HOLD
07-27-2022,48.44,65.21,HOLD
07-26-2022,48.85,69.16,HOLD
07-25-2022,47.14,59.69,HOLD
07-22-2022,47.02,58.87,HOLD
07-21-2022,46.66,56.39,HOLD
07-20-2022,46.57,55.77,HOLD
07-19-2022,47.30,62.45,HOLD
07-18-2022,45.94,52.63,HOLD
07-15-2022,46.21,55.30,HOLD
07-14-2022,45.93,53.00,HOLD
07-13-2022,46.27,56.26,HOLD
07-12-2022,46.02,54.34,HOLD
07-11-2022,45.78,52.49,HOLD
07-08-2022,46.13,55.54,HOLD
07-07-2022,46.13,55.54,HOLD
07-06-2022,46.18,55.94,HOLD
07-05-2022,45.84,53.84,HOLD
07-01-2022,46.29,57.19,HOLD
06-30-2022,45.83,54.50,HOLD
06-29-2022,45.56,52.89,HOLD
06-28-2022,45.33,51.53,HOLD
06-27-2022,46.00,55.89,HOLD
06-24-2022,46.25,57.58,HOLD
06-23-2022,44.57,47.73,HOLD
06-22-2022,44.37,46.35,HOLD
06-21-2022,44.37,46.35,HOLD
06-17-2022,43.72,42.08,HOLD
06-16-2022,43.69,41.88,HOLD
06-15-2022,44.06,43.59,HOLD
06-14-2022,43.56,40.54,HOLD
06-13-2022,44.29,43.75,HOLD
06-10-2022,45.06,47.42,HOLD
06-09-2022,45.19,48.05,HOLD
06-08-2022,46.04,52.29,HOLD
06-07-2022,46.75,56.12,HOLD
06-06-2022,46.71,55.95,HOLD
06-03-2022,46.52,55.19,HOLD
06-02-2022,46.65,55.80,HOLD
06-01-2022,46.24,54.32,HOLD
05-31-2022,48.33,64.60,HOLD
05-27-2022,43.98,44.19,HOLD
05-26-2022,43.82,43.06,HOLD
05-25-2022,43.86,43.27,HOLD
05-24-2022,44.70,47.62,HOLD
05-23-2022,44.44,46.06,HOLD
05-20-2022,43.99,43.35,HOLD
05-19-2022,43.05,37.23,HOLD
05-18-2022,44.20,42.44,HOLD
05-17-2022,45.86,52.22,HOLD
05-16-2022,45.57,50.36,HOLD
05-13-2022,46.17,54.42,HOLD
05-12-2022,45.19,48.07,HOLD
05-11-2022,44.72,44.64,HOLD
05-10-2022,45.49,49.63,HOLD
05-09-2022,44.83,44.71,HOLD
05-06-2022,44.48,41.91,HOLD
05-05-2022,44.82,43.91,HOLD
05-04-2022,45.90,51.12,HOLD
05-03-2022,45.65,49.33,HOLD
05-02-2022,45.64,49.26,HOLD
04-29-2022,46.26,53.45,HOLD
04-28-2022,46.16,52.85,HOLD
04-27-2022,44.84,44.00,HOLD
04-26-2022,45.66,49.34,HOLD
04-25-2022,46.39,54.85,HOLD
04-22-2022,45.41,47.56,HOLD
04-21-2022,45.54,48.52,HOLD
04-20-2022,45.42,47.61,HOLD
04-19-2022,44.79,42.66,HOLD
04-18-2022,44.22,37.72,HOLD
04-14-2022,44.66,40.20,HOLD
04-13-2022,45.01,42.26,HOLD
04-12-2022,44.50,37.97,HOLD
04-11-2022,45.36,42.97,HOLD
04-08-2022,45.83,46.04,HOLD
04-07-2022,46.12,48.01,HOLD
04-06-2022,45.91,46.47,HOLD
04-05-2022,46.16,48.05,HOLD
04-04-2022,46.55,50.53,HOLD
04-01-2022,46.60,50.84,HOLD
03-31-2022,45.57,44.25,HOLD
03-30-2022,46.26,48.27,HOLD
03-29-2022,46.25,48.21,HOLD
03-28-2022,45.20,41.18,HOLD
03-25-2022,44.90,38.99,HOLD
03-24-2022,44.61,36.87,HOLD
03-23-2022,44.74,37.41,HOLD
03-22-2022,45.52,40.74,HOLD
03-21-2022,45.08,37.84,HOLD
03-18-2022,45.30,38.72,HOLD
03-17-2022,45.32,38.80,HOLD
03-16-2022,45.08,37.43,HOLD
03-15-2022,44.39,33.46,HOLD
03-14-2022,44.35,33.23,HOLD
03-11-2022,43.95,31.04,HOLD
03-10-2022,44.35,32.01,HOLD
03-09-2022,45.42,34.73,HOLD
03-08-2022,43.71,25.33,BUY
03-07-2022,43.88,25.67,BUY
03-04-2022,45.68,29.59,BUY
03-03-2022,47.70,35.19,HOLD
03-02-2022,48.67,38.43,HOLD
03-01-2022,48.74,38.67,HOLD
02-28-2022,50.27,44.25,HOLD
02-25-2022,50.55,45.36,HOLD
02-24-2022,49.06,37.62,HOLD
02-23-2022,51.60,48.50,HOLD
02-22-2022,51.35,47.10,HOLD
02-18-2022,52.30,52.09,HOLD
02-17-2022,51.69,48.86,HOLD
02-16-2022,51.88,49.83,HOLD
02-15-2022,51.49,47.86,HOLD
02-14-2022,51.60,48.36,HOLD
02-11-2022,52.73,53.70,HOLD
02-10-2022,51.22,46.34,HOLD
02-09-2022,52.14,50.92,HOLD
02-08-2022,52.30,51.75,HOLD
02-07-2022,52.25,51.52,HOLD
02-04-2022,51.40,47.61,HOLD
02-03-2022,51.78,49.26,HOLD
02-02-2022,51.20,46.64,HOLD
02-01-2022,51.13,46.33,HOLD
01-31-2022,51.39,47.27,HOLD
01-28-2022,51.30,46.93,HOLD
01-27-2022,51.20,46.56,HOLD
01-26-2022,51.31,46.89,HOLD
01-25-2022,52.72,51.21,HOLD
01-24-2022,53.54,53.89,HOLD
01-21-2022,49.31,38.46,HOLD
01-20-2022,49.40,38.72,HOLD
01-19-2022,50.04,40.50,HOLD
01-18-2022,46.45,21.77,BUY
01-14-2022,54.29,60.16,HOLD
01-13-2022,53.68,54.35,HOLD
01-12-2022,53.60,53.52,HOLD
01-11-2022,53.95,57.77,HOLD
01-10-2022,54.23,61.39,HOLD
01-07-2022,53.80,57.60,HOLD
01-06-2022,53.17,51.07,HOLD
01-05-2022,53.70,58.05,HOLD
01-04-2022,53.80,59.48,HOLD
01-03-2022,54.06,63.23,HOLD
12-31-2021,53.79,60.85,HOLD
12-30-2021,53.58,58.93,HOLD
12-29-2021,53.62,59.44,HOLD
12-28-2021,53.53,58.69,HOLD
12-27-2021,53.25,56.34,HOLD
12-23-2021,52.82,52.49,HOLD
12-22-2021,52.46,48.99,HOLD
12-21-2021,52.29,47.29,HOLD
12-20-2021,52.53,49.45,HOLD
12-17-2021,52.70,50.99,HOLD
12-16-2021,53.30,56.75,HOLD
12-15-2021,52.70,51.68,HOLD
12-14-2021,53.03,54.97,HOLD
12-13-2021,53.09,55.57,HOLD
12-10-2021,53.25,57.11,HOLD
12-09-2021,52.90,54.55,HOLD
12-08-2021,52.98,55.25,HOLD
12-07-2021,52.35,50.63,HOLD
12-06-2021,52.62,52.80,HOLD
12-03-2021,51.29,41.27,HOLD
12-02-2021,51.44,42.35,HOLD
12-01-2021,50.61,33.37,HOLD
11-30-2021,50.85,34.83,HOLD
11-29-2021,52.76,51.43,HOLD
11-26-2021,52.49,48.19,HOLD
11-24-2021,52.10,43.09,HOLD
11-23-2021,52.25,44.66,HOLD
11-22-2021,51.27,28.97,BUY
11-19-2021,51.46,30.53,HOLD
11-18-2021,51.32,27.88,BUY
11-17-2021,51.77,31.47,HOLD
11-16-2021,52.01,33.61,HOLD
11-15-2021,52.32,36.60,HOLD
11-12-2021,52.46,38.01,HOLD
11-11-2021,52.46,38.01,HOLD
11-10-2021,52.97,43.28,HOLD
11-09-2021,52.95,42.99,HOLD
11-08-2021,52.81,41.05,HOLD
11-05-2021,52.86,41.52,HOLD
11-04-2021,52.87,41.60,HOLD
11-03-2021,54.06,54.38,HOLD
11-02-2021,53.82,51.60,HOLD
11-01-2021,53.77,51.02,HOLD
10-29-2021,53.58,48.86,HOLD
10-28-2021,53.88,52.23,HOLD
10-27-2021,53.54,48.49,HOLD
10-26-2021,54.00,53.78,HOLD
10-25-2021,53.51,48.19,HOLD
10-22-2021,53.71,50.51,HOLD
10-21-2021,53.38,46.58,HOLD
10-20-2021,52.80,38.62,HOLD
10-19-2021,52.51,34.06,HOLD
10-18-2021,52.72,35.85,HOLD
10-15-2021,52.96,37.97,HOLD
10-14-2021,53.14,39.60,HOLD
10-13-2021,52.97,37.24,HOLD
10-12-2021,52.28,26.39,BUY
10-11-2021,52.50,27.81,BUY
10-08-2021,52.64,28.73,BUY
10-07-2021,52.93,30.67,HOLD
10-06-2021,53.05,31.49,HOLD
10-05-2021,53.44,34.25,HOLD
10-04-2021,53.81,37.11,HOLD
10-01-2021,54.21,40.51,HOLD
09-30-2021,54.22,40.59,HOLD
09-29-2021,54.84,46.27,HOLD
09-28-2021,54.42,41.09,HOLD
09-27-2021,54.25,38.87,HOLD
09-24-2021,54.57,41.61,HOLD
09-23-2021,54.86,44.23,HOLD
09-22-2021,54.60,41.14,HOLD
09-21-2021,54.47,39.59,HOLD
09-20-2021,54.23,36.74,HOLD
09-17-2021,53.95,33.32,HOLD
09-16-2021,54.54,37.26,HOLD
09-15-2021,54.96,40.41,HOLD
09-14-2021,55.37,43.77,HOLD
09-13-2021,55.22,42.14,HOLD
09-10-2021,54.73,36.54,HOLD
09-09-2021,54.85,37.36,HOLD
09-08-2021,55.42,41.48,HOLD
09-07-2021,55.04,37.20,HOLD
09-03-2021,55.15,37.94,HOLD
09-02-2021,54.86,34.74,HOLD
09-01-2021,56.02,42.98,HOLD
08-31-2021,55.68,39.05,HOLD
08-30-2021,55.80,39.95,HOLD
08-27-2021,55.51,36.66,HOLD
08-26-2021,55.74,38.20,HOLD
08-25-2021,55.57,36.37,HOLD
08-24-2021,55.94,38.69,HOLD
08-23-2021,56.38,41.63,HOLD
08-20-2021,56.37,41.53,HOLD
08-19-2021,55.95,37.63,HOLD
08-18-2021,56.31,39.74,HOLD
