Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,178.77,51.73,HOLD,-1.61,1.99,2023
01-09-2023,181.69,56.23,HOLD,1.53,3.66,2023
01-06-2023,178.95,52.64,HOLD,2.94,2.09,2023
01-05-2023,173.84,44.80,HOLD,-1.85,-0.82,2023
01-04-2023,177.11,49.69,HOLD,1.04,1.04,2023
01-03-2023,175.28,46.67,HOLD,0.83,0.00,2023
12-30-2022,173.84,44.22,HOLD,-1.09,,2022
12-29-2022,175.75,46.87,HOLD,1.23,,2022
12-28-2022,173.61,43.33,HOLD,-1.88,,2022
12-27-2022,176.93,47.92,HOLD,-0.05,,2022
12-23-2022,177.01,48.04,HOLD,0.80,,2022
12-22-2022,175.61,45.95,HOLD,-0.61,,2022
12-21-2022,176.68,47.30,HOLD,1.76,,2022
12-20-2022,173.63,42.86,HOLD,-2.69,,2022
12-19-2022,178.43,48.88,HOLD,0.13,,2022
12-16-2022,178.20,48.56,HOLD,-1.66,,2022
12-15-2022,181.21,52.57,HOLD,-1.68,,2022
12-14-2022,184.31,57.08,HOLD,0.25,,2022
12-13-2022,183.85,56.57,HOLD,0.72,,2022
12-12-2022,182.53,55.14,HOLD,2.75,,2022
12-09-2022,177.64,49.40,HOLD,-1.11,,2022
12-08-2022,179.63,51.91,HOLD,2.84,,2022
12-07-2022,174.67,45.51,HOLD,-0.25,,2022
12-06-2022,175.10,46.00,HOLD,-3.35,,2022
12-05-2022,181.16,53.60,HOLD,-4.35,,2022
12-02-2022,189.39,67.69,HOLD,-0.42,,2022
12-01-2022,190.19,69.33,HOLD,0.24,,2022
11-30-2022,189.73,68.93,HOLD,2.62,,2022
11-29-2022,184.89,64.35,HOLD,2.77,,2022
11-28-2022,179.91,58.51,HOLD,-1.43,,2022
11-25-2022,182.52,63.58,HOLD,-0.18,,2022
11-23-2022,182.84,64.21,HOLD,0.05,,2022
11-22-2022,182.74,64.11,HOLD,1.18,,2022
11-21-2022,180.61,61.93,HOLD,0.92,,2022
11-18-2022,178.97,60.19,HOLD,1.65,,2022
11-17-2022,176.06,56.97,HOLD,-0.56,,2022
11-16-2022,177.06,58.48,HOLD,-2.43,,2022
11-15-2022,181.47,65.61,HOLD,2.07,,2022
11-14-2022,177.79,62.02,HOLD,-0.22,,2022
11-11-2022,178.19,62.68,HOLD,3.41,,2022
11-10-2022,172.32,56.35,HOLD,5.07,,2022
11-09-2022,164.01,43.82,HOLD,-2.83,,2022
11-08-2022,168.79,51.76,HOLD,-0.20,,2022
11-07-2022,169.13,52.38,HOLD,2.08,,2022
11-04-2022,165.69,46.28,HOLD,1.02,,2022
11-03-2022,164.01,42.96,HOLD,-0.35,,2022
11-02-2022,164.58,43.81,HOLD,-1.68,,2022
11-01-2022,167.40,48.21,HOLD,-0.22,,2022
10-31-2022,167.77,48.80,HOLD,0.36,,2022
10-28-2022,167.17,47.83,HOLD,0.41,,2022
10-27-2022,166.49,46.77,HOLD,-1.48,,2022
10-26-2022,168.99,50.27,HOLD,1.19,,2022
10-25-2022,167.00,47.35,HOLD,-0.33,,2022
10-24-2022,167.55,48.08,HOLD,1.21,,2022
10-21-2022,165.55,45.26,HOLD,2.84,,2022
10-20-2022,160.98,38.13,HOLD,-2.90,,2022
10-19-2022,165.79,43.69,HOLD,-0.72,,2022
10-18-2022,166.99,45.22,HOLD,1.38,,2022
10-17-2022,164.72,41.63,HOLD,1.88,,2022
10-14-2022,161.68,36.46,HOLD,-1.21,,2022
10-13-2022,163.66,38.52,HOLD,2.62,,2022
10-12-2022,159.48,30.85,HOLD,0.04,,2022
10-11-2022,159.41,30.72,HOLD,-0.21,,2022
10-10-2022,159.74,30.98,HOLD,0.38,,2022
