Date,Price,RSI,STATUS
01-09-2023,46.61,68.25,HOLD
01-06-2023,46.31,66.91,HOLD
01-05-2023,45.67,63.88,HOLD
01-04-2023,46.03,67.09,HOLD
01-03-2023,44.64,59.86,HOLD
12-30-2022,43.61,52.70,HOLD
12-29-2022,43.57,52.40,HOLD
12-28-2022,43.35,50.77,HOLD
12-27-2022,43.65,53.07,HOLD
12-23-2022,43.20,49.91,HOLD
12-22-2022,42.85,47.36,HOLD
12-21-2022,42.71,46.34,HOLD
12-20-2022,41.93,40.39,HOLD
12-19-2022,41.95,40.50,HOLD
12-16-2022,42.15,41.52,HOLD
12-15-2022,42.84,45.17,HOLD
12-14-2022,43.29,47.71,HOLD
12-13-2022,44.25,53.68,HOLD
12-12-2022,43.46,48.78,HOLD
12-09-2022,43.11,46.44,HOLD
12-08-2022,43.56,49.12,HOLD
12-07-2022,43.56,49.12,HOLD
12-06-2022,42.94,45.38,HOLD
12-05-2022,43.91,50.80,HOLD
12-02-2022,45.64,63.30,HOLD
12-01-2022,45.35,61.84,HOLD
11-30-2022,45.39,62.15,HOLD
11-29-2022,44.59,58.17,HOLD
11-28-2022,43.74,53.32,HOLD
11-25-2022,44.26,57.08,HOLD
11-23-2022,44.11,56.25,HOLD
11-22-2022,43.91,55.19,HOLD
11-21-2022,43.39,52.38,HOLD
11-18-2022,43.38,52.33,HOLD
11-17-2022,42.77,49.10,HOLD
11-16-2022,42.93,49.92,HOLD
11-15-2022,43.77,54.37,HOLD
11-14-2022,43.85,54.80,HOLD
11-11-2022,44.92,60.79,HOLD
11-10-2022,44.87,60.60,HOLD
11-09-2022,43.24,53.96,HOLD
11-08-2022,44.17,59.25,HOLD
11-07-2022,43.53,56.53,HOLD
11-04-2022,42.83,53.36,HOLD
11-03-2022,41.50,46.49,HOLD
11-02-2022,41.75,47.71,HOLD
11-01-2022,42.88,53.66,HOLD
10-31-2022,42.45,51.53,HOLD
10-28-2022,42.86,53.72,HOLD
10-27-2022,42.08,49.96,HOLD
10-26-2022,42.39,51.50,HOLD
10-25-2022,42.01,49.73,HOLD
10-24-2022,41.13,45.46,HOLD
10-21-2022,40.51,42.24,HOLD
10-20-2022,40.01,39.57,HOLD
10-19-2022,41.26,44.33,HOLD
10-18-2022,42.80,51.38,HOLD
10-17-2022,42.64,50.63,HOLD
10-14-2022,42.76,51.18,HOLD
10-13-2022,41.37,44.64,HOLD
10-12-2022,39.11,30.60,HOLD
10-11-2022,38.79,28.21,BUY
10-10-2022,39.83,31.49,HOLD
10-07-2022,40.20,32.75,HOLD
10-06-2022,41.08,35.91,HOLD
10-05-2022,42.20,40.54,HOLD
10-04-2022,42.63,42.50,HOLD
10-03-2022,41.57,35.37,HOLD
09-30-2022,40.32,25.21,BUY
09-29-2022,40.73,26.48,BUY
09-28-2022,41.42,28.73,BUY
