Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,16.21,38.12,HOLD,-4.42,-41.56,-47.93
01-11-2024,16.96,42.89,HOLD,-1.97,-38.86,-44.85
01-10-2024,17.30,45.28,HOLD,0.82,-37.64,-42.68
01-09-2024,17.16,44.09,HOLD,-0.98,-38.14,-42.74
01-08-2024,17.33,45.19,HOLD,2.54,-37.53,-41.39
01-05-2024,16.90,41.76,HOLD,-0.24,-39.08,-42.79
01-04-2024,16.94,41.98,HOLD,-3.26,-38.93,-42.48
01-03-2024,17.51,45.24,HOLD,-6.11,-36.88,-40.68
01-02-2024,18.65,52.87,HOLD,-0.80,-32.77,-32.77
12-29-2023,18.80,53.98,HOLD,-1.36,-32.23,0.00
12-28-2023,19.06,55.87,HOLD,1.17,-31.29,0.00
12-27-2023,18.84,54.62,HOLD,0.64,-32.08,0.00
12-26-2023,18.72,53.96,HOLD,0.70,-32.52,0.00
12-22-2023,18.59,53.28,HOLD,-3.23,-32.98,0.00
12-21-2023,19.21,57.02,HOLD,7.08,-30.75,0.00
12-20-2023,17.94,50.39,HOLD,-4.27,-35.33,0.00
12-19-2023,18.74,55.39,HOLD,2.07,-32.44,0.00
12-18-2023,18.36,53.35,HOLD,-7.79,-33.81,0.00
12-15-2023,19.91,64.54,HOLD,-2.35,-28.23,0.00
12-14-2023,20.39,68.69,HOLD,8.40,-26.50,0.00
12-13-2023,18.81,61.04,HOLD,5.91,-32.19,0.00
12-12-2023,17.76,54.12,HOLD,-2.58,-35.98,0.00
12-11-2023,18.23,58.44,HOLD,0.50,-34.28,0.00
12-08-2023,18.14,57.84,HOLD,-0.33,-34.61,0.00
12-07-2023,18.20,58.36,HOLD,-0.05,-34.39,0.00
12-06-2023,18.21,58.44,HOLD,0.77,-34.35,0.00
12-05-2023,18.07,57.67,HOLD,-3.83,-34.86,0.00
12-04-2023,18.79,63.23,HOLD,3.87,-32.26,0.00
12-01-2023,18.09,59.73,HOLD,8.13,-34.79,0.00
11-30-2023,16.73,51.36,HOLD,-2.34,-39.69,0.00
11-29-2023,17.13,54.45,HOLD,1.30,-38.25,0.00
11-28-2023,16.91,53.01,HOLD,1.99,-39.04,0.00
11-27-2023,16.58,50.84,HOLD,-0.06,-40.23,0.00
11-24-2023,16.59,50.90,HOLD,-0.54,-40.19,0.00
11-22-2023,16.68,51.46,HOLD,0.91,-39.87,0.00
11-21-2023,16.53,50.62,HOLD,-3.45,-40.41,0.00
11-20-2023,17.12,54.04,HOLD,-0.52,-38.28,0.00
11-17-2023,17.21,54.56,HOLD,0.12,-37.96,0.00
11-16-2023,17.19,54.47,HOLD,-3.26,-38.03,0.00
11-15-2023,17.77,57.56,HOLD,14.13,-35.94,0.00
11-14-2023,15.57,46.95,HOLD,10.04,-43.87,0.00
11-13-2023,14.15,37.60,HOLD,-5.03,-48.99,0.00
11-10-2023,14.90,41.16,HOLD,-1.65,-46.29,0.00
11-09-2023,15.15,42.40,HOLD,-2.88,-45.39,0.00
11-08-2023,15.60,44.65,HOLD,-2.44,-43.76,0.00
11-07-2023,15.99,46.65,HOLD,0.25,-42.36,0.00
11-06-2023,15.95,46.42,HOLD,2.90,-42.50,0.00
11-03-2023,15.50,43.91,HOLD,4.66,-44.12,0.00
11-02-2023,14.81,39.92,HOLD,13.05,-46.61,0.00
11-01-2023,13.10,28.13,HOLD,-11.07,-52.78,0.00
10-31-2023,14.73,34.04,HOLD,-13.96,-46.90,0.00
10-30-2023,17.12,47.68,HOLD,1.30,-38.28,0.00
10-27-2023,16.90,45.83,HOLD,-5.22,-39.08,0.00
10-26-2023,17.83,53.24,HOLD,-0.67,-35.72,0.00
10-25-2023,17.95,54.29,HOLD,0.17,-35.29,0.00
10-24-2023,17.92,54.08,HOLD,2.52,-35.40,0.00
10-23-2023,17.48,51.00,HOLD,-3.00,-36.99,0.00
10-20-2023,18.02,55.22,HOLD,-2.91,-35.04,0.00
10-19-2023,18.56,59.80,HOLD,-0.64,-33.09,0.00
10-18-2023,18.68,60.84,HOLD,1.25,-32.66,0.00
10-17-2023,18.45,59.59,HOLD,13.96,-33.49,0.00
10-16-2023,16.19,42.91,HOLD,4.79,-41.64,0.00
10-13-2023,15.45,34.71,HOLD,0.98,-44.30,0.00
10-12-2023,15.30,32.90,HOLD,-5.32,-44.84,0.00
10-11-2023,16.16,38.60,HOLD,1.00,-41.74,0.00
10-10-2023,16.00,36.71,HOLD,2.24,-42.32,0.00
10-09-2023,15.65,32.47,HOLD,-3.69,-43.58,0.00
10-06-2023,16.25,36.34,HOLD,-1.93,-41.42,0.00
10-05-2023,16.57,38.62,HOLD,-0.12,-40.27,0.00
10-04-2023,16.59,38.76,HOLD,1.16,-40.19,0.00
10-03-2023,16.40,36.72,HOLD,-1.15,-40.88,0.00
10-02-2023,16.59,37.90,HOLD,-6.11,-40.19,0.00
09-29-2023,17.67,45.59,HOLD,6.51,-36.30,0.00
09-28-2023,16.59,32.95,HOLD,-1.89,-40.19,0.00
09-27-2023,16.91,35.20,HOLD,-1.00,-39.04,0.00
09-26-2023,17.08,36.43,HOLD,-0.81,-38.43,0.00
09-25-2023,17.22,37.42,HOLD,-1.43,-37.92,0.00
09-22-2023,17.47,39.20,HOLD,-1.02,-37.02,0.00
09-21-2023,17.65,40.49,HOLD,-1.23,-36.37,0.00
09-20-2023,17.87,42.06,HOLD,0.51,-35.58,0.00
09-19-2023,17.78,41.19,HOLD,2.60,-35.90,0.00
09-18-2023,17.33,36.82,HOLD,-4.57,-37.53,0.00
09-15-2023,18.16,42.19,HOLD,0.28,-34.53,0.00
09-14-2023,18.11,41.72,HOLD,2.20,-34.72,0.00
09-13-2023,17.72,38.02,HOLD,-2.05,-36.12,0.00
09-12-2023,18.09,40.27,HOLD,2.38,-34.79,0.00
09-11-2023,17.67,36.30,HOLD,-6.01,-36.30,0.00
09-08-2023,18.80,43.53,HOLD,-2.03,-32.23,0.00
09-07-2023,19.19,46.50,HOLD,-2.04,-30.82,0.00
09-06-2023,19.59,49.74,HOLD,0.56,-29.38,0.00
09-05-2023,19.48,48.83,HOLD,-4.79,-29.78,0.00
09-01-2023,20.46,57.42,HOLD,3.54,-26.24,0.00
08-31-2023,19.76,51.79,HOLD,1.96,-28.77,0.00
08-30-2023,19.38,48.36,HOLD,-0.36,-30.14,0.00
08-29-2023,19.45,48.95,HOLD,1.09,-29.88,0.00
08-28-2023,19.24,47.14,HOLD,1.96,-30.64,0.00
08-25-2023,18.87,43.86,HOLD,-1.72,-31.98,0.00
08-24-2023,19.20,46.23,HOLD,-2.54,-30.79,0.00
08-23-2023,19.70,50.04,HOLD,3.90,-28.98,0.00
08-22-2023,18.96,43.67,HOLD,-6.88,-31.65,0.00
08-21-2023,20.36,56.26,HOLD,1.75,-26.60,0.00
08-18-2023,20.01,53.13,HOLD,-1.43,-27.87,0.00
