Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,131.50,55.52,HOLD,2.73,9.55,-3.40
01-11-2024,128.00,48.63,HOLD,2.59,6.63,-5.41
01-10-2024,124.77,40.76,HOLD,-1.89,3.94,-6.61
01-09-2024,127.17,45.58,HOLD,-1.62,5.94,-3.67
01-08-2024,129.27,50.42,HOLD,0.21,7.69,0.54
01-05-2024,129.00,49.78,HOLD,-1.01,7.46,1.13
01-04-2024,130.31,52.84,HOLD,-2.56,8.56,2.94
01-03-2024,133.74,62.12,HOLD,2.36,11.41,11.80
01-02-2024,130.66,55.62,HOLD,0.51,8.85,8.85
12-29-2023,130.00,54.05,HOLD,-0.07,8.30,0.00
12-28-2023,130.09,54.30,HOLD,-1.31,8.37,0.00
12-27-2023,131.82,59.03,HOLD,-1.03,9.81,0.00
12-26-2023,133.19,63.07,HOLD,0.75,10.95,0.00
12-22-2023,132.20,61.29,HOLD,0.21,10.13,0.00
12-21-2023,131.92,60.80,HOLD,-0.47,9.90,0.00
12-20-2023,132.54,62.44,HOLD,-0.79,10.41,0.00
12-19-2023,133.60,65.25,HOLD,1.27,11.30,0.00
12-18-2023,131.92,62.79,HOLD,2.61,9.90,0.00
12-15-2023,128.57,57.18,HOLD,-0.47,7.11,0.00
12-14-2023,129.18,58.68,HOLD,3.51,7.61,0.00
12-13-2023,124.80,49.95,HOLD,3.23,3.97,0.00
12-12-2023,120.90,39.37,HOLD,-2.09,0.72,0.00
12-11-2023,123.48,45.25,HOLD,0.60,2.87,0.00
12-08-2023,122.74,42.98,HOLD,0.55,2.25,0.00
12-07-2023,122.07,40.92,HOLD,-0.54,1.69,0.00
12-06-2023,122.73,42.32,HOLD,-2.32,2.24,0.00
12-05-2023,125.65,49.22,HOLD,-0.64,4.67,0.00
12-04-2023,126.46,51.37,HOLD,0.06,5.35,0.00
12-01-2023,126.38,51.18,HOLD,0.81,5.28,0.00
11-30-2023,125.36,48.73,HOLD,1.03,4.43,0.00
11-29-2023,124.08,45.54,HOLD,-0.93,3.37,0.00
11-28-2023,125.24,48.05,HOLD,-0.29,4.33,0.00
11-27-2023,125.61,48.85,HOLD,0.52,4.64,0.00
11-24-2023,124.96,47.43,HOLD,-0.32,4.10,0.00
11-22-2023,125.36,48.20,HOLD,1.78,4.43,0.00
11-21-2023,123.17,43.56,HOLD,-1.25,2.61,0.00
11-20-2023,124.73,46.30,HOLD,0.50,3.91,0.00
11-17-2023,124.11,45.02,HOLD,1.80,3.39,0.00
11-16-2023,121.92,40.37,HOLD,-3.77,1.57,0.00
11-15-2023,126.70,48.73,HOLD,0.49,5.55,0.00
11-14-2023,126.08,47.41,HOLD,1.46,5.03,0.00
11-13-2023,124.27,43.50,HOLD,1.30,3.52,0.00
11-10-2023,122.67,39.82,HOLD,2.29,2.19,0.00
11-09-2023,119.92,32.84,HOLD,-1.37,-0.10,0.00
11-08-2023,121.58,35.13,HOLD,-1.19,1.28,0.00
11-07-2023,123.05,37.26,HOLD,-2.20,2.51,0.00
11-06-2023,125.82,41.68,HOLD,-0.48,4.82,0.00
11-03-2023,126.43,42.71,HOLD,-1.96,5.32,0.00
11-02-2023,128.96,47.24,HOLD,0.96,7.43,0.00
11-01-2023,127.73,44.59,HOLD,0.57,6.41,0.00
10-31-2023,127.00,43.01,HOLD,2.22,5.80,0.00
10-30-2023,124.24,36.68,HOLD,0.55,3.50,0.00
10-27-2023,123.56,35.03,HOLD,-1.44,2.93,0.00
10-26-2023,125.36,37.43,HOLD,-1.18,4.43,0.00
10-25-2023,126.86,39.52,HOLD,-1.51,5.68,0.00
10-24-2023,128.80,42.37,HOLD,-1.48,7.30,0.00
10-23-2023,130.73,45.39,HOLD,-0.34,8.91,0.00
10-20-2023,131.18,46.10,HOLD,-0.94,9.28,0.00
10-19-2023,132.42,48.02,HOLD,-1.20,10.31,0.00
10-18-2023,134.03,50.57,HOLD,2.53,11.65,0.00
10-17-2023,130.72,45.00,HOLD,1.18,8.90,0.00
10-16-2023,129.20,42.23,HOLD,2.50,7.63,0.00
10-13-2023,126.05,36.02,HOLD,-0.14,5.01,0.00
10-12-2023,126.23,36.22,HOLD,-2.60,5.16,0.00
10-11-2023,129.60,40.24,HOLD,-0.47,7.96,0.00
10-10-2023,130.21,41.00,HOLD,2.57,8.47,0.00
10-09-2023,126.95,34.87,HOLD,0.33,5.76,0.00
10-06-2023,126.53,34.05,HOLD,-0.75,5.41,0.00
10-05-2023,127.48,34.97,HOLD,-0.92,6.20,0.00
10-04-2023,128.67,36.11,HOLD,-3.68,7.19,0.00
10-03-2023,133.58,41.27,HOLD,-3.27,11.28,0.00
10-02-2023,138.09,47.00,HOLD,-2.55,15.04,0.00
09-29-2023,141.71,52.42,HOLD,-3.72,18.05,0.00
09-28-2023,147.18,62.54,HOLD,2.24,22.61,0.00
09-27-2023,143.95,58.11,HOLD,1.67,19.92,0.00
09-26-2023,141.58,54.43,HOLD,-3.38,17.94,0.00
09-25-2023,146.54,65.62,HOLD,0.87,22.08,0.00
09-22-2023,145.27,63.85,HOLD,-0.70,21.02,0.00
09-21-2023,146.30,66.42,HOLD,2.33,21.88,0.00
09-20-2023,142.97,61.81,HOLD,0.22,19.10,0.00
09-19-2023,142.66,61.35,HOLD,-2.47,18.84,0.00
09-18-2023,146.28,70.55,HOLD,1.81,21.86,0.00
09-15-2023,143.68,67.28,HOLD,-1.56,19.69,0.00
09-14-2023,145.95,73.94,HOLD,0.32,21.58,0.00
09-13-2023,145.48,73.43,HOLD,-0.53,21.19,0.00
09-12-2023,146.26,75.70,SELL,1.75,21.84,0.00
