Date,Price,RSI,STATUS,D%Change,YTD%Change,Year,Stock
01-10-2023,52.98,68.53,HOLD,5.39,18.84,2023,AA
01-10-2023,15.19,69.34,HOLD,3.97,19.23,2023,AAL
01-10-2023,113.85,68.42,HOLD,1.52,3.90,2023,ABT
01-10-2023,141.26,68.27,HOLD,0.89,3.37,2023,ALL
01-10-2023,37.35,66.75,HOLD,1.25,8.70,2023,AMRK
01-10-2023,43.46,68.31,HOLD,1.80,5.49,2023,B
01-10-2023,206.69,67.89,HOLD,-0.90,5.78,2023,BA
01-10-2023,45.74,32.01,HOLD,2.33,-10.38,2023,BAX
01-10-2023,48.01,69.63,HOLD,-0.27,3.69,2023,BK
01-10-2023,48.19,65.48,HOLD,1.37,5.26,2023,C
01-10-2023,40.44,68.79,HOLD,0.05,4.15,2023,CAG
01-10-2023,250.51,66.97,HOLD,1.58,4.87,2023,CAT
01-10-2023,303.79,30.82,HOLD,0.25,-5.50,2023,CI
01-10-2023,37.88,68.14,HOLD,0.88,6.49,2023,CMCSA
01-10-2023,76.12,31.67,HOLD,-1.89,-4.54,2023,CNC
01-10-2023,90.65,31.39,HOLD,-0.92,-2.43,2023,CVS
01-10-2023,93.58,67.23,HOLD,0.87,3.20,2023,DHI
01-10-2023,188.74,65.95,HOLD,-0.53,6.47,2023,FDX
01-10-2023,171.01,65.05,HOLD,7.44,17.18,2023,FSLR
01-10-2023,98.92,68.08,HOLD,0.70,5.72,2023,GRMN
01-10-2023,80.57,69.25,HOLD,0.98,6.64,2023,HOLX
01-10-2023,34.85,69.11,HOLD,1.28,7.36,2023,KBH
01-10-2023,96.57,68.16,HOLD,1.34,4.99,2023,LEN
01-10-2023,14.66,68.45,HOLD,0.89,8.92,2023,NWL
01-10-2023,23.18,66.34,HOLD,2.02,16.89,2023,PARAA
01-10-2023,3.40,34.96,HOLD,-2.30,1.80,2023,RAD
01-10-2023,125.17,34.84,HOLD,-2.00,-2.73,2023,RSG
01-10-2023,106.00,65.35,HOLD,1.20,5.13,2023,SBUX
01-10-2023,82.44,65.50,HOLD,1.14,4.34,2023,TJX
01-10-2023,9.66,65.10,HOLD,2.01,8.66,2023,UA
01-10-2023,45.75,68.99,HOLD,5.54,22.95,2023,UAL
01-10-2023,46.66,68.48,HOLD,0.11,4.53,2023,USB
01-10-2023,221.09,68.07,HOLD,1.14,6.61,2023,V
01-10-2023,38.17,67.39,HOLD,1.54,21.52,2023,WDC
