Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change,Stock
01-12-2024,54.85,79.83,SELL,4.02,18.47,11.87,BK
01-12-2024,59.94,78.48,SELL,0.55,30.28,28.82,BSX
01-12-2024,40.10,76.74,SELL,1.16,13.63,13.34,GSK
01-12-2024,37.51,89.04,SELL,-0.64,15.31,17.44,JNPR
01-12-2024,53.55,76.57,SELL,-0.07,9.22,-4.05,KMPR
01-12-2024,87.42,78.91,SELL,0.38,11.70,8.47,MDT
01-12-2024,118.63,81.25,SELL,0.17,6.74,5.68,MRK
01-12-2024,0.46,87.07,SELL,2.22,-86.23,-86.74,RADCQ
01-12-2024,96.79,74.33,SELL,-0.49,3.13,2.36,RXL
01-12-2024,195.56,78.46,SELL,0.35,4.51,0.85,TRV
