Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,36.70,39.77,HOLD,0.96,-1.32,2023
01-09-2023,36.35,36.92,HOLD,-0.71,-2.26,2023
01-06-2023,36.61,38.17,HOLD,4.04,-1.56,2023
01-05-2023,35.19,25.41,BUY,-6.13,-5.38,2023
01-04-2023,37.49,36.84,HOLD,0.81,0.81,2023
01-03-2023,37.19,33.20,HOLD,-0.46,0.00,2023
12-30-2022,37.36,34.24,HOLD,-0.29,,2022
12-29-2022,37.47,34.89,HOLD,-0.29,,2022
12-28-2022,37.58,35.53,HOLD,-1.91,,2022
12-27-2022,38.31,39.99,HOLD,-0.83,,2022
12-23-2022,38.63,42.14,HOLD,0.49,,2022
12-22-2022,38.44,40.37,HOLD,-0.41,,2022
12-21-2022,38.60,41.36,HOLD,-2.35,,2022
12-20-2022,39.53,47.67,HOLD,0.53,,2022
12-19-2022,39.32,45.94,HOLD,0.69,,2022
12-16-2022,39.05,43.72,HOLD,-1.21,,2022
12-15-2022,39.53,46.90,HOLD,-2.71,,2022
12-14-2022,40.63,55.50,HOLD,-0.97,,2022
12-13-2022,41.03,59.16,HOLD,-0.07,,2022
12-12-2022,41.06,59.43,HOLD,1.56,,2022
12-09-2022,40.43,55.42,HOLD,-1.15,,2022
12-08-2022,40.90,59.49,HOLD,0.62,,2022
12-07-2022,40.65,57.97,HOLD,0.15,,2022
12-06-2022,40.59,57.61,HOLD,-1.50,,2022
12-05-2022,41.21,62.71,HOLD,-0.65,,2022
12-02-2022,41.48,65.03,HOLD,0.41,,2022
12-01-2022,41.31,64.26,HOLD,-0.46,,2022
11-30-2022,41.50,65.77,HOLD,1.02,,2022
11-29-2022,41.08,64.03,HOLD,0.66,,2022
11-28-2022,40.81,62.91,HOLD,-2.04,,2022
11-25-2022,41.66,69.23,HOLD,-0.24,,2022
11-23-2022,41.76,70.00,HOLD,-0.07,,2022
11-22-2022,41.79,70.22,SELL,2.96,,2022
11-21-2022,40.59,66.34,HOLD,2.11,,2022
11-18-2022,39.75,63.22,HOLD,-0.95,,2022
11-17-2022,40.13,65.78,HOLD,-0.64,,2022
11-16-2022,40.39,67.52,HOLD,-0.64,,2022
11-15-2022,40.65,69.21,HOLD,0.27,,2022
11-14-2022,40.54,68.90,HOLD,-1.75,,2022
11-11-2022,41.26,73.35,SELL,7.20,,2022
11-10-2022,38.49,65.37,HOLD,4.34,,2022
11-09-2022,36.89,58.75,HOLD,-3.66,,2022
11-08-2022,38.29,69.55,HOLD,-0.78,,2022
11-07-2022,38.59,72.19,SELL,4.10,,2022
11-04-2022,37.07,66.15,HOLD,3.72,,2022
11-03-2022,35.74,58.88,HOLD,-0.20,,2022
11-02-2022,35.81,59.51,HOLD,-1.24,,2022
11-01-2022,36.26,63.53,HOLD,-0.66,,2022
10-31-2022,36.50,65.72,HOLD,-0.22,,2022
10-28-2022,36.58,66.44,HOLD,2.55,,2022
10-27-2022,35.67,62.10,HOLD,0.45,,2022
