Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,12.56,71.08,SELL,8.18,31.66,2023
01-09-2023,11.61,64.64,HOLD,2.56,21.70,2023
01-06-2023,11.32,62.26,HOLD,4.24,18.66,2023
01-05-2023,10.86,58.10,HOLD,4.62,13.84,2023
01-04-2023,10.38,53.10,HOLD,8.81,8.81,2023
01-03-2023,9.54,41.80,HOLD,0.63,0.00,2023
12-30-2022,9.48,40.85,HOLD,0.53,,2022
12-29-2022,9.43,40.10,HOLD,6.31,,2022
12-28-2022,8.87,30.96,HOLD,-3.90,,2022
12-27-2022,9.23,34.06,HOLD,0.65,,2022
12-23-2022,9.17,33.02,HOLD,-0.65,,2022
12-22-2022,9.23,33.51,HOLD,2.10,,2022
12-21-2022,9.04,30.48,HOLD,0.11,,2022
12-20-2022,9.03,30.32,HOLD,-2.38,,2022
12-19-2022,9.25,31.77,HOLD,-6.66,,2022
12-16-2022,9.91,36.66,HOLD,-0.90,,2022
12-15-2022,10.00,37.39,HOLD,-8.93,,2022
12-14-2022,10.98,46.78,HOLD,0.83,,2022
12-13-2022,10.89,45.62,HOLD,-3.37,,2022
12-12-2022,11.27,49.90,HOLD,1.62,,2022
12-09-2022,11.09,47.74,HOLD,3.07,,2022
12-08-2022,10.76,43.60,HOLD,0.19,,2022
12-07-2022,10.74,43.35,HOLD,1.23,,2022
12-06-2022,10.61,41.78,HOLD,-4.84,,2022
12-05-2022,11.15,46.79,HOLD,-3.46,,2022
12-02-2022,11.55,50.99,HOLD,-0.69,,2022
12-01-2022,11.63,51.86,HOLD,2.02,,2022
11-30-2022,11.40,49.57,HOLD,2.33,,2022
11-29-2022,11.14,46.93,HOLD,2.01,,2022
11-28-2022,10.92,44.65,HOLD,-4.80,,2022
11-25-2022,11.47,49.59,HOLD,1.15,,2022
11-23-2022,11.34,48.34,HOLD,5.00,,2022
11-22-2022,10.80,42.85,HOLD,2.27,,2022
11-21-2022,10.56,40.22,HOLD,-1.95,,2022
11-18-2022,10.77,41.78,HOLD,-1.73,,2022
11-17-2022,10.96,43.19,HOLD,0.46,,2022
11-16-2022,10.91,42.72,HOLD,-3.71,,2022
11-15-2022,11.33,45.67,HOLD,-1.39,,2022
11-14-2022,11.49,46.81,HOLD,-2.96,,2022
11-11-2022,11.84,49.32,HOLD,9.63,,2022
11-10-2022,10.80,40.52,HOLD,9.76,,2022
11-09-2022,9.84,30.12,HOLD,-2.19,,2022
11-08-2022,10.06,31.28,HOLD,-2.04,,2022
11-07-2022,10.27,32.39,HOLD,-1.53,,2022
11-04-2022,10.43,33.23,HOLD,-12.87,,2022
11-03-2022,11.97,43.16,HOLD,-5.60,,2022
11-02-2022,12.68,49.49,HOLD,-5.02,,2022
11-01-2022,13.35,56.79,HOLD,2.69,,2022
10-31-2022,13.00,53.46,HOLD,0.39,,2022
10-28-2022,12.95,52.98,HOLD,3.68,,2022
10-27-2022,12.49,48.43,HOLD,-3.92,,2022
10-26-2022,13.00,53.79,HOLD,-4.20,,2022
10-25-2022,13.57,60.77,HOLD,2.96,,2022
10-24-2022,13.18,57.24,HOLD,-2.30,,2022
10-21-2022,13.49,61.31,HOLD,4.41,,2022
10-20-2022,12.92,55.97,HOLD,2.46,,2022
10-19-2022,12.61,52.67,HOLD,-2.10,,2022
10-18-2022,12.88,56.07,HOLD,4.55,,2022
10-17-2022,12.32,49.84,HOLD,-0.88,,2022
10-14-2022,12.43,51.16,HOLD,-0.56,,2022
10-13-2022,12.50,51.98,HOLD,7.20,,2022
