Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,44.97,78.92,SELL,2.77,43.17,-16.47
01-26-2023,43.76,76.81,SELL,5.93,39.32,-19.82
01-25-2023,41.31,71.42,HOLD,0.51,31.52,-25.01
01-24-2023,41.10,70.89,HOLD,-1.65,30.85,-27.92
01-23-2023,41.79,75.21,SELL,8.66,33.05,-27.71
01-20-2023,38.46,65.89,HOLD,2.42,22.45,-35.81
01-19-2023,37.55,62.30,HOLD,0.21,19.55,-39.38
01-18-2023,37.47,61.97,HOLD,0.40,19.29,-41.56
01-17-2023,37.32,61.39,HOLD,0.27,18.82,-44.00
01-13-2023,37.22,61.02,HOLD,-1.95,18.50,-44.04
01-12-2023,37.96,65.32,HOLD,-1.20,20.85,-42.95
01-11-2023,38.42,68.09,HOLD,0.65,22.32,-41.81
01-10-2023,38.17,67.39,HOLD,1.54,21.52,-41.76
01-09-2023,37.59,65.78,HOLD,1.13,19.68,-42.90
01-06-2023,37.17,64.60,HOLD,5.51,18.34,-42.59
01-05-2023,35.23,58.47,HOLD,6.60,12.16,-47.46
01-04-2023,33.05,49.32,HOLD,5.22,5.22,-51.12
01-03-2023,31.41,40.09,HOLD,-0.44,0.00,-52.36
12-30-2022,31.55,40.68,HOLD,-0.06,,0.00
12-29-2022,31.57,40.76,HOLD,4.50,,0.00
12-28-2022,30.21,32.46,HOLD,-3.08,,0.00
12-27-2022,31.17,35.74,HOLD,1.90,,0.00
12-23-2022,30.59,31.87,HOLD,-0.16,,0.00
12-22-2022,30.64,32.03,HOLD,-2.36,,0.00
12-21-2022,31.38,34.31,HOLD,-2.18,,0.00
12-20-2022,32.08,36.60,HOLD,1.65,,0.00
12-19-2022,31.56,33.54,HOLD,-1.19,,0.00
12-16-2022,31.94,34.67,HOLD,-0.84,,0.00
12-15-2022,32.21,35.47,HOLD,-10.10,,0.00
12-14-2022,35.83,49.56,HOLD,-1.29,,0.00
12-13-2022,36.30,52.06,HOLD,0.25,,0.00
12-12-2022,36.21,51.63,HOLD,1.40,,0.00
12-09-2022,35.71,49.26,HOLD,1.36,,0.00
12-08-2022,35.23,46.95,HOLD,3.19,,0.00
12-07-2022,34.14,41.32,HOLD,0.74,,0.00
12-06-2022,33.89,39.96,HOLD,-2.59,,0.00
12-05-2022,34.79,43.31,HOLD,-1.86,,0.00
12-02-2022,35.45,45.93,HOLD,-1.09,,0.00
12-01-2022,35.84,47.51,HOLD,-2.48,,0.00
11-30-2022,36.75,51.33,HOLD,2.00,,0.00
11-29-2022,36.03,48.28,HOLD,-0.22,,0.00
11-28-2022,36.11,48.59,HOLD,-3.29,,0.00
11-25-2022,37.34,53.58,HOLD,0.92,,0.00
11-23-2022,37.00,52.33,HOLD,2.13,,0.00
11-22-2022,36.23,49.45,HOLD,0.78,,0.00
11-21-2022,35.95,48.39,HOLD,-2.47,,0.00
11-18-2022,36.86,51.64,HOLD,0.90,,0.00
11-17-2022,36.53,50.52,HOLD,0.30,,0.00
11-16-2022,36.42,50.17,HOLD,-7.70,,0.00
11-15-2022,39.46,61.53,HOLD,-0.35,,0.00
11-14-2022,39.60,62.14,HOLD,-0.38,,0.00
11-11-2022,39.75,62.75,HOLD,5.30,,0.00
11-10-2022,37.75,57.58,HOLD,9.90,,0.00
11-09-2022,34.35,45.70,HOLD,-5.94,,0.00
11-08-2022,36.52,54.80,HOLD,-0.27,,0.00
11-07-2022,36.62,55.27,HOLD,3.33,,0.00
11-04-2022,35.44,50.62,HOLD,5.13,,0.00
11-03-2022,33.71,42.49,HOLD,-2.52,,0.00
11-02-2022,34.58,46.03,HOLD,-3.14,,0.00
11-01-2022,35.70,51.12,HOLD,3.87,,0.00
10-31-2022,34.37,44.33,HOLD,-3.18,,0.00
10-28-2022,35.50,49.79,HOLD,3.38,,0.00
10-27-2022,34.34,43.11,HOLD,-2.66,,0.00
10-26-2022,35.28,47.91,HOLD,-0.03,,0.00
10-25-2022,35.29,47.96,HOLD,1.06,,0.00
10-24-2022,34.92,45.92,HOLD,0.17,,0.00
10-21-2022,34.86,45.59,HOLD,4.15,,0.00
10-20-2022,33.47,37.61,HOLD,0.33,,0.00
10-19-2022,33.36,36.93,HOLD,-0.74,,0.00
10-18-2022,33.61,37.80,HOLD,-0.83,,0.00
10-17-2022,33.89,38.75,HOLD,0.50,,0.00
10-14-2022,33.72,37.87,HOLD,-3.93,,0.00
10-13-2022,35.10,42.47,HOLD,2.39,,0.00
10-12-2022,34.28,38.34,HOLD,-1.55,,0.00
10-11-2022,34.82,40.10,HOLD,0.46,,0.00
10-10-2022,34.66,39.33,HOLD,-3.02,,0.00
10-07-2022,35.74,42.76,HOLD,-3.56,,0.00
10-06-2022,37.06,47.45,HOLD,-0.30,,0.00
10-05-2022,37.17,47.86,HOLD,1.95,,0.00
10-04-2022,36.46,45.04,HOLD,7.08,,0.00
10-03-2022,34.05,33.74,HOLD,4.61,,0.00
09-30-2022,32.55,24.81,BUY,1.15,,0.00
09-29-2022,32.18,22.41,BUY,-2.93,,0.00
09-28-2022,33.15,24.30,BUY,1.31,,0.00
09-27-2022,32.72,21.58,BUY,0.99,,0.00
09-26-2022,32.40,19.59,BUY,-4.26,,0.00
09-23-2022,33.84,21.92,BUY,0.06,,0.00
09-22-2022,33.82,21.80,BUY,-2.76,,0.00
09-21-2022,34.78,23.40,BUY,-2.14,,0.00
09-20-2022,35.54,24.73,BUY,-2.95,,0.00
09-19-2022,36.62,26.74,BUY,-1.61,,0.00
09-16-2022,37.22,27.91,HOLD,-1.46,,0.00
09-15-2022,37.77,29.00,HOLD,-1.46,,0.00
09-14-2022,38.33,30.10,HOLD,-2.52,,0.00
09-13-2022,39.32,32.10,HOLD,-9.13,,0.00
09-12-2022,43.27,42.61,HOLD,-1.21,,0.00
09-09-2022,43.80,44.42,HOLD,3.28,,0.00
09-08-2022,42.41,38.00,HOLD,2.32,,0.00
09-07-2022,41.45,33.04,HOLD,1.17,,0.00
09-06-2022,40.97,30.46,HOLD,-1.63,,0.00
09-02-2022,41.65,32.09,HOLD,-0.81,,0.00
09-01-2022,41.99,32.90,HOLD,-0.64,,0.00
08-31-2022,42.26,33.53,HOLD,-2.54,,0.00
08-30-2022,43.36,36.15,HOLD,-3.13,,0.00
08-29-2022,44.76,39.82,HOLD,-1.60,,0.00
08-26-2022,45.49,41.87,HOLD,-5.05,,0.00
08-25-2022,47.91,49.80,HOLD,3.68,,0.00
08-24-2022,46.21,42.73,HOLD,0.79,,0.00
08-23-2022,45.85,41.10,HOLD,-0.46,,0.00
08-22-2022,46.06,41.74,HOLD,-3.38,,0.00
08-19-2022,47.67,46.98,HOLD,-2.16,,0.00
08-18-2022,48.72,50.85,HOLD,1.08,,0.00
08-17-2022,48.20,48.92,HOLD,-2.11,,0.00
08-16-2022,49.24,52.77,HOLD,-0.75,,0.00
08-15-2022,49.61,54.18,HOLD,-2.09,,0.00
08-12-2022,50.67,58.33,HOLD,3.28,,0.00
08-11-2022,49.06,53.29,HOLD,2.89,,0.00
08-10-2022,47.68,48.31,HOLD,2.96,,0.00
08-09-2022,46.31,42.67,HOLD,-2.67,,0.00
08-08-2022,47.58,47.09,HOLD,1.04,,0.00
08-05-2022,47.09,45.05,HOLD,-5.65,,0.00
08-04-2022,49.91,56.73,HOLD,1.05,,0.00
08-03-2022,49.39,54.72,HOLD,1.90,,0.00
08-02-2022,48.47,50.98,HOLD,-1.32,,0.00
08-01-2022,49.12,53.90,HOLD,0.04,,0.00
07-29-2022,49.10,53.82,HOLD,0.78,,0.00
07-28-2022,48.72,52.45,HOLD,0.60,,0.00
07-27-2022,48.43,51.42,HOLD,3.15,,0.00
07-26-2022,46.95,45.90,HOLD,0.23,,0.00
07-25-2022,46.84,45.47,HOLD,-0.80,,0.00
07-22-2022,47.22,46.65,HOLD,-6.37,,0.00
07-21-2022,50.43,58.64,HOLD,1.69,,0.00
07-20-2022,49.59,55.88,HOLD,2.12,,0.00
07-19-2022,48.56,52.26,HOLD,3.54,,0.00
07-18-2022,46.90,45.59,HOLD,-1.08,,0.00
07-15-2022,47.41,47.48,HOLD,3.04,,0.00
07-14-2022,46.01,41.26,HOLD,-0.65,,0.00
07-13-2022,46.31,42.25,HOLD,0.61,,0.00
07-12-2022,46.03,41.02,HOLD,2.70,,0.00
07-11-2022,44.82,35.48,HOLD,-0.93,,0.00
07-08-2022,45.24,36.59,HOLD,0.85,,0.00
07-07-2022,44.86,34.88,HOLD,2.49,,0.00
07-06-2022,43.77,29.85,HOLD,-0.05,,0.00
07-05-2022,43.79,29.89,HOLD,0.85,,0.00
07-01-2022,43.42,28.27,HOLD,-3.15,,0.00
06-30-2022,44.83,30.79,HOLD,-1.26,,0.00
06-29-2022,45.40,31.86,HOLD,-2.87,,0.00
06-28-2022,46.74,34.47,HOLD,-1.77,,0.00
06-27-2022,47.58,36.19,HOLD,1.08,,0.00
06-24-2022,47.07,34.34,HOLD,2.50,,0.00
06-23-2022,45.92,30.09,HOLD,0.88,,0.00
06-22-2022,45.52,28.60,HOLD,-2.11,,0.00
06-21-2022,46.50,30.06,HOLD,0.32,,0.00
06-17-2022,46.35,29.55,HOLD,0.00,,0.00
06-16-2022,46.35,29.55,HOLD,-7.21,,0.00
06-15-2022,49.95,34.81,HOLD,1.44,,0.00
06-14-2022,49.24,32.62,HOLD,-2.22,,0.00
06-13-2022,50.36,34.31,HOLD,-6.79,,0.00
06-10-2022,54.03,40.75,HOLD,-4.51,,0.00
06-09-2022,56.58,46.37,HOLD,-2.14,,0.00
06-08-2022,57.82,49.45,HOLD,-4.14,,0.00
06-07-2022,60.32,56.47,HOLD,1.00,,0.00
06-06-2022,59.72,55.05,HOLD,-0.60,,0.00
06-03-2022,60.08,56.07,HOLD,-2.99,,0.00
06-02-2022,61.93,61.51,HOLD,2.74,,0.00
06-01-2022,60.28,58.15,HOLD,-0.68,,0.00
05-31-2022,60.69,59.34,HOLD,-2.51,,0.00
05-27-2022,62.25,64.00,HOLD,2.59,,0.00
