Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,92.77,43.44,HOLD,-0.10,-1.48,-2.46
01-26-2023,92.86,43.77,HOLD,0.13,-1.38,-1.33
01-25-2023,92.74,43.24,HOLD,-0.15,-1.51,-2.12
01-24-2023,92.88,43.68,HOLD,0.05,-1.36,-2.37
01-23-2023,92.83,43.49,HOLD,-0.27,-1.41,-4.29
01-20-2023,93.08,44.20,HOLD,1.39,-1.15,-3.71
01-19-2023,91.80,39.52,HOLD,-0.79,-2.51,-4.40
01-18-2023,92.53,41.35,HOLD,-2.64,-1.73,-3.38
01-17-2023,95.04,48.56,HOLD,-0.74,0.93,-1.26
01-13-2023,95.75,50.89,HOLD,-1.15,1.69,-1.57
01-12-2023,96.86,54.70,HOLD,-1.36,2.87,1.21
01-11-2023,98.20,59.71,HOLD,1.53,4.29,3.02
01-10-2023,96.72,55.53,HOLD,0.17,2.72,-0.19
01-09-2023,96.56,55.06,HOLD,1.89,2.55,-0.67
01-06-2023,94.77,49.55,HOLD,2.55,0.65,-1.64
01-05-2023,92.41,40.64,HOLD,-2.50,-1.86,-4.69
01-04-2023,94.78,48.66,HOLD,0.66,0.66,-1.12
01-03-2023,94.16,46.07,HOLD,0.43,0.00,-2.01
12-30-2022,93.76,44.40,HOLD,-1.73,,0.00
12-29-2022,95.41,50.40,HOLD,0.36,,0.00
12-28-2022,95.07,49.08,HOLD,-0.98,,0.00
12-27-2022,96.01,52.67,HOLD,0.56,,0.00
12-23-2022,95.48,50.79,HOLD,0.93,,0.00
12-22-2022,94.60,47.57,HOLD,-0.32,,0.00
12-21-2022,94.90,48.57,HOLD,0.60,,0.00
12-20-2022,94.33,46.58,HOLD,0.10,,0.00
12-19-2022,94.24,46.27,HOLD,-0.94,,0.00
12-16-2022,95.13,48.84,HOLD,-1.46,,0.00
12-15-2022,96.54,53.17,HOLD,-1.21,,0.00
12-14-2022,97.72,57.10,HOLD,-1.27,,0.00
12-13-2022,98.98,61.62,HOLD,1.13,,0.00
12-12-2022,97.87,58.96,HOLD,2.24,,0.00
12-09-2022,95.73,53.16,HOLD,0.07,,0.00
12-08-2022,95.66,52.95,HOLD,1.13,,0.00
12-07-2022,94.59,49.88,HOLD,-0.87,,0.00
12-06-2022,95.42,52.34,HOLD,1.24,,0.00
12-05-2022,94.25,49.05,HOLD,-1.88,,0.00
12-02-2022,96.06,54.45,HOLD,-1.26,,0.00
12-01-2022,97.29,58.52,HOLD,-1.87,,0.00
11-30-2022,99.14,65.33,HOLD,2.23,,0.00
11-29-2022,96.98,60.33,HOLD,-0.57,,0.00
11-28-2022,97.54,62.50,HOLD,-1.14,,0.00
