Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,42.36,47.43,HOLD,-0.07,1.36,2023
01-09-2023,42.39,47.68,HOLD,-0.96,1.44,2023
01-06-2023,42.80,51.18,HOLD,0.90,2.42,2023
01-05-2023,42.42,47.89,HOLD,-0.54,1.51,2023
01-04-2023,42.65,49.77,HOLD,2.06,2.06,2023
01-03-2023,41.79,41.83,HOLD,1.21,0.00,2023
12-30-2022,41.29,36.39,HOLD,-0.10,,2022
12-29-2022,41.33,36.65,HOLD,0.51,,2022
12-28-2022,41.12,34.42,HOLD,0.19,,2022
12-27-2022,41.04,33.59,HOLD,0.15,,2022
12-23-2022,40.98,33.00,HOLD,0.74,,2022
12-22-2022,40.68,30.12,HOLD,-1.07,,2022
12-21-2022,41.12,31.99,HOLD,0.34,,2022
12-20-2022,40.98,30.72,HOLD,-2.01,,2022
12-19-2022,41.82,34.29,HOLD,1.53,,2022
12-16-2022,41.19,28.50,BUY,-0.44,,2022
12-15-2022,41.37,29.18,BUY,-1.92,,2022
12-14-2022,42.18,32.43,HOLD,-1.03,,2022
12-13-2022,42.62,34.36,HOLD,-0.56,,2022
12-12-2022,42.86,35.42,HOLD,0.85,,2022
12-09-2022,42.50,32.50,HOLD,-0.19,,2022
12-08-2022,42.58,32.81,HOLD,0.31,,2022
12-07-2022,42.45,31.84,HOLD,-2.19,,2022
12-06-2022,43.40,35.29,HOLD,-0.60,,2022
12-05-2022,43.66,36.29,HOLD,-4.96,,2022
12-02-2022,45.94,47.16,HOLD,-1.98,,2022
12-01-2022,46.87,53.20,HOLD,-2.25,,2022
11-30-2022,47.95,61.72,HOLD,0.80,,2022
11-29-2022,47.57,59.61,HOLD,1.26,,2022
11-28-2022,46.98,56.12,HOLD,-0.97,,2022
11-25-2022,47.44,59.86,HOLD,0.23,,2022
11-23-2022,47.33,59.26,HOLD,0.47,,2022
11-22-2022,47.11,58.09,HOLD,0.58,,2022
11-21-2022,46.84,56.67,HOLD,0.73,,2022
11-18-2022,46.50,54.88,HOLD,1.11,,2022
11-17-2022,45.99,52.13,HOLD,-0.48,,2022
11-16-2022,46.21,53.43,HOLD,-1.07,,2022
11-15-2022,46.71,56.41,HOLD,-0.34,,2022
11-14-2022,46.87,57.37,HOLD,-1.43,,2022
11-11-2022,47.55,61.45,HOLD,-0.83,,2022
11-10-2022,47.95,63.94,HOLD,4.31,,2022
11-09-2022,45.97,55.69,HOLD,-2.56,,2022
11-08-2022,47.18,64.00,HOLD,0.23,,2022
11-07-2022,47.07,63.54,HOLD,0.71,,2022
11-04-2022,46.74,62.20,HOLD,2.64,,2022
11-03-2022,45.54,56.83,HOLD,-2.86,,2022
11-02-2022,46.88,66.65,HOLD,-0.15,,2022
11-01-2022,46.95,67.21,HOLD,2.09,,2022
10-31-2022,45.99,63.26,HOLD,-0.78,,2022
10-28-2022,46.35,66.03,HOLD,1.53,,2022
10-27-2022,45.65,63.11,HOLD,-0.11,,2022
10-26-2022,45.70,63.47,HOLD,0.73,,2022
10-25-2022,45.37,62.14,HOLD,0.38,,2022
10-24-2022,45.20,61.47,HOLD,0.83,,2022
10-21-2022,44.83,60.04,HOLD,2.70,,2022
10-20-2022,43.65,55.10,HOLD,0.07,,2022
10-19-2022,43.62,54.97,HOLD,-2.35,,2022
10-18-2022,44.67,60.75,HOLD,1.62,,2022
10-17-2022,43.96,57.97,HOLD,1.83,,2022
10-14-2022,43.17,54.66,HOLD,1.86,,2022
10-13-2022,42.38,51.08,HOLD,4.62,,2022
10-12-2022,40.51,40.82,HOLD,0.70,,2022
10-11-2022,40.23,39.04,HOLD,-2.94,,2022
10-10-2022,41.45,44.45,HOLD,-0.81,,2022
10-07-2022,41.79,46.10,HOLD,-1.07,,2022
10-06-2022,42.24,48.30,HOLD,-2.47,,2022
10-05-2022,43.31,54.01,HOLD,-0.53,,2022
10-04-2022,43.54,55.31,HOLD,4.71,,2022
10-03-2022,41.58,44.76,HOLD,3.38,,2022
09-30-2022,40.22,34.84,HOLD,-0.69,,2022
09-29-2022,40.50,36.08,HOLD,-0.76,,2022
09-28-2022,40.81,37.45,HOLD,1.95,,2022
09-27-2022,40.03,31.37,HOLD,0.05,,2022
09-26-2022,40.01,31.21,HOLD,-0.99,,2022
09-23-2022,40.41,32.61,HOLD,-2.67,,2022
09-22-2022,41.52,36.89,HOLD,-1.77,,2022
09-21-2022,42.27,40.20,HOLD,-2.63,,2022
09-20-2022,43.41,46.03,HOLD,-2.05,,2022
09-19-2022,44.32,51.57,HOLD,0.86,,2022
09-16-2022,43.94,49.20,HOLD,-0.45,,2022
09-15-2022,44.14,50.41,HOLD,1.99,,2022
09-14-2022,43.28,45.02,HOLD,0.14,,2022
09-13-2022,43.22,44.64,HOLD,-5.07,,2022
09-12-2022,45.53,59.76,HOLD,0.44,,2022
09-09-2022,45.33,58.63,HOLD,0.22,,2022
09-08-2022,45.23,58.09,HOLD,3.17,,2022
09-07-2022,43.84,49.50,HOLD,2.24,,2022
09-06-2022,42.88,41.86,HOLD,-1.15,,2022
09-02-2022,43.38,45.17,HOLD,-0.73,,2022
09-01-2022,43.70,47.39,HOLD,-0.02,,2022
08-31-2022,43.71,47.46,HOLD,-0.97,,2022
08-30-2022,44.14,50.33,HOLD,0.50,,2022
08-29-2022,43.92,48.86,HOLD,-0.11,,2022
08-26-2022,43.97,49.17,HOLD,-3.13,,2022
08-25-2022,45.39,58.95,HOLD,1.68,,2022
08-24-2022,44.64,54.51,HOLD,0.61,,2022
08-23-2022,44.37,52.81,HOLD,-0.09,,2022
08-22-2022,44.41,53.08,HOLD,-2.07,,2022
08-19-2022,45.35,59.85,HOLD,-1.71,,2022
08-18-2022,46.14,66.47,HOLD,0.00,,2022
08-17-2022,46.14,66.47,HOLD,0.17,,2022
08-16-2022,46.06,66.15,HOLD,0.68,,2022
08-15-2022,45.75,64.92,HOLD,-0.41,,2022
08-12-2022,45.94,66.29,HOLD,1.52,,2022
08-11-2022,45.25,63.70,HOLD,2.08,,2022
08-10-2022,44.33,59.89,HOLD,2.14,,2022
08-09-2022,43.40,55.51,HOLD,0.49,,2022
08-08-2022,43.19,54.46,HOLD,-1.30,,2022
08-05-2022,43.76,57.89,HOLD,2.31,,2022
08-04-2022,42.77,53.14,HOLD,-2.55,,2022
08-03-2022,43.89,60.28,HOLD,2.36,,2022
08-02-2022,42.88,55.24,HOLD,-1.52,,2022
08-01-2022,43.54,59.84,HOLD,-0.75,,2022
07-29-2022,43.87,62.25,HOLD,1.27,,2022
07-28-2022,43.32,59.75,HOLD,-0.89,,2022
07-27-2022,43.71,62.48,HOLD,1.89,,2022
07-26-2022,42.90,58.85,HOLD,-1.38,,2022
07-25-2022,43.50,63.04,HOLD,0.76,,2022
07-22-2022,43.17,61.65,HOLD,-0.25,,2022
07-21-2022,43.28,62.38,HOLD,1.31,,2022
07-20-2022,42.72,60.15,HOLD,-0.42,,2022
07-19-2022,42.90,61.23,HOLD,4.15,,2022
07-18-2022,41.19,53.91,HOLD,0.15,,2022
07-15-2022,41.13,53.63,HOLD,6.17,,2022
07-14-2022,38.74,39.86,HOLD,-0.84,,2022
07-13-2022,39.07,41.44,HOLD,-1.34,,2022
07-12-2022,39.60,44.03,HOLD,-0.48,,2022
07-11-2022,39.79,44.97,HOLD,-0.97,,2022
07-08-2022,40.18,46.88,HOLD,0.15,,2022
07-07-2022,40.12,46.55,HOLD,1.57,,2022
07-06-2022,39.50,43.24,HOLD,-1.50,,2022
07-05-2022,40.10,45.79,HOLD,0.45,,2022
