Date,Price,RSI,STATUS
12-16-2022,161.79,43.94,HOLD
12-15-2022,163.37,48.21,HOLD
12-14-2022,166.54,58.89,HOLD
12-13-2022,166.75,59.71,HOLD
12-12-2022,166.79,59.85,HOLD
12-09-2022,166.83,59.99,HOLD
12-08-2022,166.01,58.18,HOLD
12-07-2022,165.21,56.38,HOLD
12-06-2022,165.56,57.38,HOLD
12-05-2022,167.79,64.10,HOLD
12-02-2022,169.81,71.11,SELL
12-01-2022,167.82,67.90,HOLD
11-30-2022,167.07,66.60,HOLD
11-29-2022,164.44,61.54,HOLD
11-28-2022,163.95,60.50,HOLD
11-25-2022,163.82,60.24,HOLD
11-23-2022,163.37,59.37,HOLD
11-22-2022,162.61,57.91,HOLD
11-21-2022,162.17,57.09,HOLD
11-18-2022,160.56,54.03,HOLD
11-17-2022,158.47,49.74,HOLD
11-16-2022,157.47,47.54,HOLD
11-15-2022,156.48,45.37,HOLD
11-14-2022,156.98,46.27,HOLD
11-11-2022,157.55,47.26,HOLD
11-10-2022,160.60,52.91,HOLD
11-09-2022,157.59,47.11,HOLD
11-08-2022,159.02,49.83,HOLD
11-07-2022,156.74,45.16,HOLD
11-04-2022,155.17,41.68,HOLD
11-03-2022,156.52,43.91,HOLD
11-02-2022,154.62,39.71,HOLD
11-01-2022,155.91,41.68,HOLD
10-31-2022,157.76,44.61,HOLD
10-28-2022,157.30,43.70,HOLD
10-27-2022,157.69,44.27,HOLD
10-26-2022,159.35,46.71,HOLD
10-25-2022,164.41,55.33,HOLD
10-24-2022,162.06,51.47,HOLD
10-21-2022,159.21,46.24,HOLD
10-20-2022,158.66,45.18,HOLD
10-19-2022,160.87,48.77,HOLD
10-18-2022,160.50,48.12,HOLD
10-17-2022,157.21,42.15,HOLD
10-14-2022,154.13,35.73,HOLD
10-13-2022,156.77,39.19,HOLD
10-12-2022,153.75,32.21,HOLD
10-11-2022,155.66,34.55,HOLD
10-10-2022,154.90,32.73,HOLD
10-07-2022,154.64,32.14,HOLD
10-06-2022,158.78,36.96,HOLD
10-05-2022,165.98,48.75,HOLD
10-04-2022,167.53,52.05,HOLD
10-03-2022,164.45,45.17,HOLD
09-30-2022,159.59,30.55,HOLD
09-29-2022,161.28,33.43,HOLD
09-28-2022,164.03,38.98,HOLD
09-27-2022,162.59,33.60,HOLD
09-26-2022,164.58,37.88,HOLD
09-23-2022,165.10,39.08,HOLD
09-22-2022,166.22,41.74,HOLD
09-21-2022,168.24,47.08,HOLD
09-20-2022,169.04,49.43,HOLD
09-19-2022,170.25,53.12,HOLD
09-16-2022,168.68,48.49,HOLD
09-15-2022,170.37,53.80,HOLD
09-14-2022,171.06,56.16,HOLD
09-13-2022,170.55,54.79,HOLD
09-12-2022,173.04,63.66,HOLD
09-09-2022,172.73,62.97,HOLD
09-08-2022,172.91,63.62,HOLD
09-07-2022,172.41,62.62,HOLD
09-06-2022,167.87,51.34,HOLD
09-02-2022,167.17,49.12,HOLD
09-01-2022,168.75,54.26,HOLD
08-31-2022,167.74,51.25,HOLD
08-30-2022,169.43,57.12,HOLD
08-29-2022,170.42,60.94,HOLD
08-26-2022,170.21,60.40,HOLD
08-25-2022,173.30,73.85,SELL
08-24-2022,172.16,71.69,SELL
08-23-2022,172.11,71.59,SELL
08-22-2022,172.92,75.38,SELL
08-19-2022,172.99,75.75,SELL
08-18-2022,173.66,78.74,SELL
08-17-2022,173.96,80.05,SELL
08-16-2022,173.48,79.55,SELL
08-15-2022,171.39,77.18,SELL
08-12-2022,170.43,76.01,SELL
08-11-2022,168.45,73.36,SELL
08-10-2022,168.78,74.62,SELL
08-09-2022,168.61,74.41,SELL
08-08-2022,168.21,73.94,SELL
08-05-2022,167.55,73.17,SELL
08-04-2022,167.84,74.08,SELL
08-03-2022,164.92,70.76,SELL
08-02-2022,162.09,66.96,HOLD
08-01-2022,162.12,67.05,HOLD
07-29-2022,163.31,70.37,SELL
07-28-2022,163.32,70.40,SELL
07-27-2022,158.09,63.55,HOLD
07-26-2022,153.83,55.84,HOLD
07-25-2022,154.71,58.21,HOLD
07-22-2022,153.75,56.33,HOLD
07-21-2022,154.07,57.12,HOLD
07-20-2022,151.59,52.28,HOLD
07-19-2022,150.98,51.03,HOLD
07-18-2022,148.14,44.70,HOLD
07-15-2022,150.85,50.49,HOLD
07-14-2022,149.92,48.36,HOLD
07-13-2022,149.29,46.92,HOLD
07-12-2022,149.88,48.09,HOLD
07-11-2022,151.42,51.15,HOLD
07-08-2022,151.60,51.50,HOLD
07-07-2022,152.39,53.01,HOLD
07-06-2022,153.38,54.88,HOLD
07-05-2022,150.55,50.22,HOLD
07-01-2022,154.47,57.90,HOLD
06-30-2022,151.82,53.43,HOLD
06-29-2022,150.10,50.25,HOLD
06-28-2022,147.75,45.52,HOLD
06-27-2022,148.39,46.65,HOLD
06-24-2022,149.17,47.98,HOLD
06-23-2022,146.07,41.84,HOLD
06-22-2022,143.81,36.78,HOLD
06-21-2022,142.90,34.65,HOLD
06-17-2022,139.58,26.27,BUY
06-16-2022,141.26,27.95,BUY
06-15-2022,144.30,31.34,HOLD
06-14-2022,144.51,31.58,HOLD
06-13-2022,146.74,34.21,HOLD
06-10-2022,150.26,38.99,HOLD
06-09-2022,152.18,41.96,HOLD
06-08-2022,155.87,48.54,HOLD
06-07-2022,158.59,54.38,HOLD
06-06-2022,156.74,50.64,HOLD
06-03-2022,157.91,53.21,HOLD
06-02-2022,158.17,53.77,HOLD
06-01-2022,156.68,51.01,HOLD
05-31-2022,156.66,50.98,HOLD
05-27-2022,159.12,55.72,HOLD
05-26-2022,156.15,50.56,HOLD
05-25-2022,154.19,46.76,HOLD
05-24-2022,155.76,49.60,HOLD
05-23-2022,154.26,46.73,HOLD
05-20-2022,152.70,43.64,HOLD
05-19-2022,150.99,40.10,HOLD
05-18-2022,151.27,40.49,HOLD
05-17-2022,155.39,46.64,HOLD
05-16-2022,155.59,46.96,HOLD
05-13-2022,156.06,47.67,HOLD
05-12-2022,153.67,43.60,HOLD
