Date,Price,RSI,STATUS
12-16-2022,142.75,39.71,HOLD
12-15-2022,145.36,45.62,HOLD
12-14-2022,146.67,49.02,HOLD
12-13-2022,147.49,51.24,HOLD
12-12-2022,148.02,52.68,HOLD
12-09-2022,145.31,45.44,HOLD
12-08-2022,148.78,55.54,HOLD
12-07-2022,148.55,54.92,HOLD
12-06-2022,149.33,57.42,HOLD
12-05-2022,151.08,63.46,HOLD
12-02-2022,152.64,69.53,HOLD
12-01-2022,152.79,70.13,SELL
11-30-2022,151.85,68.54,HOLD
11-29-2022,152.40,70.55,SELL
11-28-2022,152.93,72.49,SELL
11-25-2022,152.50,71.90,SELL
11-23-2022,151.85,71.06,SELL
11-22-2022,151.12,70.13,SELL
11-21-2022,150.58,69.45,HOLD
11-18-2022,149.67,68.32,HOLD
11-17-2022,147.44,65.42,HOLD
11-16-2022,147.94,66.69,HOLD
11-15-2022,146.89,65.37,HOLD
11-14-2022,137.87,49.48,HOLD
11-11-2022,142.04,61.64,HOLD
11-10-2022,141.83,61.17,HOLD
11-09-2022,138.95,54.44,HOLD
11-08-2022,142.25,66.81,HOLD
11-07-2022,141.92,66.07,HOLD
11-04-2022,140.44,62.75,HOLD
11-03-2022,140.19,62.16,HOLD
11-02-2022,140.22,62.27,HOLD
11-01-2022,141.16,65.60,HOLD
10-31-2022,141.80,67.89,HOLD
10-28-2022,141.97,68.52,HOLD
10-27-2022,140.20,65.61,HOLD
10-26-2022,140.61,66.93,HOLD
10-25-2022,139.54,65.23,HOLD
10-24-2022,138.89,64.18,HOLD
10-21-2022,136.29,59.69,HOLD
10-20-2022,133.59,54.15,HOLD
10-19-2022,133.26,53.43,HOLD
10-18-2022,133.64,54.35,HOLD
10-17-2022,130.88,48.35,HOLD
10-14-2022,129.94,46.11,HOLD
10-13-2022,131.78,50.07,HOLD
10-12-2022,130.68,47.56,HOLD
10-11-2022,132.17,50.76,HOLD
10-10-2022,128.83,42.79,HOLD
10-07-2022,128.08,40.77,HOLD
10-06-2022,131.19,47.11,HOLD
10-05-2022,132.42,49.97,HOLD
10-04-2022,133.75,53.20,HOLD
10-03-2022,132.03,49.27,HOLD
09-30-2022,129.21,41.80,HOLD
09-29-2022,131.75,47.67,HOLD
09-28-2022,132.61,49.87,HOLD
09-27-2022,130.46,43.84,HOLD
09-26-2022,130.82,44.67,HOLD
09-23-2022,129.57,41.06,HOLD
09-22-2022,132.89,48.95,HOLD
09-21-2022,134.26,52.86,HOLD
09-20-2022,133.05,49.55,HOLD
09-19-2022,133.83,51.70,HOLD
09-16-2022,132.69,48.68,HOLD
09-15-2022,132.97,49.38,HOLD
09-14-2022,134.41,53.08,HOLD
09-13-2022,134.71,53.86,HOLD
09-12-2022,137.55,61.82,HOLD
09-09-2022,136.33,59.42,HOLD
09-08-2022,135.92,58.61,HOLD
09-07-2022,135.23,57.28,HOLD
09-06-2022,131.84,49.94,HOLD
09-02-2022,132.50,51.54,HOLD
09-01-2022,133.97,55.21,HOLD
08-31-2022,132.05,50.98,HOLD
08-30-2022,131.98,50.82,HOLD
08-29-2022,132.38,51.70,HOLD
08-26-2022,131.11,49.09,HOLD
08-25-2022,135.36,58.95,HOLD
08-24-2022,134.46,57.27,HOLD
08-23-2022,133.50,55.45,HOLD
08-22-2022,134.06,56.77,HOLD
