Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,30.86,46.57,HOLD,-1.78,0.00,2023
01-09-2023,31.42,50.64,HOLD,-0.60,1.81,2023
01-06-2023,31.61,52.07,HOLD,4.32,2.43,2023
01-05-2023,30.30,41.48,HOLD,-2.98,-1.81,2023
01-04-2023,31.23,48.55,HOLD,1.20,1.20,2023
01-03-2023,30.86,45.09,HOLD,-0.45,0.00,2023
12-30-2022,31.00,46.18,HOLD,-1.02,,2022
12-29-2022,31.32,48.68,HOLD,2.25,,2022
12-28-2022,30.63,42.44,HOLD,-2.67,,2022
12-27-2022,31.47,49.21,HOLD,-0.06,,2022
12-23-2022,31.49,49.38,HOLD,1.42,,2022
12-22-2022,31.05,45.44,HOLD,-0.19,,2022
12-21-2022,31.11,45.89,HOLD,0.65,,2022
12-20-2022,30.91,44.17,HOLD,0.26,,2022
12-19-2022,30.83,43.51,HOLD,-1.50,,2022
12-16-2022,31.30,46.54,HOLD,-1.45,,2022
12-15-2022,31.76,49.69,HOLD,-2.79,,2022
12-14-2022,32.67,56.75,HOLD,-0.67,,2022
12-13-2022,32.89,58.62,HOLD,1.76,,2022
12-12-2022,32.32,55.06,HOLD,2.67,,2022
12-09-2022,31.48,49.06,HOLD,-0.60,,2022
12-08-2022,31.67,50.47,HOLD,-0.06,,2022
12-07-2022,31.69,50.62,HOLD,2.16,,2022
12-06-2022,31.02,45.86,HOLD,-1.59,,2022
12-05-2022,31.52,49.14,HOLD,-2.78,,2022
12-02-2022,32.42,55.81,HOLD,0.43,,2022
12-01-2022,32.28,54.93,HOLD,-1.31,,2022
11-30-2022,32.71,58.26,HOLD,2.99,,2022
11-29-2022,31.76,52.33,HOLD,1.76,,2022
11-28-2022,31.21,48.40,HOLD,-3.40,,2022
11-25-2022,32.31,57.16,HOLD,0.50,,2022
11-23-2022,32.15,56.09,HOLD,-0.50,,2022
11-22-2022,32.31,57.43,HOLD,0.91,,2022
11-21-2022,32.02,55.65,HOLD,-0.77,,2022
11-18-2022,32.27,57.57,HOLD,0.78,,2022
11-17-2022,32.02,56.16,HOLD,-0.16,,2022
11-16-2022,32.07,56.51,HOLD,-2.05,,2022
11-15-2022,32.74,61.24,HOLD,1.24,,2022
11-14-2022,32.34,59.36,HOLD,-2.27,,2022
11-11-2022,33.09,64.85,HOLD,0.70,,2022
11-10-2022,32.86,63.90,HOLD,9.31,,2022
11-09-2022,30.06,47.99,HOLD,-3.09,,2022
11-08-2022,31.02,55.82,HOLD,0.19,,2022
11-07-2022,30.96,55.40,HOLD,2.25,,2022
11-04-2022,30.28,50.40,HOLD,3.03,,2022
11-03-2022,29.39,42.60,HOLD,-0.91,,2022
11-02-2022,29.66,44.58,HOLD,-2.40,,2022
11-01-2022,30.39,50.45,HOLD,-1.75,,2022
10-31-2022,30.93,55.48,HOLD,-0.55,,2022
10-28-2022,31.10,57.14,HOLD,0.29,,2022
10-27-2022,31.01,56.50,HOLD,0.16,,2022
10-26-2022,30.96,56.16,HOLD,0.16,,2022
10-25-2022,30.91,55.84,HOLD,2.83,,2022
10-24-2022,30.06,50.11,HOLD,0.33,,2022
10-21-2022,29.96,49.40,HOLD,3.52,,2022
10-20-2022,28.94,41.42,HOLD,-0.38,,2022
10-19-2022,29.05,42.08,HOLD,-2.68,,2022
10-18-2022,29.85,47.19,HOLD,0.30,,2022
10-17-2022,29.76,46.52,HOLD,2.62,,2022
10-14-2022,29.00,40.52,HOLD,-2.68,,2022
10-13-2022,29.80,45.51,HOLD,1.40,,2022
10-12-2022,29.39,42.12,HOLD,-0.24,,2022
10-11-2022,29.46,42.54,HOLD,2.04,,2022
10-10-2022,28.87,37.69,HOLD,0.73,,2022
10-07-2022,28.66,35.90,HOLD,-1.75,,2022
10-06-2022,29.17,38.38,HOLD,-2.15,,2022
10-05-2022,29.81,41.75,HOLD,-0.27,,2022
10-04-2022,29.89,42.18,HOLD,1.77,,2022
10-03-2022,29.37,38.35,HOLD,2.84,,2022
09-30-2022,28.56,31.82,HOLD,2.92,,2022
09-29-2022,27.75,24.37,BUY,-1.56,,2022
09-28-2022,28.19,25.79,BUY,1.37,,2022
09-27-2022,27.81,22.16,BUY,-1.38,,2022
09-26-2022,28.20,23.24,BUY,-2.73,,2022
09-23-2022,28.99,25.60,BUY,-1.43,,2022
09-22-2022,29.41,26.95,BUY,-1.84,,2022
09-21-2022,29.96,28.80,BUY,0.47,,2022
09-20-2022,29.82,27.63,BUY,-5.96,,2022
09-19-2022,31.71,34.82,HOLD,3.19,,2022
09-16-2022,30.73,25.48,BUY,-1.92,,2022
09-15-2022,31.33,27.74,BUY,-1.10,,2022
09-14-2022,31.68,29.14,BUY,-2.10,,2022
09-13-2022,32.36,32.06,HOLD,-6.37,,2022
09-12-2022,34.56,45.85,HOLD,-0.17,,2022
09-09-2022,34.62,46.35,HOLD,2.03,,2022
09-08-2022,33.93,39.20,HOLD,0.12,,2022
09-07-2022,33.89,38.76,HOLD,0.98,,2022
09-06-2022,33.56,35.17,HOLD,-0.92,,2022
09-02-2022,33.87,37.07,HOLD,-0.50,,2022
09-01-2022,34.04,38.11,HOLD,-0.35,,2022
08-31-2022,34.16,38.83,HOLD,0.50,,2022
08-30-2022,33.99,37.28,HOLD,-2.41,,2022
08-29-2022,34.83,42.20,HOLD,-1.55,,2022
08-26-2022,35.38,45.88,HOLD,-3.39,,2022
08-25-2022,36.62,56.14,HOLD,1.69,,2022
08-24-2022,36.01,51.15,HOLD,1.41,,2022
08-23-2022,35.51,46.52,HOLD,0.48,,2022
08-22-2022,35.34,44.87,HOLD,-2.38,,2022
08-19-2022,36.20,52.47,HOLD,-1.36,,2022
08-18-2022,36.70,57.75,HOLD,0.33,,2022
08-17-2022,36.58,56.79,HOLD,-1.38,,2022
08-16-2022,37.09,62.44,HOLD,0.38,,2022
08-15-2022,36.95,61.46,HOLD,0.16,,2022
08-12-2022,36.89,61.06,HOLD,1.26,,2022
08-11-2022,36.43,57.92,HOLD,0.97,,2022
08-10-2022,36.08,55.38,HOLD,2.41,,2022
08-09-2022,35.23,48.35,HOLD,-1.04,,2022
08-08-2022,35.60,51.64,HOLD,1.37,,2022
08-05-2022,35.12,47.32,HOLD,-0.20,,2022
08-04-2022,35.19,47.90,HOLD,-0.96,,2022
08-03-2022,35.53,50.70,HOLD,-0.95,,2022
08-02-2022,35.87,53.61,HOLD,-2.79,,2022
