Date,Price,RSI,STATUS
01-09-2023,94.33,71.14,SELL
01-06-2023,93.57,70.25,SELL
01-05-2023,91.34,67.54,HOLD
01-04-2023,90.90,66.99,HOLD
01-03-2023,85.61,59.28,HOLD
12-30-2022,82.47,53.25,HOLD
12-29-2022,81.26,50.64,HOLD
12-28-2022,80.09,48.03,HOLD
12-27-2022,84.33,58.42,HOLD
12-23-2022,80.72,49.85,HOLD
12-22-2022,81.24,51.26,HOLD
12-21-2022,82.60,55.05,HOLD
12-20-2022,82.57,54.98,HOLD
12-19-2022,81.56,52.74,HOLD
12-16-2022,86.01,66.23,HOLD
12-15-2022,84.95,64.20,HOLD
12-14-2022,86.32,69.18,HOLD
12-13-2022,86.67,70.48,SELL
12-12-2022,86.41,70.09,SELL
12-09-2022,84.99,67.96,HOLD
12-08-2022,86.43,72.84,SELL
12-07-2022,84.96,70.86,SELL
12-06-2022,85.41,72.36,SELL
12-05-2022,85.77,73.52,SELL
12-02-2022,85.15,72.82,SELL
12-01-2022,84.04,71.58,SELL
11-30-2022,83.66,71.16,SELL
11-29-2022,80.29,67.18,HOLD
11-28-2022,78.20,64.35,HOLD
11-25-2022,74.93,59.24,HOLD
11-23-2022,75.36,60.30,HOLD
11-22-2022,75.57,60.79,HOLD
11-21-2022,74.34,58.97,HOLD
11-18-2022,76.00,62.61,HOLD
11-17-2022,78.03,67.32,HOLD
11-16-2022,77.08,66.22,HOLD
11-15-2022,78.40,69.24,HOLD
11-14-2022,78.07,68.91,HOLD
11-11-2022,77.98,68.82,HOLD
11-10-2022,72.00,62.54,HOLD
11-09-2022,68.28,57.61,HOLD
11-08-2022,70.42,61.97,HOLD
11-07-2022,72.28,66.00,HOLD
11-04-2022,70.81,64.29,HOLD
11-03-2022,66.48,58.62,HOLD
11-02-2022,67.13,59.95,HOLD
11-01-2022,67.86,61.40,HOLD
10-31-2022,63.90,56.04,HOLD
10-28-2022,58.30,46.23,HOLD
10-27-2022,55.79,40.72,HOLD
10-26-2022,57.13,42.90,HOLD
10-25-2022,57.44,43.40,HOLD
10-24-2022,56.53,41.55,HOLD
10-21-2022,58.80,44.95,HOLD
10-20-2022,56.13,39.54,HOLD
10-19-2022,54.48,35.93,HOLD
10-18-2022,56.59,38.67,HOLD
