Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,23.39,54.01,HOLD,0.00,0.00,0.00
08-22-2022,22.61,49.26,HOLD,0.00,0.00,0.00
08-19-2022,23.14,52.69,HOLD,0.00,0.00,0.00
08-18-2022,23.67,56.34,HOLD,0.00,0.00,0.00
08-17-2022,23.38,54.75,HOLD,0.00,0.00,0.00
08-16-2022,24.89,66.44,HOLD,0.00,0.00,0.00
08-15-2022,24.41,64.18,HOLD,0.00,0.00,0.00
08-12-2022,25.25,72.06,HOLD,0.00,0.00,0.00
08-11-2022,24.82,70.33,HOLD,0.00,0.00,0.00
08-10-2022,25.06,72.66,HOLD,0.00,0.00,0.00
08-09-2022,24.48,70.46,HOLD,0.00,0.00,0.00
08-08-2022,23.69,67.12,HOLD,0.00,0.00,0.00
08-05-2022,23.32,65.41,HOLD,0.00,0.00,0.00
08-04-2022,23.03,64.06,HOLD,0.00,0.00,0.00
08-03-2022,22.71,62.55,HOLD,0.00,0.00,0.00
08-02-2022,22.99,64.75,HOLD,0.00,0.00,0.00
08-01-2022,23.80,71.51,HOLD,0.00,0.00,0.00
07-29-2022,23.65,70.99,HOLD,0.00,0.00,0.00
07-28-2022,21.70,62.78,HOLD,0.00,0.00,0.00
07-27-2022,21.24,60.32,HOLD,0.00,0.00,0.00
07-26-2022,20.40,55.31,HOLD,0.00,0.00,0.00
07-25-2022,20.30,54.68,HOLD,0.00,0.00,0.00
07-22-2022,19.76,51.22,HOLD,0.00,0.00,0.00
07-21-2022,20.36,55.60,HOLD,0.00,0.00,0.00
07-20-2022,19.75,51.70,SELL,15.84,270.00,0.00
07-19-2022,19.28,48.46,HOLD,13.08,223.00,0.00
07-18-2022,18.50,42.51,HOLD,8.50,145.00,0.00
07-15-2022,17.73,35.72,HOLD,3.99,68.00,0.00
07-14-2022,17.34,31.94,HOLD,1.70,29.00,0.00
07-13-2022,18.07,35.58,HOLD,5.98,102.00,0.00
07-12-2022,17.50,29.77,BUY,2.64,45.00,0.00
07-11-2022,17.50,29.77,BUY,2.64,45.00,0.00
07-08-2022,17.62,30.27,HOLD,3.34,57.00,0.00
07-07-2022,17.85,31.19,HOLD,4.69,80.00,0.00
07-06-2022,17.05,23.68,BUY,0.00,,
07-05-2022,17.02,23.39,SELL,-15.15,0.00,-304.00
07-01-2022,17.91,26.13,BUY,-10.72,0.00,-215.00
06-30-2022,17.91,26.13,BUY,-10.72,0.00,-215.00
06-29-2022,18.54,28.15,BUY,-7.58,0.00,-152.00
06-28-2022,19.00,29.71,BUY,-5.28,0.00,-106.00
06-27-2022,19.44,31.24,HOLD,-3.09,0.00,-62.00
06-24-2022,19.84,32.67,HOLD,-1.10,0.00,-22.00
06-23-2022,19.01,26.19,BUY,-5.23,0.00,-105.00
06-22-2022,19.07,26.36,BUY,-4.94,0.00,-99.00
06-21-2022,19.60,27.84,BUY,-2.29,0.00,-46.00
06-17-2022,19.89,28.66,BUY,-0.85,0.00,-17.00
06-16-2022,19.58,26.51,BUY,-2.39,0.00,-48.00
06-15-2022,20.58,29.14,BUY,2.59,52.00,0.00
06-14-2022,20.06,25.58,BUY,0.00,,
06-13-2022,20.24,26.00,SELL,-17.05,0.00,-416.00
06-10-2022,22.15,31.02,HOLD,-9.22,0.00,-225.00
06-09-2022,22.68,32.65,HOLD,-7.05,0.00,-172.00
06-08-2022,24.31,38.40,HOLD,-0.37,0.00,-9.00
06-07-2022,25.80,45.14,HOLD,5.74,140.00,0.00
06-06-2022,25.50,43.28,HOLD,4.51,110.00,0.00
06-03-2022,24.94,39.73,HOLD,2.21,54.00,0.00
06-02-2022,25.16,40.66,HOLD,3.11,76.00,0.00
06-01-2022,25.00,39.71,HOLD,2.46,60.00,0.00
05-31-2022,25.07,39.97,HOLD,2.75,67.00,0.00
05-27-2022,26.58,46.01,HOLD,8.93,218.00,0.00
05-26-2022,25.69,41.14,HOLD,5.29,129.00,0.00
05-25-2022,24.63,34.62,HOLD,0.94,23.00,0.00
05-24-2022,24.32,32.60,HOLD,-0.33,0.00,-8.00
05-23-2022,25.06,35.00,HOLD,2.70,66.00,0.00
05-20-2022,23.79,26.34,BUY,-2.50,0.00,-61.00
05-19-2022,24.25,27.58,BUY,-0.61,0.00,-15.00
05-18-2022,23.99,25.75,BUY,-1.68,0.00,-41.00
05-17-2022,25.23,28.99,BUY,3.40,83.00,0.00
