Date,Price,RSI,STATUS
12-16-2022,61.60,51.85,HOLD
12-15-2022,62.57,56.45,HOLD
12-14-2022,62.95,58.33,HOLD
12-13-2022,63.29,59.99,HOLD
12-12-2022,62.18,56.21,HOLD
12-09-2022,61.38,53.25,HOLD
12-08-2022,61.85,55.29,HOLD
12-07-2022,61.46,53.93,HOLD
12-06-2022,60.35,49.91,HOLD
12-05-2022,61.19,53.17,HOLD
12-02-2022,62.63,59.35,HOLD
12-01-2022,63.06,61.32,HOLD
11-30-2022,62.28,59.02,HOLD
11-29-2022,61.16,55.50,HOLD
11-28-2022,60.75,54.16,HOLD
11-25-2022,62.07,59.52,HOLD
11-23-2022,62.02,59.38,HOLD
11-22-2022,61.71,58.54,HOLD
11-21-2022,60.58,55.45,HOLD
11-18-2022,60.95,56.74,HOLD
11-17-2022,60.59,55.81,HOLD
11-16-2022,61.45,58.60,HOLD
11-15-2022,62.30,61.41,HOLD
11-14-2022,61.02,58.63,HOLD
11-11-2022,62.83,64.75,HOLD
11-10-2022,62.02,63.15,HOLD
11-09-2022,56.21,47.23,HOLD
11-08-2022,57.21,50.73,HOLD
11-07-2022,56.80,49.30,HOLD
11-04-2022,56.05,46.67,HOLD
11-03-2022,54.92,42.49,HOLD
11-02-2022,55.86,45.23,HOLD
11-01-2022,58.09,52.70,HOLD
10-31-2022,58.34,53.63,HOLD
10-28-2022,58.98,55.95,HOLD
10-27-2022,57.99,53.02,HOLD
10-26-2022,57.77,52.37,HOLD
10-25-2022,58.35,54.22,HOLD
10-24-2022,55.92,46.93,HOLD
10-21-2022,55.06,44.01,HOLD
10-20-2022,53.40,37.86,HOLD
10-19-2022,54.73,41.23,HOLD
10-18-2022,57.47,49.67,HOLD
10-17-2022,56.20,44.81,HOLD
10-14-2022,54.79,38.70,HOLD
10-13-2022,56.79,45.30,HOLD
10-12-2022,56.65,44.69,HOLD
10-11-2022,57.41,47.37,HOLD
10-10-2022,57.29,46.90,HOLD
10-07-2022,57.17,46.46,HOLD
10-06-2022,58.90,52.27,HOLD
10-05-2022,58.82,52.02,HOLD
10-04-2022,59.32,53.70,HOLD
10-03-2022,56.85,45.63,HOLD
09-30-2022,54.69,36.66,HOLD
09-29-2022,55.11,37.79,HOLD
09-28-2022,56.81,42.72,HOLD
09-27-2022,54.21,29.70,BUY
09-26-2022,53.98,28.36,BUY
09-23-2022,55.36,31.72,HOLD
09-22-2022,55.45,31.95,HOLD
09-21-2022,56.65,35.09,HOLD
09-20-2022,57.27,36.83,HOLD
09-19-2022,58.68,41.13,HOLD
09-16-2022,57.79,36.81,HOLD
09-15-2022,58.06,37.59,HOLD
09-14-2022,58.28,38.20,HOLD
09-13-2022,58.96,40.06,HOLD
09-12-2022,62.63,53.07,HOLD
09-09-2022,62.06,50.77,HOLD
09-08-2022,60.99,46.15,HOLD
09-07-2022,60.43,43.59,HOLD
09-06-2022,58.77,35.07,HOLD
09-02-2022,59.38,36.97,HOLD
09-01-2022,59.78,38.24,HOLD
08-31-2022,59.79,38.27,HOLD
08-30-2022,60.54,40.51,HOLD
08-29-2022,61.00,41.91,HOLD
08-26-2022,61.39,43.08,HOLD
08-25-2022,64.37,53.74,HOLD
08-24-2022,63.24,49.32,HOLD
08-23-2022,62.77,47.39,HOLD
08-22-2022,62.96,48.08,HOLD
08-19-2022,64.67,54.74,HOLD
08-18-2022,66.59,63.99,HOLD
08-17-2022,66.33,63.21,HOLD
08-16-2022,67.45,69.22,HOLD
08-15-2022,66.77,67.48,HOLD
08-12-2022,66.70,67.30,HOLD
08-11-2022,65.46,64.09,HOLD
08-10-2022,64.92,62.60,HOLD
08-09-2022,62.74,55.72,HOLD
08-08-2022,64.87,66.88,HOLD
08-05-2022,64.12,64.56,HOLD
08-04-2022,63.92,63.93,HOLD
08-03-2022,62.83,60.39,HOLD
08-02-2022,62.46,59.13,HOLD
08-01-2022,64.43,70.20,SELL
07-29-2022,64.00,69.03,HOLD
07-28-2022,63.31,67.09,HOLD
07-27-2022,62.03,63.12,HOLD
07-26-2022,60.77,58.56,HOLD
07-25-2022,61.39,62.07,HOLD
07-22-2022,62.18,66.81,HOLD
07-21-2022,61.97,66.17,HOLD
07-20-2022,60.70,62.08,HOLD
07-19-2022,60.37,60.94,HOLD
07-18-2022,58.40,53.13,HOLD
07-15-2022,58.66,54.46,HOLD
07-14-2022,57.96,51.41,HOLD
07-13-2022,58.60,54.51,HOLD
07-12-2022,58.50,54.11,HOLD
07-11-2022,58.09,52.52,HOLD
07-08-2022,58.38,53.74,HOLD
07-07-2022,58.41,53.86,HOLD
07-06-2022,57.58,51.03,HOLD
07-05-2022,57.95,52.36,HOLD
07-01-2022,56.56,47.60,HOLD
06-30-2022,54.71,40.20,HOLD
06-29-2022,54.94,40.86,HOLD
06-28-2022,55.17,41.50,HOLD
06-27-2022,56.34,44.81,HOLD
06-24-2022,56.26,44.53,HOLD
