Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,37.60,60.05,HOLD,-0.19,9.56,4.10
01-11-2024,37.67,61.64,HOLD,-0.37,9.76,5.08
01-10-2024,37.81,64.84,HOLD,0.16,10.17,5.67
01-09-2024,37.75,64.09,HOLD,-0.63,9.99,6.49
01-08-2024,37.99,69.53,HOLD,0.64,10.69,7.77
01-05-2024,37.75,66.93,HOLD,0.43,9.99,6.70
01-04-2024,37.59,65.08,HOLD,0.40,9.53,8.61
01-03-2024,37.44,63.29,HOLD,-0.85,9.09,7.37
01-02-2024,37.76,70.43,HOLD,0.43,10.02,10.02
12-29-2023,37.60,68.80,HOLD,-0.32,9.56,0.00
12-28-2023,37.72,71.55,HOLD,0.29,9.91,0.00
12-27-2023,37.61,70.55,HOLD,0.32,9.59,0.00
12-26-2023,37.49,69.46,HOLD,0.40,9.24,0.00
12-22-2023,37.34,68.08,HOLD,0.21,8.80,0.00
12-21-2023,37.26,67.36,HOLD,0.98,8.57,0.00
12-20-2023,36.90,63.92,HOLD,-1.78,7.52,0.00
12-19-2023,37.57,78.12,SELL,0.75,9.47,0.00
12-18-2023,37.29,76.06,SELL,-0.16,8.65,0.00
12-15-2023,37.35,77.51,SELL,-0.59,8.83,0.00
12-14-2023,37.57,82.91,SELL,0.99,9.47,0.00
12-13-2023,37.20,80.82,SELL,1.61,8.39,0.00
12-12-2023,36.61,76.59,SELL,0.72,6.67,0.00
12-11-2023,36.35,74.27,SELL,0.61,5.91,0.00
12-08-2023,36.13,72.10,HOLD,0.53,5.27,0.00
12-07-2023,35.94,70.07,HOLD,0.48,4.72,0.00
12-06-2023,35.77,68.14,HOLD,-0.50,4.22,0.00
12-05-2023,35.95,72.74,HOLD,-0.50,4.75,0.00
12-04-2023,36.13,77.61,SELL,-0.11,5.27,0.00
12-01-2023,36.17,78.69,SELL,0.75,5.39,0.00
11-30-2023,35.90,76.64,SELL,1.13,4.60,0.00
11-29-2023,35.50,73.08,HOLD,0.71,3.44,0.00
11-28-2023,35.25,70.47,HOLD,-0.03,2.71,0.00
11-27-2023,35.26,70.73,HOLD,-0.34,2.74,0.00
11-24-2023,35.38,73.70,HOLD,0.31,3.09,0.00
11-22-2023,35.27,72.72,HOLD,0.40,2.77,0.00
11-21-2023,35.13,71.47,HOLD,-0.06,2.36,0.00
11-20-2023,35.15,71.91,HOLD,0.40,2.42,0.00
11-17-2023,35.01,70.75,HOLD,0.52,2.01,0.00
11-16-2023,34.83,69.23,HOLD,0.40,1.49,0.00
11-15-2023,34.69,68.03,HOLD,0.55,1.08,0.00
11-14-2023,34.50,66.37,HOLD,1.89,0.52,0.00
11-13-2023,33.86,59.89,HOLD,-0.15,-1.34,0.00
11-10-2023,33.91,60.74,HOLD,1.13,-1.19,0.00
11-09-2023,33.53,56.37,HOLD,-0.42,-2.30,0.00
11-08-2023,33.67,58.60,HOLD,0.12,-1.89,0.00
11-07-2023,33.63,58.16,HOLD,-0.15,-2.01,0.00
11-06-2023,33.68,58.89,HOLD,-0.30,-1.86,0.00
11-03-2023,33.78,60.28,HOLD,1.32,-1.57,0.00
11-02-2023,33.34,56.02,HOLD,2.36,-2.86,0.00
11-01-2023,32.57,46.74,HOLD,0.65,-5.10,0.00
10-31-2023,32.36,43.73,HOLD,1.09,-5.71,0.00
10-30-2023,32.01,38.34,HOLD,1.78,-6.73,0.00
10-27-2023,31.45,28.11,HOLD,-1.81,-8.36,0.00
10-26-2023,32.03,33.45,HOLD,-0.22,-6.67,0.00
10-25-2023,32.10,34.18,HOLD,-0.37,-6.47,0.00
