Date,Price,RSI,STATUS
01-09-2023,16.23,59.74,HOLD
01-06-2023,16.41,62.05,HOLD
01-05-2023,15.74,56.20,HOLD
01-04-2023,15.48,53.62,HOLD
01-03-2023,15.09,49.48,HOLD
12-30-2022,14.60,43.61,HOLD
12-29-2022,14.49,42.20,HOLD
12-28-2022,14.37,40.71,HOLD
12-27-2022,14.70,43.59,HOLD
12-23-2022,14.61,42.56,HOLD
12-22-2022,14.66,42.96,HOLD
12-21-2022,14.85,44.45,HOLD
12-20-2022,14.71,43.10,HOLD
12-19-2022,14.11,37.03,HOLD
12-16-2022,15.19,45.07,HOLD
12-15-2022,15.49,47.75,HOLD
12-14-2022,16.34,56.59,HOLD
12-13-2022,16.53,58.85,HOLD
12-12-2022,16.13,55.36,HOLD
12-09-2022,15.75,51.76,HOLD
12-08-2022,15.96,53.99,HOLD
12-07-2022,15.80,52.54,HOLD
12-06-2022,15.33,48.07,HOLD
12-05-2022,16.64,63.57,HOLD
12-02-2022,16.67,64.01,HOLD
12-01-2022,16.47,62.41,HOLD
11-30-2022,16.31,61.12,HOLD
11-29-2022,15.65,55.23,HOLD
11-28-2022,15.45,53.24,HOLD
11-25-2022,15.91,58.83,HOLD
11-23-2022,15.75,57.38,HOLD
11-22-2022,15.44,54.51,HOLD
11-21-2022,15.23,52.50,HOLD
11-18-2022,15.31,53.33,HOLD
11-17-2022,15.33,53.53,HOLD
11-16-2022,15.25,52.88,HOLD
11-15-2022,15.75,57.54,HOLD
11-14-2022,15.41,55.04,HOLD
11-11-2022,15.43,55.22,HOLD
11-10-2022,14.94,51.67,HOLD
11-09-2022,14.16,45.25,HOLD
11-08-2022,14.58,48.47,HOLD
11-07-2022,14.74,49.72,HOLD
11-04-2022,14.26,45.82,HOLD
11-03-2022,13.94,43.09,HOLD
11-02-2022,14.70,48.48,HOLD
11-01-2022,15.10,51.63,HOLD
10-31-2022,14.63,47.94,HOLD
10-28-2022,14.40,46.07,HOLD
10-27-2022,14.67,47.95,HOLD
10-26-2022,14.48,46.52,HOLD
