Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,75.28,57.94,HOLD,10.07,689.00,0.00
08-22-2022,76.20,65.12,HOLD,11.42,781.00,0.00
08-19-2022,76.94,71.76,HOLD,12.50,855.00,0.00
08-18-2022,76.99,72.22,HOLD,12.57,860.00,0.00
08-17-2022,76.93,72.02,HOLD,12.49,854.00,0.00
08-16-2022,77.01,72.67,HOLD,12.60,862.00,0.00
08-15-2022,76.69,71.72,HOLD,12.14,830.00,0.00
08-12-2022,75.96,69.48,HOLD,11.07,757.00,0.00
08-11-2022,74.61,64.66,HOLD,9.09,622.00,0.00
08-10-2022,75.11,68.37,HOLD,9.83,672.00,0.00
08-09-2022,74.82,67.36,HOLD,9.40,643.00,0.00
08-08-2022,73.90,63.98,HOLD,8.06,551.00,0.00
08-05-2022,73.80,63.60,HOLD,7.91,541.00,0.00
08-04-2022,74.56,68.73,HOLD,9.02,617.00,0.00
08-03-2022,74.31,67.94,HOLD,8.66,592.00,0.00
08-02-2022,73.45,65.13,HOLD,7.40,506.00,0.00
08-01-2022,73.19,64.24,HOLD,7.02,480.00,0.00
07-29-2022,73.18,64.21,HOLD,7.00,479.00,0.00
07-28-2022,72.21,61.04,HOLD,5.59,382.00,0.00
07-27-2022,70.25,53.28,HOLD,2.72,186.00,0.00
07-26-2022,70.21,53.10,HOLD,2.66,182.00,0.00
07-25-2022,69.46,49.79,HOLD,1.56,107.00,0.00
07-22-2022,68.67,46.06,HOLD,0.41,28.00,0.00
07-21-2022,67.70,41.08,HOLD,-1.01,0.00,-69.00
07-20-2022,67.60,40.55,HOLD,-1.16,0.00,-79.00
07-19-2022,68.86,45.28,HOLD,0.69,47.00,0.00
07-18-2022,68.55,43.78,HOLD,0.23,16.00,0.00
07-15-2022,69.96,49.51,HOLD,2.30,157.00,0.00
07-14-2022,69.31,46.52,HOLD,1.35,92.00,0.00
07-13-2022,69.20,46.01,HOLD,1.18,81.00,0.00
07-12-2022,69.50,47.13,HOLD,1.62,111.00,0.00
07-11-2022,69.89,48.57,HOLD,2.19,150.00,0.00
07-08-2022,69.60,47.46,HOLD,1.77,121.00,0.00
07-07-2022,69.58,47.39,HOLD,1.74,119.00,0.00
07-06-2022,71.01,52.15,HOLD,3.83,262.00,0.00
07-05-2022,69.89,48.38,HOLD,2.19,150.00,0.00
07-01-2022,72.63,58.91,HOLD,6.20,424.00,0.00
06-30-2022,70.76,52.33,HOLD,3.47,237.00,0.00
06-29-2022,70.21,50.16,HOLD,2.66,182.00,0.00
06-28-2022,69.99,49.30,HOLD,2.34,160.00,0.00
06-27-2022,69.33,46.74,HOLD,1.37,94.00,0.00
06-24-2022,68.56,43.65,HOLD,0.25,17.00,0.00
06-23-2022,67.28,38.12,HOLD,-1.62,0.00,-111.00
06-22-2022,65.78,30.73,HOLD,-3.82,0.00,-261.00
06-21-2022,64.76,25.07,BUY,-5.31,0.00,-363.00
06-17-2022,63.91,20.02,BUY,-6.55,0.00,-448.00
06-16-2022,64.95,21.68,BUY,-5.03,0.00,-344.00
06-15-2022,65.85,23.23,BUY,-3.71,0.00,-254.00
06-14-2022,65.88,23.28,BUY,-3.67,0.00,-251.00
06-13-2022,68.39,28.12,BUY,0.00,,
06-10-2022,71.01,35.22,HOLD,0.00,0.00,0.00
06-09-2022,71.28,36.09,HOLD,0.00,0.00,0.00
06-08-2022,73.17,43.02,HOLD,0.00,0.00,0.00
06-07-2022,75.58,55.66,HOLD,0.00,0.00,0.00
06-06-2022,74.71,50.81,HOLD,0.00,0.00,0.00
06-03-2022,74.88,51.84,HOLD,0.00,0.00,0.00
06-02-2022,75.48,55.52,HOLD,0.00,0.00,0.00
06-01-2022,75.12,53.69,HOLD,0.00,0.00,0.00
05-31-2022,75.34,54.97,HOLD,0.00,0.00,0.00
05-27-2022,76.34,61.15,HOLD,0.00,0.00,0.00
05-26-2022,74.96,54.61,HOLD,0.00,0.00,0.00
05-25-2022,75.70,59.60,HOLD,0.00,0.00,0.00
05-24-2022,76.26,63.69,HOLD,0.00,0.00,0.00
05-23-2022,74.87,56.87,HOLD,0.00,0.00,0.00
05-20-2022,74.22,53.04,HOLD,0.00,0.00,0.00
05-19-2022,75.01,58.95,HOLD,0.00,0.00,0.00
05-18-2022,74.89,58.29,HOLD,0.00,0.00,0.00
05-17-2022,75.30,61.40,HOLD,0.00,0.00,0.00
05-16-2022,74.83,59.08,HOLD,0.00,0.00,0.00
05-13-2022,74.49,57.36,HOLD,0.00,0.00,0.00
05-12-2022,73.55,52.18,HOLD,0.00,0.00,0.00
05-11-2022,73.97,54.95,HOLD,0.00,0.00,0.00
