Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,14055.59,56.92,HOLD,0.26,4.91,2023
01-09-2023,14018.51,56.24,HOLD,1.03,4.63,2023
01-06-2023,13876.19,53.65,HOLD,3.38,3.57,2023
01-05-2023,13422.50,43.77,HOLD,-1.51,0.18,2023
01-04-2023,13628.09,48.08,HOLD,1.72,1.72,2023
01-03-2023,13398.03,42.16,HOLD,0.05,0.00,2023
12-30-2022,13391.91,41.99,HOLD,-0.77,,2022
12-29-2022,13496.23,43.96,HOLD,1.49,,2022
12-28-2022,13298.36,38.92,HOLD,-1.71,,2022
12-27-2022,13530.31,43.14,HOLD,-0.25,,2022
12-23-2022,13564.76,43.80,HOLD,1.07,,2022
12-22-2022,13421.10,40.29,HOLD,-1.05,,2022
12-21-2022,13563.84,42.75,HOLD,1.34,,2022
12-20-2022,13384.63,38.36,HOLD,-1.34,,2022
12-19-2022,13566.23,41.34,HOLD,-1.25,,2022
12-16-2022,13738.04,44.38,HOLD,-1.09,,2022
12-15-2022,13889.77,47.22,HOLD,-2.72,,2022
12-14-2022,14277.63,55.68,HOLD,0.60,,2022
12-13-2022,14191.91,53.99,HOLD,0.08,,2022
12-12-2022,14180.04,53.76,HOLD,3.03,,2022
12-09-2022,13762.82,44.89,HOLD,-0.34,,2022
12-08-2022,13809.74,45.80,HOLD,0.30,,2022
12-07-2022,13767.89,44.87,HOLD,-0.94,,2022
12-06-2022,13898.10,47.22,HOLD,-1.07,,2022
12-05-2022,14048.18,50.03,HOLD,-3.26,,2022
12-02-2022,14520.96,60.56,HOLD,-0.14,,2022
12-01-2022,14540.66,61.05,HOLD,-0.74,,2022
11-30-2022,14649.20,63.73,HOLD,1.94,,2022
11-29-2022,14370.08,59.49,HOLD,1.59,,2022
11-28-2022,14145.40,55.61,HOLD,-2.06,,2022
11-25-2022,14442.58,63.02,HOLD,0.43,,2022
11-23-2022,14380.42,62.04,HOLD,0.32,,2022
11-22-2022,14334.28,61.33,HOLD,0.27,,2022
11-21-2022,14295.49,60.76,HOLD,0.29,,2022
11-18-2022,14254.80,60.19,HOLD,0.67,,2022
11-17-2022,14159.91,58.89,HOLD,-1.03,,2022
11-16-2022,14306.93,61.79,HOLD,-2.12,,2022
11-15-2022,14617.02,68.40,HOLD,0.58,,2022
11-14-2022,14532.58,67.52,HOLD,-0.15,,2022
11-11-2022,14554.55,67.98,HOLD,2.11,,2022
11-10-2022,14253.40,64.96,HOLD,5.56,,2022
11-09-2022,13502.72,55.20,HOLD,-2.47,,2022
11-08-2022,13844.62,62.57,HOLD,0.77,,2022
11-07-2022,13738.95,61.08,HOLD,1.97,,2022
11-04-2022,13474.08,57.10,HOLD,2.07,,2022
11-03-2022,13200.71,52.44,HOLD,0.81,,2022
11-02-2022,13094.43,50.49,HOLD,-3.15,,2022
11-01-2022,13520.95,59.56,HOLD,-0.46,,2022
10-31-2022,13583.79,61.06,HOLD,0.06,,2022
10-28-2022,13574.98,60.93,HOLD,1.54,,2022
10-27-2022,13369.09,57.93,HOLD,-0.43,,2022
10-26-2022,13427.03,59.11,HOLD,1.36,,2022
10-25-2022,13246.66,56.54,HOLD,1.38,,2022
10-24-2022,13066.16,53.84,HOLD,2.94,,2022
10-21-2022,12692.75,47.58,HOLD,2.12,,2022
10-20-2022,12429.60,42.48,HOLD,-2.55,,2022
10-19-2022,12755.16,47.83,HOLD,-1.69,,2022
10-18-2022,12974.81,51.92,HOLD,1.35,,2022
10-17-2022,12801.54,48.71,HOLD,2.38,,2022
10-14-2022,12503.38,42.57,HOLD,-1.89,,2022
10-13-2022,12744.39,46.77,HOLD,1.00,,2022
10-12-2022,12618.53,44.10,HOLD,0.63,,2022
10-11-2022,12539.79,42.42,HOLD,0.03,,2022
10-10-2022,12535.57,42.33,HOLD,0.47,,2022
