Date,Price,RSI,STATUS
01-09-2023,3892.09,51.32,HOLD
01-06-2023,3895.08,51.61,HOLD
01-05-2023,3808.10,42.97,HOLD
01-04-2023,3852.97,46.99,HOLD
01-03-2023,3824.14,43.86,HOLD
12-30-2022,3839.50,45.18,HOLD
12-29-2022,3849.28,46.00,HOLD
12-28-2022,3783.22,39.07,HOLD
12-27-2022,3829.25,42.61,HOLD
12-23-2022,3844.82,43.85,HOLD
12-22-2022,3822.39,41.57,HOLD
12-21-2022,3878.44,45.90,HOLD
12-20-2022,3821.62,40.01,HOLD
12-19-2022,3817.66,39.59,HOLD
12-16-2022,3852.36,42.01,HOLD
12-15-2022,3895.75,45.23,HOLD
12-14-2022,3995.32,54.06,HOLD
12-13-2022,4019.65,56.56,HOLD
12-12-2022,3990.56,54.21,HOLD
12-09-2022,3934.38,49.28,HOLD
12-08-2022,3963.51,51.97,HOLD
12-07-2022,3933.92,49.36,HOLD
12-06-2022,3941.26,49.98,HOLD
12-05-2022,3998.84,55.07,HOLD
12-02-2022,4071.70,62.56,HOLD
12-01-2022,4076.57,63.09,HOLD
11-30-2022,4080.11,63.46,HOLD
11-29-2022,3957.63,55.13,HOLD
11-28-2022,3963.94,55.74,HOLD
11-25-2022,4026.12,61.99,HOLD
11-23-2022,4027.26,62.11,HOLD
11-22-2022,4003.58,60.66,HOLD
11-21-2022,3949.94,57.21,HOLD
11-18-2022,3965.34,58.58,HOLD
11-17-2022,3946.56,57.42,HOLD
11-16-2022,3958.79,58.41,HOLD
11-15-2022,3991.73,61.02,HOLD
11-14-2022,3957.25,59.25,HOLD
11-11-2022,3992.93,61.96,HOLD
11-10-2022,3956.37,60.23,HOLD
11-09-2022,3748.57,47.67,HOLD
11-08-2022,3828.11,53.70,HOLD
11-07-2022,3806.80,52.19,HOLD
11-04-2022,3770.55,49.61,HOLD
11-03-2022,3719.89,45.81,HOLD
11-02-2022,3759.69,48.48,HOLD
11-01-2022,3856.10,55.78,HOLD
10-31-2022,3871.98,57.10,HOLD
10-28-2022,3901.06,59.49,HOLD
10-27-2022,3807.30,53.69,HOLD
10-26-2022,3830.60,55.52,HOLD
10-25-2022,3859.11,57.77,HOLD
10-24-2022,3797.34,54.03,HOLD
10-21-2022,3752.75,51.14,HOLD
10-20-2022,3665.78,44.85,HOLD
10-19-2022,3695.16,46.74,HOLD
10-18-2022,3719.98,48.33,HOLD
10-17-2022,3677.95,45.40,HOLD
10-14-2022,3583.07,38.04,HOLD
10-13-2022,3669.91,42.97,HOLD
10-12-2022,3577.03,34.55,HOLD
10-11-2022,3588.84,35.16,HOLD
