Date,Price,RSI,STATUS
01-09-2023,10635.65,48.74,HOLD
01-06-2023,10569.29,46.91,HOLD
01-05-2023,10305.24,38.82,HOLD
01-04-2023,10458.76,42.30,HOLD
01-03-2023,10386.98,39.97,HOLD
12-30-2022,10466.48,41.70,HOLD
12-29-2022,10478.09,41.95,HOLD
12-28-2022,10213.29,33.62,HOLD
12-27-2022,10353.23,36.17,HOLD
12-23-2022,10497.86,39.00,HOLD
12-22-2022,10476.12,38.33,HOLD
12-21-2022,10709.37,43.07,HOLD
12-20-2022,10547.11,38.13,HOLD
12-19-2022,10546.03,38.09,HOLD
12-16-2022,10705.41,41.12,HOLD
12-15-2022,10810.53,43.23,HOLD
12-14-2022,11170.89,51.64,HOLD
12-13-2022,11256.81,53.97,HOLD
12-12-2022,11143.74,51.29,HOLD
12-09-2022,11004.62,47.81,HOLD
12-08-2022,11082.00,49.64,HOLD
12-07-2022,10958.55,46.62,HOLD
12-06-2022,11014.89,47.84,HOLD
12-05-2022,11239.94,52.97,HOLD
12-02-2022,11461.50,58.72,HOLD
12-01-2022,11482.45,59.29,HOLD
11-30-2022,11468.00,59.03,HOLD
11-29-2022,10983.78,49.23,HOLD
11-28-2022,11049.50,50.76,HOLD
11-25-2022,11226.36,55.04,HOLD
11-23-2022,11285.32,56.51,HOLD
11-22-2022,11174.41,54.37,HOLD
11-21-2022,11024.51,51.38,HOLD
11-18-2022,11146.06,54.05,HOLD
11-17-2022,11144.96,54.03,HOLD
11-16-2022,11183.66,54.81,HOLD
11-15-2022,11358.41,58.36,HOLD
11-14-2022,11196.22,55.90,HOLD
11-11-2022,11323.33,58.41,HOLD
11-10-2022,11114.15,55.35,HOLD
11-09-2022,10353.17,40.55,HOLD
11-08-2022,10616.20,45.38,HOLD
11-07-2022,10564.52,44.16,HOLD
11-04-2022,10475.25,42.10,HOLD
11-03-2022,10342.94,39.00,HOLD
11-02-2022,10524.80,41.86,HOLD
11-01-2022,10890.85,48.51,HOLD
10-31-2022,10988.15,50.49,HOLD
10-28-2022,11102.45,52.85,HOLD
10-27-2022,10792.67,46.58,HOLD
10-26-2022,10970.99,50.14,HOLD
10-25-2022,11199.12,55.15,HOLD
10-24-2022,10952.61,50.16,HOLD
10-21-2022,10859.72,48.13,HOLD
10-20-2022,10614.84,42.42,HOLD
10-19-2022,10680.51,43.62,HOLD
10-18-2022,10772.40,45.28,HOLD
10-17-2022,10675.80,43.17,HOLD
10-14-2022,10321.39,34.57,HOLD
10-13-2022,10649.15,39.73,HOLD
10-12-2022,10417.10,33.17,HOLD
10-11-2022,10426.19,33.31,HOLD
10-10-2022,10542.10,34.95,HOLD
10-07-2022,10652.40,36.54,HOLD
10-06-2022,11073.31,43.59,HOLD
10-05-2022,11148.64,45.03,HOLD
10-04-2022,11176.41,45.55,HOLD
10-03-2022,10815.43,36.81,HOLD
09-30-2022,10575.62,29.86,BUY
09-29-2022,10737.51,32.07,HOLD
09-28-2022,11051.64,37.01,HOLD
09-27-2022,10829.50,29.93,BUY
09-26-2022,10802.92,29.04,BUY
09-23-2022,10867.93,29.90,BUY
09-22-2022,11066.81,32.64,HOLD
09-21-2022,11220.19,34.93,HOLD
09-20-2022,11425.05,38.27,HOLD
09-19-2022,11535.02,40.18,HOLD
09-16-2022,11448.40,37.91,HOLD
09-15-2022,11552.36,39.59,HOLD
09-14-2022,11719.68,42.38,HOLD
09-13-2022,11633.57,40.37,HOLD
09-12-2022,12266.41,53.01,HOLD
09-09-2022,12112.31,49.43,HOLD
09-08-2022,11862.13,42.87,HOLD
09-07-2022,11791.90,40.87,HOLD
09-06-2022,11544.91,33.24,HOLD
09-02-2022,11630.86,34.68,HOLD
09-01-2022,11785.13,37.40,HOLD
08-31-2022,11816.20,37.95,HOLD
