Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,12.54,50.55,HOLD,0.00,0.00,0.00
08-22-2022,12.53,50.46,HOLD,0.00,0.00,0.00
08-19-2022,13.08,55.53,HOLD,0.00,0.00,0.00
08-18-2022,13.56,60.44,HOLD,0.00,0.00,0.00
08-17-2022,13.15,57.46,HOLD,0.00,0.00,0.00
08-16-2022,13.80,64.64,HOLD,0.00,0.00,0.00
08-15-2022,12.89,57.78,HOLD,0.00,0.00,0.00
08-12-2022,12.85,57.44,HOLD,0.00,0.00,0.00
08-11-2022,12.46,54.12,HOLD,0.00,0.00,0.00
08-10-2022,11.96,49.43,HOLD,0.00,0.00,0.00
08-09-2022,11.49,44.46,HOLD,0.00,0.00,0.00
08-08-2022,12.63,57.07,HOLD,0.00,0.00,0.00
08-05-2022,12.06,50.56,HOLD,0.00,0.00,0.00
08-04-2022,12.16,51.85,HOLD,0.00,0.00,0.00
08-03-2022,12.31,53.74,HOLD,0.00,0.00,0.00
08-02-2022,11.71,46.47,HOLD,0.00,0.00,0.00
08-01-2022,12.11,51.48,HOLD,0.00,0.00,0.00
07-29-2022,12.04,50.61,HOLD,0.00,0.00,0.00
07-28-2022,11.99,50.02,HOLD,0.00,0.00,0.00
07-27-2022,11.63,45.68,HOLD,0.00,0.00,0.00
07-26-2022,10.99,36.57,HOLD,0.00,0.00,0.00
07-25-2022,12.03,48.95,HOLD,0.00,0.00,0.00
07-22-2022,12.23,52.10,HOLD,0.00,0.00,0.00
07-21-2022,12.12,50.48,HOLD,0.00,0.00,0.00
07-20-2022,12.23,52.12,HOLD,0.00,0.00,0.00
07-19-2022,11.99,48.74,HOLD,0.00,0.00,0.00
07-18-2022,11.70,44.32,HOLD,0.00,0.00,0.00
07-15-2022,11.78,45.32,HOLD,0.00,0.00,0.00
07-14-2022,11.59,42.46,HOLD,0.00,0.00,0.00
07-13-2022,11.93,46.51,HOLD,0.00,0.00,0.00
07-12-2022,11.80,44.63,HOLD,0.00,0.00,0.00
07-11-2022,11.86,45.31,HOLD,0.00,0.00,0.00
07-08-2022,11.73,43.58,HOLD,0.00,0.00,0.00
07-07-2022,11.75,43.78,HOLD,0.00,0.00,0.00
07-06-2022,11.61,42.07,HOLD,0.00,0.00,0.00
07-05-2022,11.64,42.33,HOLD,0.00,0.00,0.00
07-01-2022,11.43,39.96,HOLD,0.00,0.00,0.00
06-30-2022,11.18,37.09,HOLD,0.00,0.00,0.00
06-29-2022,11.73,41.10,HOLD,0.00,0.00,0.00
06-28-2022,12.25,45.40,HOLD,0.00,0.00,0.00
06-27-2022,12.74,49.97,HOLD,0.00,0.00,0.00
06-24-2022,12.92,51.75,HOLD,0.00,0.00,0.00
