Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,60.75,48.11,HOLD,3.97,232.00,0.00
08-22-2022,61.29,50.36,HOLD,4.89,286.00,0.00
08-19-2022,62.63,56.47,HOLD,7.19,420.00,0.00
08-18-2022,64.11,64.48,HOLD,9.72,568.00,0.00
08-17-2022,64.21,65.05,HOLD,9.89,578.00,0.00
08-16-2022,64.33,65.71,HOLD,10.10,590.00,0.00
08-15-2022,64.08,65.03,HOLD,9.67,565.00,0.00
08-12-2022,63.87,64.48,HOLD,9.31,544.00,0.00
08-11-2022,62.42,60.47,HOLD,6.83,399.00,0.00
08-10-2022,61.70,58.30,HOLD,5.60,327.00,0.00
08-09-2022,60.30,53.72,HOLD,3.20,187.00,0.00
08-08-2022,61.50,58.87,HOLD,5.25,307.00,0.00
08-05-2022,60.60,55.93,HOLD,3.71,217.00,0.00
08-04-2022,61.29,58.93,HOLD,4.89,286.00,0.00
08-03-2022,61.48,59.75,HOLD,5.22,305.00,0.00
08-02-2022,60.47,56.78,HOLD,3.49,204.00,0.00
08-01-2022,61.93,63.02,HOLD,5.99,350.00,0.00
07-29-2022,63.27,69.52,HOLD,8.28,484.00,0.00
07-28-2022,60.99,63.58,HOLD,4.38,256.00,0.00
07-27-2022,60.54,62.23,HOLD,3.61,211.00,0.00
07-26-2022,59.04,57.34,HOLD,1.04,61.00,0.00
07-25-2022,58.92,56.93,HOLD,0.84,49.00,0.00
07-22-2022,59.00,57.27,HOLD,0.98,57.00,0.00
07-21-2022,58.95,57.12,HOLD,0.89,52.00,0.00
07-20-2022,57.88,53.89,HOLD,-0.94,0.00,-55.00
07-19-2022,57.51,52.75,HOLD,-1.57,0.00,-92.00
07-18-2022,55.46,45.85,HOLD,-5.08,0.00,-297.00
07-15-2022,56.65,49.77,HOLD,-3.05,0.00,-178.00
07-14-2022,54.13,39.62,HOLD,-7.36,0.00,-430.00
07-13-2022,55.49,44.08,HOLD,-5.03,0.00,-294.00
07-12-2022,56.14,46.40,HOLD,-3.92,0.00,-229.00
07-11-2022,56.69,48.40,HOLD,-2.98,0.00,-174.00
07-08-2022,56.97,49.41,HOLD,-2.50,0.00,-146.00
07-07-2022,59.61,60.42,HOLD,2.02,118.00,0.00
07-06-2022,57.96,54.54,HOLD,-0.80,0.00,-47.00
07-05-2022,57.39,52.27,HOLD,-1.78,0.00,-104.00
07-01-2022,56.03,46.32,HOLD,-4.11,0.00,-240.00
06-30-2022,54.68,39.35,HOLD,-6.42,0.00,-375.00
06-29-2022,54.80,39.78,HOLD,-6.21,0.00,-363.00
06-28-2022,55.18,41.09,HOLD,-5.56,0.00,-325.00
06-27-2022,55.85,43.43,HOLD,-4.42,0.00,-258.00
06-24-2022,55.82,43.29,HOLD,-4.47,0.00,-261.00
06-23-2022,54.13,35.26,HOLD,-7.36,0.00,-430.00
06-22-2022,53.06,29.38,HOLD,-9.19,0.00,-537.00
06-21-2022,52.89,28.42,HOLD,-9.48,0.00,-554.00
06-17-2022,53.11,28.90,HOLD,-9.10,0.00,-532.00
06-16-2022,53.59,29.90,HOLD,-8.28,0.00,-484.00
06-15-2022,56.04,35.80,HOLD,-4.09,0.00,-239.00
06-14-2022,55.64,33.82,HOLD,-4.77,0.00,-279.00
06-13-2022,56.09,34.95,HOLD,-4.00,0.00,-234.00
06-10-2022,58.06,40.42,HOLD,-0.63,0.00,-37.00
06-09-2022,60.81,50.71,HOLD,4.07,238.00,0.00
06-08-2022,61.09,51.96,HOLD,4.55,266.00,0.00
06-07-2022,61.80,55.16,HOLD,5.77,337.00,0.00
06-06-2022,61.87,55.47,HOLD,5.89,344.00,0.00
06-03-2022,60.84,51.73,HOLD,4.12,241.00,0.00
06-02-2022,61.16,53.01,HOLD,4.67,273.00,0.00
06-01-2022,60.44,50.44,HOLD,3.44,201.00,0.00
05-31-2022,60.12,49.29,HOLD,2.89,169.00,0.00
05-27-2022,61.22,53.22,HOLD,4.77,279.00,0.00
05-26-2022,59.63,47.62,HOLD,2.05,120.00,0.00
05-25-2022,58.54,43.30,HOLD,0.19,11.00,0.00
05-24-2022,58.35,42.53,HOLD,-0.14,0.00,-8.00
05-23-2022,58.37,42.59,HOLD,-0.10,0.00,-6.00
05-20-2022,57.77,40.39,HOLD,-1.13,0.00,-66.00
05-19-2022,58.45,42.08,HOLD,0.03,2.00,0.00
05-18-2022,57.77,39.73,HOLD,-1.13,0.00,-66.00
05-17-2022,60.35,46.37,HOLD,3.29,192.00,0.00
05-16-2022,58.98,41.55,HOLD,0.94,55.00,0.00
05-13-2022,60.01,44.33,HOLD,2.70,158.00,0.00
05-12-2022,59.06,40.95,HOLD,1.08,63.00,0.00
05-11-2022,57.37,34.37,HOLD,-1.81,0.00,-106.00
05-10-2022,58.96,38.08,HOLD,0.91,53.00,0.00
05-09-2022,59.79,40.18,HOLD,2.33,136.00,0.00
05-06-2022,59.40,38.70,HOLD,1.66,97.00,0.00
05-05-2022,58.93,36.96,HOLD,0.86,50.00,0.00
05-04-2022,61.64,43.59,HOLD,5.49,321.00,0.00
05-03-2022,59.10,33.16,HOLD,1.15,67.00,0.00
05-02-2022,59.32,33.66,HOLD,1.52,89.00,0.00
04-29-2022,58.43,29.67,BUY,0.00,,
04-28-2022,59.87,32.62,HOLD,0.00,0.00,0.00
04-27-2022,62.89,40.43,HOLD,0.00,0.00,0.00
04-26-2022,62.37,38.06,SELL,-12.54,0.00,-894.00
04-25-2022,64.63,45.35,HOLD,-9.37,0.00,-668.00
04-22-2022,64.74,45.74,HOLD,-9.21,0.00,-657.00
04-21-2022,66.30,51.69,HOLD,-7.03,0.00,-501.00
04-20-2022,66.30,51.69,HOLD,-7.03,0.00,-501.00
04-19-2022,65.37,48.23,HOLD,-8.33,0.00,-594.00
04-18-2022,63.34,39.44,HOLD,-11.18,0.00,-797.00
04-14-2022,63.79,40.87,HOLD,-10.55,0.00,-752.00
04-13-2022,64.70,43.85,HOLD,-9.27,0.00,-661.00
04-12-2022,64.49,42.96,HOLD,-9.56,0.00,-682.00
04-11-2022,63.36,38.05,HOLD,-11.15,0.00,-795.00
04-08-2022,62.87,35.82,HOLD,-11.84,0.00,-844.00
04-07-2022,63.33,36.98,HOLD,-11.19,0.00,-798.00
04-06-2022,64.60,40.32,HOLD,-9.41,0.00,-671.00
04-05-2022,65.39,42.55,HOLD,-8.30,0.00,-592.00
