Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,77.50,59.10,HOLD,0.00,0.00,0.00
08-22-2022,77.42,58.80,HOLD,0.00,0.00,0.00
08-19-2022,79.21,69.38,HOLD,0.00,0.00,0.00
08-18-2022,80.14,75.97,HOLD,0.00,0.00,0.00
08-17-2022,79.64,74.78,HOLD,0.00,0.00,0.00
08-16-2022,79.57,74.61,HOLD,0.00,0.00,0.00
08-15-2022,79.63,75.00,HOLD,0.00,0.00,0.00
08-12-2022,79.48,74.69,HOLD,0.00,0.00,0.00
08-11-2022,77.89,71.22,HOLD,0.00,0.00,0.00
08-10-2022,78.33,73.83,HOLD,0.00,0.00,0.00
08-09-2022,76.38,69.19,HOLD,0.00,0.00,0.00
08-08-2022,77.58,76.98,HOLD,0.00,0.00,0.00
08-05-2022,77.54,76.90,HOLD,0.00,0.00,0.00
08-04-2022,77.51,76.84,HOLD,0.00,0.00,0.00
08-03-2022,77.20,76.29,HOLD,0.00,0.00,0.00
08-02-2022,76.44,74.92,HOLD,0.00,0.00,0.00
08-01-2022,76.52,75.34,HOLD,0.00,0.00,0.00
07-29-2022,77.13,78.50,HOLD,0.00,0.00,0.00
07-28-2022,76.71,77.90,HOLD,0.00,0.00,0.00
07-27-2022,74.43,74.35,HOLD,0.00,0.00,0.00
07-26-2022,69.53,62.22,HOLD,0.00,0.00,0.00
07-25-2022,69.59,62.56,HOLD,0.00,0.00,0.00
07-22-2022,69.82,63.79,HOLD,0.00,0.00,0.00
07-21-2022,69.95,64.45,HOLD,0.00,0.00,0.00
07-20-2022,68.70,60.81,HOLD,0.00,0.00,0.00
07-19-2022,67.65,57.41,HOLD,0.00,0.00,0.00
07-18-2022,65.22,47.64,HOLD,0.00,0.00,0.00
07-15-2022,66.12,51.72,HOLD,0.00,0.00,0.00
07-14-2022,64.74,45.02,HOLD,0.00,0.00,0.00
07-13-2022,64.17,41.93,HOLD,0.00,0.00,0.00
07-12-2022,64.38,42.75,HOLD,0.00,0.00,0.00
07-11-2022,64.97,45.05,HOLD,0.00,0.00,0.00
07-08-2022,65.88,48.83,HOLD,0.00,0.00,0.00
07-07-2022,65.82,48.56,HOLD,0.00,0.00,0.00
07-06-2022,64.46,42.31,HOLD,0.00,0.00,0.00
07-05-2022,63.95,39.75,HOLD,0.00,0.00,0.00
07-01-2022,63.75,38.77,HOLD,0.00,0.00,0.00
06-30-2022,64.38,40.72,HOLD,0.00,0.00,0.00
06-29-2022,64.37,40.67,HOLD,0.00,0.00,0.00
06-28-2022,64.72,41.68,HOLD,0.00,0.00,0.00
06-27-2022,66.12,45.89,HOLD,0.00,0.00,0.00
06-24-2022,65.85,44.89,HOLD,0.00,0.00,0.00
06-23-2022,64.03,37.71,HOLD,0.00,0.00,0.00
06-22-2022,63.35,34.76,HOLD,0.00,0.00,0.00
06-21-2022,63.41,34.90,HOLD,0.00,0.00,0.00
06-17-2022,62.90,32.83,HOLD,0.00,0.00,0.00
06-16-2022,62.51,31.28,HOLD,0.00,0.00,0.00
06-15-2022,66.12,39.01,HOLD,0.00,0.00,0.00
06-14-2022,65.53,36.63,HOLD,0.00,0.00,0.00
06-13-2022,65.22,35.41,HOLD,0.00,0.00,0.00
06-10-2022,67.55,40.94,HOLD,0.00,0.00,0.00
06-09-2022,69.14,45.44,HOLD,0.00,0.00,0.00
06-08-2022,70.50,49.79,HOLD,0.00,0.00,0.00
06-07-2022,71.59,53.60,HOLD,0.00,0.00,0.00
06-06-2022,71.25,52.55,HOLD,0.00,0.00,0.00
06-03-2022,70.88,51.43,HOLD,0.00,0.00,0.00
06-02-2022,71.98,55.00,HOLD,0.00,0.00,0.00
06-01-2022,69.28,46.56,HOLD,0.00,0.00,0.00
05-31-2022,70.86,51.84,HOLD,0.00,0.00,0.00
05-27-2022,71.33,53.52,HOLD,0.00,0.00,0.00
05-26-2022,69.92,48.91,HOLD,0.00,0.00,0.00
05-25-2022,68.75,44.69,HOLD,0.00,0.00,0.00
05-24-2022,68.99,45.40,HOLD,0.00,0.00,0.00
05-23-2022,69.40,46.58,HOLD,0.00,0.00,0.00
05-20-2022,68.43,43.34,HOLD,0.00,0.00,0.00
05-19-2022,67.59,40.44,SELL,-12.25,0.00,-944.00
05-18-2022,67.97,41.33,HOLD,-11.76,0.00,-906.00
05-17-2022,71.11,49.73,HOLD,-7.69,0.00,-592.00
05-16-2022,69.54,44.49,HOLD,-9.72,0.00,-749.00
05-13-2022,70.47,47.20,HOLD,-8.52,0.00,-656.00
05-12-2022,68.63,40.55,HOLD,-10.90,0.00,-840.00
05-11-2022,68.37,39.55,HOLD,-11.24,0.00,-866.00
05-10-2022,69.04,41.21,HOLD,-10.37,0.00,-799.00
05-09-2022,69.09,41.33,HOLD,-10.31,0.00,-794.00
05-06-2022,70.42,44.53,HOLD,-8.58,0.00,-661.00
05-05-2022,71.16,46.38,HOLD,-7.62,0.00,-587.00
05-04-2022,73.94,54.27,HOLD,-4.01,0.00,-309.00
05-03-2022,71.97,48.51,HOLD,-6.57,0.00,-506.00
05-02-2022,71.59,47.32,HOLD,-7.06,0.00,-544.00
04-29-2022,71.50,47.05,HOLD,-7.18,0.00,-553.00
04-28-2022,73.55,52.75,HOLD,-4.52,0.00,-348.00
04-27-2022,70.16,41.96,HOLD,-8.92,0.00,-687.00
04-26-2022,68.55,35.47,HOLD,-11.01,0.00,-848.00
04-25-2022,70.71,41.21,HOLD,-8.20,0.00,-632.00
04-22-2022,69.44,35.51,HOLD,-9.85,0.00,-759.00
04-21-2022,71.62,42.00,HOLD,-7.02,0.00,-541.00
04-20-2022,72.54,45.25,HOLD,-5.83,0.00,-449.00
04-19-2022,71.11,38.38,HOLD,-7.69,0.00,-592.00
04-18-2022,70.43,34.77,HOLD,-8.57,0.00,-660.00
04-14-2022,70.38,34.50,HOLD,-8.63,0.00,-665.00
04-13-2022,71.91,38.95,HOLD,-6.65,0.00,-512.00
04-12-2022,71.80,38.42,HOLD,-6.79,0.00,-523.00
04-11-2022,71.74,38.15,HOLD,-6.87,0.00,-529.00
04-08-2022,73.28,42.64,HOLD,-4.87,0.00,-375.00
04-07-2022,73.97,44.84,HOLD,-3.97,0.00,-306.00
04-06-2022,73.06,41.12,HOLD,-5.15,0.00,-397.00
04-05-2022,74.39,45.26,HOLD,-3.43,0.00,-264.00
04-04-2022,75.99,50.98,HOLD,-1.35,0.00,-104.00
04-01-2022,75.57,49.42,HOLD,-1.90,0.00,-146.00
03-31-2022,75.35,48.63,HOLD,-2.18,0.00,-168.00
03-30-2022,76.71,53.45,HOLD,-0.42,0.00,-32.00
03-29-2022,77.36,55.90,HOLD,0.43,33.00,0.00
03-28-2022,75.81,50.90,HOLD,-1.58,0.00,-122.00
03-25-2022,75.67,50.43,HOLD,-1.77,0.00,-136.00
03-24-2022,75.42,49.63,HOLD,-2.09,0.00,-161.00
03-23-2022,74.23,45.75,HOLD,-3.63,0.00,-280.00
03-22-2022,75.70,50.18,HOLD,-1.73,0.00,-133.00
03-21-2022,76.05,51.28,HOLD,-1.27,0.00,-98.00
03-18-2022,76.74,53.42,HOLD,-0.38,0.00,-29.00
03-17-2022,75.92,51.17,HOLD,-1.44,0.00,-111.00
03-16-2022,75.23,49.26,HOLD,-2.34,0.00,-180.00
03-15-2022,73.43,43.92,HOLD,-4.67,0.00,-360.00
03-14-2022,71.49,37.33,HOLD,-7.19,0.00,-554.00
03-11-2022,73.61,42.39,HOLD,-4.44,0.00,-342.00
03-10-2022,74.27,44.11,HOLD,-3.58,0.00,-276.00
03-09-2022,74.91,45.79,HOLD,-2.75,0.00,-212.00
03-08-2022,72.54,37.63,HOLD,-5.83,0.00,-449.00
03-07-2022,72.82,38.26,HOLD,-5.47,0.00,-421.00
03-04-2022,76.23,47.24,HOLD,-1.04,0.00,-80.00
03-03-2022,76.36,47.63,HOLD,-0.87,0.00,-67.00
03-02-2022,76.17,47.03,HOLD,-1.12,0.00,-86.00
03-01-2022,74.12,40.14,HOLD,-3.78,0.00,-291.00
02-28-2022,76.01,45.17,HOLD,-1.32,0.00,-102.00
02-25-2022,76.85,47.64,HOLD,-0.23,0.00,-18.00
02-24-2022,75.11,41.49,HOLD,-2.49,0.00,-192.00
02-23-2022,73.67,35.69,HOLD,-4.36,0.00,-336.00
02-22-2022,74.94,38.85,HOLD,-2.71,0.00,-209.00
02-18-2022,76.23,42.38,HOLD,-1.04,0.00,-80.00
02-17-2022,75.48,39.40,HOLD,-2.01,0.00,-155.00
02-16-2022,76.95,43.49,HOLD,-0.10,0.00,-8.00
02-15-2022,76.80,42.93,HOLD,-0.30,0.00,-23.00
02-14-2022,75.31,37.18,HOLD,-2.23,0.00,-172.00
02-11-2022,75.18,36.67,HOLD,-2.40,0.00,-185.00
02-10-2022,77.60,42.74,HOLD,0.74,57.00,0.00
02-09-2022,79.99,50.40,HOLD,3.84,296.00,0.00
02-08-2022,78.65,45.30,HOLD,2.10,162.00,0.00
02-07-2022,77.97,42.51,HOLD,1.22,94.00,0.00
02-04-2022,78.76,44.98,HOLD,2.25,173.00,0.00
02-03-2022,79.07,45.96,HOLD,2.65,204.00,0.00
02-02-2022,80.45,50.47,HOLD,4.44,342.00,0.00
02-01-2022,79.12,45.70,HOLD,2.71,209.00,0.00
01-31-2022,79.59,47.19,HOLD,3.32,256.00,0.00
01-28-2022,77.11,37.12,HOLD,0.10,8.00,0.00
01-27-2022,75.03,26.15,HOLD,-2.60,0.00,-200.00
01-26-2022,76.34,29.12,HOLD,-0.90,0.00,-69.00
01-25-2022,76.01,27.18,HOLD,-1.32,0.00,-102.00
01-24-2022,77.35,30.30,HOLD,0.42,32.00,0.00
01-21-2022,77.03,28.48,BUY,0.00,,
01-20-2022,77.91,30.52,HOLD,0.00,0.00,0.00
01-19-2022,78.51,31.96,HOLD,0.00,0.00,0.00
