Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,86.63,35.90,HOLD,-3.95,0.00,-356.00
08-22-2022,88.17,42.29,HOLD,-2.24,0.00,-202.00
08-19-2022,88.70,44.84,HOLD,-1.65,0.00,-149.00
08-18-2022,88.73,44.98,HOLD,-1.62,0.00,-146.00
08-17-2022,88.25,42.25,HOLD,-2.15,0.00,-194.00
08-16-2022,88.36,42.70,HOLD,-2.03,0.00,-183.00
08-15-2022,87.72,39.20,HOLD,-2.74,0.00,-247.00
08-12-2022,87.70,39.09,HOLD,-2.76,0.00,-249.00
08-11-2022,87.59,38.54,HOLD,-2.88,0.00,-260.00
08-10-2022,88.09,40.08,HOLD,-2.33,0.00,-210.00
08-09-2022,87.39,36.78,HOLD,-3.10,0.00,-280.00
08-08-2022,87.63,37.44,HOLD,-2.84,0.00,-256.00
08-05-2022,87.00,34.59,HOLD,-3.54,0.00,-319.00
08-04-2022,86.97,34.46,HOLD,-3.57,0.00,-322.00
08-03-2022,87.55,35.76,HOLD,-2.93,0.00,-264.00
08-02-2022,87.06,33.80,HOLD,-3.47,0.00,-313.00
08-01-2022,88.60,37.09,HOLD,-1.76,0.00,-159.00
07-29-2022,87.97,34.68,HOLD,-2.46,0.00,-222.00
07-28-2022,96.21,64.90,HOLD,6.67,602.00,0.00
07-27-2022,94.46,57.62,HOLD,4.73,427.00,0.00
07-26-2022,94.22,56.47,HOLD,4.47,403.00,0.00
07-25-2022,94.14,56.10,HOLD,4.38,395.00,0.00
07-22-2022,94.06,55.75,HOLD,4.29,387.00,0.00
07-21-2022,93.19,51.90,HOLD,3.33,300.00,0.00
07-20-2022,93.25,52.19,HOLD,3.39,306.00,0.00
07-19-2022,94.09,56.29,HOLD,4.32,390.00,0.00
07-18-2022,93.98,55.87,HOLD,4.20,379.00,0.00
07-15-2022,95.58,64.25,HOLD,5.98,539.00,0.00
07-14-2022,95.83,65.68,HOLD,6.25,564.00,0.00
07-13-2022,96.05,66.89,HOLD,6.50,586.00,0.00
07-12-2022,94.69,62.96,HOLD,4.99,450.00,0.00
07-11-2022,95.13,65.29,HOLD,5.48,494.00,0.00
07-08-2022,94.71,64.11,HOLD,5.01,452.00,0.00
07-07-2022,95.25,66.82,HOLD,5.61,506.00,0.00
07-06-2022,94.99,66.18,HOLD,5.32,480.00,0.00
07-05-2022,94.97,66.13,HOLD,5.30,478.00,0.00
07-01-2022,94.25,64.50,HOLD,4.50,406.00,0.00
06-30-2022,92.66,60.60,HOLD,2.74,247.00,0.00
06-29-2022,92.36,59.83,HOLD,2.41,217.00,0.00
06-28-2022,91.13,56.59,HOLD,1.04,94.00,0.00
06-27-2022,91.89,59.34,HOLD,1.88,170.00,0.00
06-24-2022,91.61,58.65,HOLD,1.57,142.00,0.00
06-23-2022,90.67,56.35,HOLD,0.53,48.00,0.00
06-22-2022,87.59,47.48,HOLD,-2.88,0.00,-260.00
06-21-2022,85.91,41.45,HOLD,-4.75,0.00,-428.00
06-17-2022,82.13,22.96,HOLD,-8.94,0.00,-806.00
06-16-2022,82.20,23.09,HOLD,-8.86,0.00,-799.00
06-15-2022,81.50,18.98,HOLD,-9.64,0.00,-869.00
06-14-2022,82.00,19.68,HOLD,-9.08,0.00,-819.00
06-13-2022,84.85,24.43,HOLD,-5.92,0.00,-534.00
06-10-2022,85.90,26.62,HOLD,-4.76,0.00,-429.00
06-09-2022,85.98,26.79,HOLD,-4.67,0.00,-421.00
06-08-2022,87.47,30.13,HOLD,-3.02,0.00,-272.00
06-07-2022,88.01,31.45,HOLD,-2.42,0.00,-218.00
06-06-2022,88.17,31.83,HOLD,-2.24,0.00,-202.00
06-03-2022,88.74,33.17,HOLD,-1.61,0.00,-145.00
06-02-2022,89.07,33.93,HOLD,-1.24,0.00,-112.00
06-01-2022,88.37,30.78,HOLD,-2.02,0.00,-182.00
05-31-2022,90.06,34.46,HOLD,-0.14,0.00,-13.00
05-27-2022,90.33,35.09,HOLD,0.16,14.00,0.00
05-26-2022,89.81,32.92,HOLD,-0.42,0.00,-38.00
05-25-2022,90.09,33.48,HOLD,-0.11,0.00,-10.00
05-24-2022,90.43,34.13,HOLD,0.27,24.00,0.00
05-23-2022,89.45,30.50,HOLD,-0.82,0.00,-74.00
05-20-2022,88.75,27.87,HOLD,-1.60,0.00,-144.00
05-19-2022,88.22,25.89,HOLD,-2.18,0.00,-197.00
05-18-2022,90.19,28.60,BUY,0.00,,
05-17-2022,96.86,42.57,HOLD,0.00,0.00,0.00
05-16-2022,98.64,48.44,HOLD,0.00,0.00,0.00
05-13-2022,98.15,46.55,HOLD,0.00,0.00,0.00
05-12-2022,97.69,44.80,HOLD,0.00,0.00,0.00
05-11-2022,97.68,44.76,HOLD,0.00,0.00,0.00
05-10-2022,98.00,45.66,HOLD,0.00,0.00,0.00
05-09-2022,98.36,46.64,HOLD,0.00,0.00,0.00
05-06-2022,95.73,37.54,HOLD,0.00,0.00,0.00
05-05-2022,94.78,33.75,HOLD,0.00,0.00,0.00
05-04-2022,96.53,37.66,HOLD,0.00,0.00,0.00
05-03-2022,95.66,34.14,HOLD,0.00,0.00,0.00
05-02-2022,96.24,35.38,HOLD,0.00,0.00,0.00
04-29-2022,97.56,38.31,HOLD,0.00,0.00,0.00
04-28-2022,100.40,45.92,HOLD,0.00,0.00,0.00
04-27-2022,104.16,60.74,HOLD,0.00,0.00,0.00
04-26-2022,102.59,55.12,HOLD,0.00,0.00,0.00
04-25-2022,104.03,62.77,HOLD,0.00,0.00,0.00
04-22-2022,102.79,58.12,HOLD,0.00,0.00,0.00
04-21-2022,102.96,59.06,HOLD,0.00,0.00,0.00
04-20-2022,103.08,59.69,HOLD,0.00,0.00,0.00
04-19-2022,102.35,57.10,HOLD,0.00,0.00,0.00
04-18-2022,101.21,52.69,HOLD,0.00,0.00,0.00
04-14-2022,102.65,59.92,HOLD,0.00,0.00,0.00
04-13-2022,102.85,60.99,HOLD,0.00,0.00,0.00
04-12-2022,103.91,66.92,HOLD,0.00,0.00,0.00
04-11-2022,103.98,67.33,HOLD,0.00,0.00,0.00
04-08-2022,103.45,65.89,HOLD,0.00,0.00,0.00
04-07-2022,103.42,65.81,HOLD,0.00,0.00,0.00
04-06-2022,102.08,62.17,HOLD,0.00,0.00,0.00
04-05-2022,100.90,58.56,HOLD,0.00,0.00,0.00
04-04-2022,100.81,58.28,HOLD,0.00,0.00,0.00
04-01-2022,101.36,60.62,HOLD,0.00,0.00,0.00
03-31-2022,99.38,54.52,HOLD,0.00,0.00,0.00
03-30-2022,99.23,54.02,HOLD,0.00,0.00,0.00
03-29-2022,99.82,56.28,HOLD,0.00,0.00,0.00
03-28-2022,99.23,54.51,HOLD,0.00,0.00,0.00
03-25-2022,97.97,50.54,HOLD,0.00,0.00,0.00
03-24-2022,97.24,48.10,HOLD,0.00,0.00,0.00
03-23-2022,97.14,47.77,HOLD,0.00,0.00,0.00
03-22-2022,97.86,49.88,HOLD,0.00,0.00,0.00
03-21-2022,97.54,48.95,HOLD,0.00,0.00,0.00
03-18-2022,96.94,47.25,HOLD,0.00,0.00,0.00
03-17-2022,97.28,48.09,HOLD,0.00,0.00,0.00
