Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,33.63,60.78,HOLD,0.00,0.00,0.00
08-22-2022,33.56,60.15,HOLD,0.00,0.00,0.00
08-19-2022,33.83,63.78,HOLD,0.00,0.00,0.00
08-18-2022,34.35,71.49,HOLD,0.00,0.00,0.00
08-17-2022,34.48,73.56,HOLD,0.00,0.00,0.00
08-16-2022,34.44,73.34,HOLD,0.00,0.00,0.00
08-15-2022,34.14,71.70,HOLD,0.00,0.00,0.00
08-12-2022,34.35,74.68,HOLD,0.00,0.00,0.00
08-11-2022,34.16,73.76,HOLD,0.00,0.00,0.00
08-10-2022,34.06,73.29,SELL,16.09,472.00,0.00
08-09-2022,32.67,65.19,HOLD,11.35,333.00,0.00
08-08-2022,32.82,67.23,HOLD,11.86,348.00,0.00
08-05-2022,33.11,71.24,HOLD,12.85,377.00,0.00
08-04-2022,32.83,69.62,HOLD,11.90,349.00,0.00
08-03-2022,32.50,67.61,HOLD,10.77,316.00,0.00
08-02-2022,32.15,65.37,HOLD,9.58,281.00,0.00
08-01-2022,32.60,71.27,HOLD,11.11,326.00,0.00
07-29-2022,32.33,69.75,HOLD,10.19,299.00,0.00
07-28-2022,31.71,65.90,HOLD,8.08,237.00,0.00
07-27-2022,31.83,67.44,HOLD,8.49,249.00,0.00
07-26-2022,31.16,62.94,HOLD,6.20,182.00,0.00
07-25-2022,31.35,65.32,HOLD,6.85,201.00,0.00
07-22-2022,30.89,62.09,HOLD,5.28,155.00,0.00
07-21-2022,30.99,63.28,HOLD,5.62,165.00,0.00
07-20-2022,29.73,52.71,HOLD,1.33,39.00,0.00
07-19-2022,29.72,52.61,HOLD,1.30,38.00,0.00
07-18-2022,28.83,42.50,HOLD,-1.74,0.00,-51.00
07-15-2022,28.86,42.79,HOLD,-1.64,0.00,-48.00
07-14-2022,28.18,33.37,HOLD,-3.95,0.00,-116.00
07-13-2022,28.23,33.75,HOLD,-3.78,0.00,-111.00
