Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,45.07,46.83,HOLD,3.18,139.00,0.00
08-22-2022,45.35,49.15,HOLD,3.82,167.00,0.00
08-19-2022,46.14,56.47,HOLD,5.63,246.00,0.00
08-18-2022,46.31,58.20,HOLD,6.02,263.00,0.00
08-17-2022,46.25,57.78,HOLD,5.88,257.00,0.00
08-16-2022,46.69,62.07,HOLD,6.89,301.00,0.00
08-15-2022,46.70,62.17,HOLD,6.91,302.00,0.00
08-12-2022,46.17,59.00,HOLD,5.70,249.00,0.00
08-11-2022,45.70,55.96,HOLD,4.62,202.00,0.00
08-10-2022,45.53,54.83,HOLD,4.24,185.00,0.00
08-09-2022,45.40,54.00,HOLD,3.94,172.00,0.00
08-08-2022,44.98,51.30,HOLD,2.98,130.00,0.00
08-05-2022,44.77,49.94,HOLD,2.50,109.00,0.00
08-04-2022,45.06,51.80,HOLD,3.16,138.00,0.00
08-03-2022,44.31,47.07,HOLD,1.44,63.00,0.00
08-02-2022,45.83,57.73,HOLD,4.92,215.00,0.00
08-01-2022,46.11,60.06,HOLD,5.56,243.00,0.00
07-29-2022,46.49,63.27,HOLD,6.43,281.00,0.00
07-28-2022,46.27,62.19,HOLD,5.93,259.00,0.00
07-27-2022,44.46,51.13,HOLD,1.79,78.00,0.00
07-26-2022,44.70,53.04,HOLD,2.34,102.00,0.00
07-25-2022,44.42,51.06,HOLD,1.69,74.00,0.00
07-22-2022,44.02,48.16,HOLD,0.78,34.00,0.00
07-21-2022,43.26,42.10,HOLD,-0.96,0.00,-42.00
07-20-2022,43.10,40.75,HOLD,-1.33,0.00,-58.00
07-19-2022,43.70,44.36,HOLD,0.05,2.00,0.00
07-18-2022,43.76,44.73,HOLD,0.18,8.00,0.00
07-15-2022,44.23,47.60,HOLD,1.26,55.00,0.00
07-14-2022,44.15,47.06,HOLD,1.08,47.00,0.00
07-13-2022,43.60,43.35,HOLD,-0.18,0.00,-8.00
07-12-2022,44.23,46.84,HOLD,1.26,55.00,0.00
07-11-2022,44.43,47.98,HOLD,1.72,75.00,0.00
07-08-2022,44.29,47.14,HOLD,1.40,61.00,0.00
07-07-2022,44.39,47.65,HOLD,1.63,71.00,0.00
07-06-2022,44.26,46.96,HOLD,1.33,58.00,0.00
07-05-2022,43.62,43.57,HOLD,-0.14,0.00,-6.00
07-01-2022,46.07,56.39,HOLD,5.47,239.00,0.00
06-30-2022,45.32,52.41,HOLD,3.75,164.00,0.00
06-29-2022,44.34,46.48,HOLD,1.51,66.00,0.00
06-28-2022,43.88,43.41,HOLD,0.46,20.00,0.00
06-27-2022,43.89,43.46,HOLD,0.48,21.00,0.00
06-24-2022,43.29,39.55,HOLD,-0.89,0.00,-39.00
06-23-2022,42.23,31.83,HOLD,-3.32,0.00,-145.00
06-22-2022,41.69,27.44,HOLD,-4.56,0.00,-199.00
06-21-2022,41.60,26.71,HOLD,-4.76,0.00,-208.00
06-17-2022,40.91,21.06,HOLD,-6.34,0.00,-277.00
06-16-2022,41.22,21.76,HOLD,-5.63,0.00,-246.00
06-15-2022,42.26,24.27,HOLD,-3.25,0.00,-142.00
06-14-2022,42.31,24.40,HOLD,-3.14,0.00,-137.00
06-13-2022,43.68,28.11,BUY,0.00,,
06-10-2022,46.01,36.98,HOLD,0.00,0.00,0.00
06-09-2022,46.66,40.28,HOLD,0.00,0.00,0.00
06-08-2022,48.17,49.86,HOLD,0.00,0.00,0.00
06-07-2022,49.05,57.23,HOLD,0.00,0.00,0.00
06-06-2022,48.55,53.62,HOLD,0.00,0.00,0.00
06-03-2022,48.73,55.18,HOLD,0.00,0.00,0.00
06-02-2022,48.99,57.42,HOLD,0.00,0.00,0.00
06-01-2022,49.19,59.13,HOLD,0.00,0.00,0.00
05-31-2022,49.15,58.90,HOLD,0.00,0.00,0.00
05-27-2022,49.85,64.78,HOLD,0.00,0.00,0.00
05-26-2022,49.16,61.24,HOLD,0.00,0.00,0.00
05-25-2022,49.02,60.49,HOLD,0.00,0.00,0.00
