Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,52.79,49.26,HOLD,0.00,0.00,0.00
08-22-2022,53.66,54.49,HOLD,0.00,0.00,0.00
08-19-2022,55.21,66.12,HOLD,0.00,0.00,0.00
08-18-2022,55.80,71.51,HOLD,0.00,0.00,0.00
08-17-2022,55.70,71.14,HOLD,0.00,0.00,0.00
08-16-2022,56.05,74.28,HOLD,0.00,0.00,0.00
08-15-2022,56.11,74.80,HOLD,0.00,0.00,0.00
08-12-2022,55.78,73.86,HOLD,0.00,0.00,0.00
08-11-2022,54.56,70.00,HOLD,0.00,0.00,0.00
08-10-2022,54.43,69.56,HOLD,0.00,0.00,0.00
08-09-2022,53.30,65.42,HOLD,0.00,0.00,0.00
08-08-2022,53.67,68.24,HOLD,0.00,0.00,0.00
08-05-2022,52.95,65.55,HOLD,0.00,0.00,0.00
08-04-2022,52.29,62.88,HOLD,0.00,0.00,0.00
08-03-2022,51.82,60.88,HOLD,0.00,0.00,0.00
08-02-2022,51.08,57.53,HOLD,0.00,0.00,0.00
08-01-2022,51.54,60.52,HOLD,0.00,0.00,0.00
07-29-2022,51.36,59.76,HOLD,0.00,0.00,0.00
07-28-2022,49.90,52.92,HOLD,0.00,0.00,0.00
07-27-2022,48.28,42.93,HOLD,0.00,0.00,0.00
07-26-2022,47.71,38.68,HOLD,0.00,0.00,0.00
07-25-2022,48.30,41.66,HOLD,0.00,0.00,0.00
07-22-2022,48.46,42.49,HOLD,0.00,0.00,0.00
07-21-2022,48.76,44.01,HOLD,0.00,0.00,0.00
07-20-2022,48.49,42.28,HOLD,0.00,0.00,0.00
07-19-2022,48.50,42.33,HOLD,0.00,0.00,0.00
07-18-2022,47.89,38.65,HOLD,0.00,0.00,0.00
07-15-2022,48.04,39.22,HOLD,0.00,0.00,0.00
07-14-2022,47.34,35.06,HOLD,0.00,0.00,0.00
07-13-2022,46.77,31.51,HOLD,0.00,0.00,0.00
07-12-2022,49.99,44.16,HOLD,0.00,0.00,0.00
07-11-2022,50.50,46.93,HOLD,0.00,0.00,0.00
07-08-2022,50.64,47.69,HOLD,0.00,0.00,0.00
07-07-2022,50.79,48.48,HOLD,0.00,0.00,0.00
07-06-2022,50.42,46.46,HOLD,0.00,0.00,0.00
07-05-2022,49.67,42.21,HOLD,0.00,0.00,0.00
07-01-2022,49.74,42.50,HOLD,0.00,0.00,0.00
06-30-2022,49.92,43.21,HOLD,0.00,0.00,0.00
06-29-2022,49.71,42.16,HOLD,0.00,0.00,0.00
06-28-2022,49.17,39.47,HOLD,0.00,0.00,0.00
06-27-2022,51.37,47.88,HOLD,0.00,0.00,0.00
06-24-2022,51.90,50.28,HOLD,0.00,0.00,0.00
06-23-2022,50.44,42.98,HOLD,0.00,0.00,0.00
06-22-2022,49.84,39.60,HOLD,0.00,0.00,0.00
06-21-2022,49.74,39.04,HOLD,0.00,0.00,0.00
06-17-2022,48.48,31.62,HOLD,0.00,0.00,0.00
06-16-2022,48.73,32.34,HOLD,0.00,0.00,0.00
06-15-2022,49.61,34.97,HOLD,0.00,0.00,0.00
06-14-2022,49.13,32.18,SELL,-12.53,0.00,-704.00
06-13-2022,50.08,34.93,HOLD,-10.84,0.00,-609.00
06-10-2022,51.98,41.51,HOLD,-7.46,0.00,-419.00
06-09-2022,52.84,45.08,HOLD,-5.93,0.00,-333.00
06-08-2022,53.81,49.54,HOLD,-4.20,0.00,-236.00
06-07-2022,54.96,55.60,HOLD,-2.15,0.00,-121.00
06-06-2022,54.73,54.56,HOLD,-2.56,0.00,-144.00
06-03-2022,54.44,53.29,HOLD,-3.08,0.00,-173.00
06-02-2022,55.14,56.86,HOLD,-1.83,0.00,-103.00
06-01-2022,53.91,51.57,HOLD,-4.02,0.00,-226.00
05-31-2022,53.56,49.95,HOLD,-4.65,0.00,-261.00
05-27-2022,54.12,52.57,HOLD,-3.65,0.00,-205.00
05-26-2022,52.52,44.93,HOLD,-6.50,0.00,-365.00
05-25-2022,51.68,40.23,HOLD,-7.99,0.00,-449.00
05-24-2022,51.99,41.44,HOLD,-7.44,0.00,-418.00
05-23-2022,51.93,41.13,HOLD,-7.55,0.00,-424.00
05-20-2022,51.45,38.65,HOLD,-8.40,0.00,-472.00
05-19-2022,51.34,38.10,HOLD,-8.60,0.00,-483.00
05-18-2022,51.30,37.91,HOLD,-8.67,0.00,-487.00
05-17-2022,53.25,44.00,HOLD,-5.20,0.00,-292.00
05-16-2022,52.71,41.59,HOLD,-6.16,0.00,-346.00
05-13-2022,52.69,41.50,HOLD,-6.20,0.00,-348.00
05-12-2022,52.23,39.58,HOLD,-7.01,0.00,-394.00
05-11-2022,50.58,32.18,HOLD,-9.95,0.00,-559.00
05-10-2022,51.90,35.40,HOLD,-7.60,0.00,-427.00
05-09-2022,53.10,38.67,HOLD,-5.47,0.00,-307.00
05-06-2022,53.16,38.84,HOLD,-5.36,0.00,-301.00
05-05-2022,54.18,41.67,HOLD,-3.54,0.00,-199.00
05-04-2022,57.25,52.33,HOLD,1.92,108.00,0.00
05-03-2022,54.81,41.23,HOLD,-2.42,0.00,-136.00
05-02-2022,55.00,41.94,HOLD,-2.08,0.00,-117.00
04-29-2022,55.31,43.05,HOLD,-1.53,0.00,-86.00
04-28-2022,57.44,51.86,HOLD,2.26,127.00,0.00
04-27-2022,55.74,43.26,HOLD,-0.77,0.00,-43.00
04-26-2022,55.95,44.16,HOLD,-0.39,0.00,-22.00
04-25-2022,56.95,48.67,HOLD,1.39,78.00,0.00
04-22-2022,56.95,48.67,HOLD,1.39,78.00,0.00
04-21-2022,57.71,52.15,HOLD,2.74,154.00,0.00
04-20-2022,57.02,49.08,HOLD,1.51,85.00,0.00
04-19-2022,56.70,47.63,HOLD,0.94,53.00,0.00
04-18-2022,54.95,38.78,HOLD,-2.17,0.00,-122.00
04-14-2022,56.01,42.86,HOLD,-0.28,0.00,-16.00
04-13-2022,58.98,58.96,HOLD,5.00,281.00,0.00
04-12-2022,57.69,51.63,HOLD,2.71,152.00,0.00
04-11-2022,57.97,53.56,HOLD,3.20,180.00,0.00
04-08-2022,57.69,51.89,HOLD,2.71,152.00,0.00
04-07-2022,58.71,59.07,HOLD,4.52,254.00,0.00
04-06-2022,59.73,67.78,HOLD,6.34,356.00,0.00
04-05-2022,59.32,65.90,HOLD,5.61,315.00,0.00
04-04-2022,60.15,74.00,HOLD,7.09,398.00,0.00
04-01-2022,59.67,72.17,HOLD,6.23,350.00,0.00
03-31-2022,59.40,71.10,HOLD,5.75,323.00,0.00
03-30-2022,59.71,74.13,HOLD,6.30,354.00,0.00
03-29-2022,58.98,71.47,HOLD,5.00,281.00,0.00
03-28-2022,58.46,69.39,HOLD,4.08,229.00,0.00
03-25-2022,57.58,65.43,HOLD,2.51,141.00,0.00
03-24-2022,57.35,64.31,HOLD,2.10,118.00,0.00
03-23-2022,57.07,62.95,HOLD,1.60,90.00,0.00
03-22-2022,57.75,68.86,HOLD,2.81,158.00,0.00
03-21-2022,57.76,68.95,HOLD,2.83,159.00,0.00
03-18-2022,57.87,69.86,HOLD,3.03,170.00,0.00
03-17-2022,57.14,67.18,HOLD,1.73,97.00,0.00
03-16-2022,55.97,62.16,HOLD,-0.36,0.00,-20.00
03-15-2022,55.79,61.31,HOLD,-0.68,0.00,-38.00
03-14-2022,54.49,54.50,HOLD,-2.99,0.00,-168.00
03-11-2022,53.97,51.31,HOLD,-3.92,0.00,-220.00
03-10-2022,54.47,54.73,HOLD,-3.03,0.00,-170.00
03-09-2022,54.76,56.77,HOLD,-2.51,0.00,-141.00
