Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,114.42,74.32,HOLD,0.00,0.00,0.00
08-22-2022,114.48,74.47,HOLD,0.00,0.00,0.00
08-19-2022,115.41,76.78,HOLD,0.00,0.00,0.00
08-18-2022,117.82,82.97,HOLD,0.00,0.00,0.00
08-17-2022,116.30,82.12,HOLD,0.00,0.00,0.00
08-16-2022,116.99,83.87,HOLD,0.00,0.00,0.00
08-15-2022,118.22,86.94,HOLD,0.00,0.00,0.00
08-12-2022,117.97,86.85,HOLD,0.00,0.00,0.00
08-11-2022,114.58,85.59,HOLD,0.00,0.00,0.00
08-10-2022,114.51,85.56,HOLD,0.00,0.00,0.00
08-09-2022,109.01,83.32,HOLD,0.00,0.00,0.00
08-08-2022,106.74,82.26,HOLD,0.00,0.00,0.00
08-05-2022,101.90,79.72,HOLD,0.00,0.00,0.00
08-04-2022,99.17,78.08,HOLD,0.00,0.00,0.00
08-03-2022,97.89,77.28,HOLD,0.00,0.00,0.00
08-02-2022,99.72,81.22,HOLD,0.00,0.00,0.00
08-01-2022,99.49,81.11,HOLD,0.00,0.00,0.00
07-29-2022,99.17,80.96,HOLD,0.00,0.00,0.00
07-28-2022,88.50,74.89,HOLD,0.00,0.00,0.00
07-27-2022,76.76,62.77,HOLD,0.00,0.00,0.00
07-26-2022,73.57,57.61,HOLD,0.00,0.00,0.00
07-25-2022,74.15,58.99,HOLD,0.00,0.00,0.00
07-22-2022,72.59,56.37,HOLD,0.00,0.00,0.00
07-21-2022,73.26,57.84,HOLD,0.00,0.00,0.00
07-20-2022,72.98,57.41,HOLD,0.00,0.00,0.00
07-19-2022,70.65,53.76,HOLD,0.00,0.00,0.00
07-18-2022,67.01,47.19,HOLD,0.00,0.00,0.00
07-15-2022,65.27,43.64,HOLD,0.00,0.00,0.00
07-14-2022,71.04,55.05,HOLD,0.00,0.00,0.00
07-13-2022,69.16,51.18,HOLD,0.00,0.00,0.00
07-12-2022,68.42,49.60,HOLD,0.00,0.00,0.00
07-11-2022,69.29,51.42,HOLD,0.00,0.00,0.00
07-08-2022,72.51,58.84,HOLD,0.00,0.00,0.00
07-07-2022,70.64,55.37,HOLD,0.00,0.00,0.00
07-06-2022,66.16,45.05,HOLD,0.00,0.00,0.00
07-05-2022,66.23,45.21,HOLD,0.00,0.00,0.00
07-01-2022,68.15,49.44,HOLD,0.00,0.00,0.00
06-30-2022,68.13,49.40,HOLD,0.00,0.00,0.00
06-29-2022,66.84,46.49,HOLD,0.00,0.00,0.00
06-28-2022,67.75,48.31,HOLD,0.00,0.00,0.00
06-27-2022,70.62,54.56,HOLD,0.00,0.00,0.00
06-24-2022,70.07,53.48,HOLD,0.00,0.00,0.00
06-23-2022,69.60,52.60,HOLD,0.00,0.00,0.00
06-22-2022,67.60,48.74,HOLD,0.00,0.00,0.00
06-21-2022,68.20,49.87,HOLD,0.00,0.00,0.00
06-17-2022,66.71,47.04,HOLD,0.00,0.00,0.00
06-16-2022,62.01,36.52,HOLD,0.00,0.00,0.00
06-15-2022,64.03,39.67,HOLD,0.00,0.00,0.00
06-14-2022,61.95,34.26,HOLD,0.00,0.00,0.00
06-13-2022,63.13,35.96,HOLD,0.00,0.00,0.00
06-10-2022,68.00,44.38,HOLD,0.00,0.00,0.00
06-09-2022,69.83,48.34,HOLD,0.00,0.00,0.00
06-08-2022,71.69,52.77,HOLD,0.00,0.00,0.00
06-07-2022,72.00,53.53,HOLD,0.00,0.00,0.00
06-06-2022,71.99,53.51,HOLD,0.00,0.00,0.00
06-03-2022,74.93,60.67,HOLD,0.00,0.00,0.00
06-02-2022,74.24,59.49,HOLD,0.00,0.00,0.00
06-01-2022,70.87,53.11,HOLD,0.00,0.00,0.00
05-31-2022,70.61,52.57,HOLD,0.00,0.00,0.00
05-27-2022,72.01,55.75,SELL,16.67,1029.00,0.00
05-26-2022,68.08,47.47,HOLD,10.30,636.00,0.00
05-25-2022,66.04,42.26,HOLD,7.00,432.00,0.00
05-24-2022,64.59,38.21,HOLD,4.65,287.00,0.00
