Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,61.08,42.91,HOLD,0.00,0.00,0.00
08-22-2022,61.52,44.87,HOLD,0.00,0.00,0.00
08-19-2022,62.89,51.68,HOLD,0.00,0.00,0.00
08-18-2022,63.89,57.62,HOLD,0.00,0.00,0.00
08-17-2022,64.20,59.58,HOLD,0.00,0.00,0.00
08-16-2022,64.86,63.90,HOLD,0.00,0.00,0.00
08-15-2022,65.27,66.69,HOLD,0.00,0.00,0.00
08-12-2022,65.01,65.81,SELL,15.12,854.00,0.00
08-11-2022,64.28,63.29,HOLD,13.83,781.00,0.00
08-10-2022,64.36,63.77,HOLD,13.97,789.00,0.00
08-09-2022,62.45,56.46,HOLD,10.59,598.00,0.00
08-08-2022,63.67,64.13,HOLD,12.75,720.00,0.00
08-05-2022,63.83,65.21,HOLD,13.03,736.00,0.00
08-04-2022,63.43,63.79,HOLD,12.33,696.00,0.00
08-03-2022,63.82,66.23,HOLD,13.02,735.00,0.00
08-02-2022,63.38,64.82,HOLD,12.24,691.00,0.00
08-01-2022,63.09,63.90,HOLD,11.72,662.00,0.00
07-29-2022,63.32,65.16,HOLD,12.13,685.00,0.00
07-28-2022,63.50,66.10,HOLD,12.45,703.00,0.00
07-27-2022,62.15,62.30,HOLD,10.06,568.00,0.00
07-26-2022,60.87,58.17,HOLD,7.79,440.00,0.00
07-25-2022,60.56,57.11,HOLD,7.24,409.00,0.00
07-22-2022,60.63,57.42,HOLD,7.37,416.00,0.00
07-21-2022,61.71,62.16,HOLD,9.28,524.00,0.00
07-20-2022,59.00,53.14,HOLD,4.48,253.00,0.00
07-19-2022,58.50,51.15,HOLD,3.59,203.00,0.00
07-18-2022,56.87,43.92,HOLD,0.71,40.00,0.00
07-15-2022,58.28,49.84,HOLD,3.21,181.00,0.00
07-14-2022,57.02,43.53,HOLD,0.97,55.00,0.00
07-13-2022,57.38,45.03,HOLD,1.61,91.00,0.00
07-12-2022,57.74,46.53,HOLD,2.25,127.00,0.00
07-11-2022,59.30,53.69,HOLD,5.01,283.00,0.00
07-08-2022,59.85,56.54,HOLD,5.99,338.00,0.00
07-07-2022,59.92,56.90,HOLD,6.11,345.00,0.00
07-06-2022,59.22,54.21,HOLD,4.87,275.00,0.00
07-05-2022,58.82,52.65,HOLD,4.16,235.00,0.00
07-01-2022,58.48,51.34,HOLD,3.56,201.00,0.00
06-30-2022,57.42,47.09,HOLD,1.68,95.00,0.00
06-29-2022,57.73,48.23,HOLD,2.23,126.00,0.00
06-28-2022,57.65,47.93,HOLD,2.09,118.00,0.00
06-27-2022,58.77,51.87,HOLD,4.07,230.00,0.00
06-24-2022,58.88,52.27,HOLD,4.27,241.00,0.00
06-23-2022,57.71,48.41,HOLD,2.20,124.00,0.00
06-22-2022,55.81,41.26,HOLD,-1.17,0.00,-66.00
06-21-2022,55.20,38.73,HOLD,-2.25,0.00,-127.00
06-17-2022,54.31,34.93,HOLD,-3.83,0.00,-216.00
06-16-2022,54.06,33.86,HOLD,-4.27,0.00,-241.00
06-15-2022,55.41,36.91,HOLD,-1.88,0.00,-106.00
06-14-2022,54.46,32.97,HOLD,-3.56,0.00,-201.00
06-13-2022,55.20,34.53,HOLD,-2.25,0.00,-127.00
06-10-2022,57.41,39.73,HOLD,1.66,94.00,0.00
06-09-2022,58.67,43.18,HOLD,3.90,220.00,0.00
06-08-2022,60.22,47.93,HOLD,6.64,375.00,0.00
06-07-2022,60.88,50.11,HOLD,7.81,441.00,0.00
06-06-2022,60.07,47.38,HOLD,6.38,360.00,0.00
06-03-2022,60.33,48.17,HOLD,6.84,386.00,0.00
06-02-2022,61.66,52.28,HOLD,9.19,519.00,0.00
06-01-2022,59.39,44.81,HOLD,5.17,292.00,0.00
05-31-2022,60.60,48.57,HOLD,7.31,413.00,0.00
05-27-2022,61.66,52.13,HOLD,9.19,519.00,0.00
05-26-2022,59.24,43.33,HOLD,4.91,277.00,0.00
05-25-2022,58.49,40.16,HOLD,3.58,202.00,0.00
05-24-2022,58.72,40.81,HOLD,3.98,225.00,0.00
05-23-2022,59.38,42.65,HOLD,5.15,291.00,0.00
05-20-2022,58.92,40.93,HOLD,4.34,245.00,0.00
05-19-2022,58.63,39.87,HOLD,3.83,216.00,0.00
05-18-2022,57.70,36.49,HOLD,2.18,123.00,0.00
05-17-2022,59.53,40.67,HOLD,5.42,306.00,0.00
05-16-2022,58.03,35.00,HOLD,2.76,156.00,0.00
05-13-2022,58.44,35.87,HOLD,3.49,197.00,0.00
05-12-2022,56.23,26.76,HOLD,-0.43,0.00,-24.00
05-11-2022,55.90,25.29,HOLD,-1.01,0.00,-57.00
05-10-2022,56.91,26.82,HOLD,0.78,44.00,0.00
05-09-2022,56.47,24.98,BUY,0.00,,
05-06-2022,59.94,30.61,HOLD,0.00,0.00,0.00
05-05-2022,61.15,33.02,HOLD,0.00,0.00,0.00
05-04-2022,63.41,38.24,HOLD,0.00,0.00,0.00
05-03-2022,61.87,31.38,HOLD,0.00,0.00,0.00
05-02-2022,62.16,32.00,HOLD,0.00,0.00,0.00
04-29-2022,61.95,31.08,SELL,-12.25,0.00,-865.00
04-28-2022,62.99,33.14,HOLD,-10.78,0.00,-761.00
04-27-2022,62.13,29.55,HOLD,-12.00,0.00,-847.00
04-26-2022,62.41,30.04,HOLD,-11.60,0.00,-819.00
04-25-2022,65.07,35.15,HOLD,-7.83,0.00,-553.00
04-22-2022,65.37,35.79,HOLD,-7.41,0.00,-523.00
04-21-2022,68.51,43.44,HOLD,-2.96,0.00,-209.00
04-20-2022,70.22,48.70,HOLD,-0.54,0.00,-38.00
04-19-2022,69.18,44.93,HOLD,-2.01,0.00,-142.00
04-18-2022,67.75,39.23,HOLD,-4.04,0.00,-285.00
04-14-2022,68.62,41.67,HOLD,-2.80,0.00,-198.00
04-13-2022,69.79,45.17,HOLD,-1.15,0.00,-81.00
04-12-2022,68.94,41.88,HOLD,-2.35,0.00,-166.00
04-11-2022,70.15,45.49,HOLD,-0.64,0.00,-45.00
04-08-2022,72.06,52.09,HOLD,2.07,146.00,0.00
04-07-2022,73.59,58.39,HOLD,4.24,299.00,0.00
04-06-2022,72.14,53.44,HOLD,2.18,154.00,0.00
04-05-2022,72.55,55.16,HOLD,2.76,195.00,0.00
04-04-2022,72.96,56.86,HOLD,3.34,236.00,0.00
04-01-2022,73.51,59.14,HOLD,4.12,291.00,0.00
03-31-2022,72.56,56.34,HOLD,2.78,196.00,0.00
03-30-2022,73.35,59.49,HOLD,3.90,275.00,0.00
03-29-2022,73.35,59.49,HOLD,3.90,275.00,0.00
03-28-2022,71.62,54.70,HOLD,1.44,102.00,0.00
03-25-2022,70.76,52.09,HOLD,0.23,16.00,0.00
03-24-2022,70.88,52.49,HOLD,0.40,28.00,0.00
03-23-2022,70.10,50.22,HOLD,-0.71,0.00,-50.00
03-22-2022,72.33,57.49,HOLD,2.45,173.00,0.00
03-21-2022,71.84,56.19,HOLD,1.76,124.00,0.00
03-18-2022,72.61,58.80,HOLD,2.85,201.00,0.00
03-17-2022,71.03,54.81,HOLD,0.61,43.00,0.00
03-16-2022,69.49,50.45,HOLD,-1.57,0.00,-111.00
03-15-2022,66.86,41.53,HOLD,-5.30,0.00,-374.00
03-14-2022,65.48,35.90,HOLD,-7.25,0.00,-512.00
03-11-2022,65.83,36.73,HOLD,-6.76,0.00,-477.00
03-10-2022,67.23,40.19,HOLD,-4.77,0.00,-337.00
03-09-2022,67.98,42.17,HOLD,-3.71,0.00,-262.00
03-08-2022,65.80,33.32,HOLD,-6.80,0.00,-480.00
03-07-2022,67.53,37.56,HOLD,-4.35,0.00,-307.00
03-04-2022,69.70,44.09,HOLD,-1.27,0.00,-90.00
03-03-2022,70.64,47.40,HOLD,0.06,4.00,0.00
03-02-2022,71.25,49.65,HOLD,0.92,65.00,0.00
03-01-2022,70.38,46.27,HOLD,-0.31,0.00,-22.00
02-28-2022,70.83,47.81,HOLD,0.33,23.00,0.00
02-25-2022,71.25,49.23,HOLD,0.92,65.00,0.00
02-24-2022,69.55,42.85,HOLD,-1.49,0.00,-105.00
02-23-2022,67.13,31.47,HOLD,-4.92,0.00,-347.00
02-22-2022,67.87,33.35,HOLD,-3.87,0.00,-273.00
02-18-2022,67.89,33.40,HOLD,-3.84,0.00,-271.00
02-17-2022,68.79,35.65,HOLD,-2.56,0.00,-181.00
02-16-2022,70.46,40.32,HOLD,-0.20,0.00,-14.00
02-15-2022,71.10,42.29,HOLD,0.71,50.00,0.00
02-14-2022,70.20,38.35,HOLD,-0.57,0.00,-40.00
02-11-2022,71.13,41.04,HOLD,0.75,53.00,0.00
02-10-2022,72.80,46.46,HOLD,3.12,220.00,0.00
02-09-2022,73.94,50.71,HOLD,4.73,334.00,0.00
02-08-2022,72.18,43.28,HOLD,2.24,158.00,0.00
02-07-2022,71.67,40.88,HOLD,1.52,107.00,0.00
02-04-2022,71.85,41.45,HOLD,1.77,125.00,0.00
02-03-2022,71.70,40.81,HOLD,1.56,110.00,0.00
02-02-2022,72.73,43.89,HOLD,3.02,213.00,0.00
02-01-2022,72.29,42.16,HOLD,2.39,169.00,0.00
01-31-2022,71.40,38.60,HOLD,1.13,80.00,0.00
01-28-2022,69.46,29.87,HOLD,-1.61,0.00,-114.00
01-27-2022,67.34,18.04,HOLD,-4.62,0.00,-326.00
