Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,25.75,41.97,HOLD,5.06,124.00,0.00
08-22-2022,26.30,47.31,HOLD,7.30,179.00,0.00
08-19-2022,26.69,51.65,HOLD,8.89,218.00,0.00
08-18-2022,26.65,51.22,HOLD,8.73,214.00,0.00
08-17-2022,26.67,51.43,HOLD,8.81,216.00,0.00
08-16-2022,26.58,50.59,HOLD,8.45,207.00,0.00
08-15-2022,26.84,53.07,HOLD,9.51,233.00,0.00
08-12-2022,26.34,48.56,HOLD,7.47,183.00,0.00
08-11-2022,26.07,45.96,HOLD,6.36,156.00,0.00
08-10-2022,26.27,47.61,HOLD,7.18,176.00,0.00
08-09-2022,25.86,43.75,HOLD,5.51,135.00,0.00
08-08-2022,25.35,38.52,HOLD,3.43,84.00,0.00
08-05-2022,25.12,36.03,HOLD,2.49,61.00,0.00
08-04-2022,25.22,36.63,HOLD,2.90,71.00,0.00
08-03-2022,25.32,37.20,HOLD,3.30,81.00,0.00
08-02-2022,25.70,39.38,HOLD,4.86,119.00,0.00
08-01-2022,26.22,42.55,HOLD,6.98,171.00,0.00
07-29-2022,26.25,42.74,HOLD,7.10,174.00,0.00
07-28-2022,25.58,37.09,HOLD,4.37,107.00,0.00
07-27-2022,25.16,33.25,HOLD,2.65,65.00,0.00
07-26-2022,24.54,27.17,HOLD,0.12,3.00,0.00
07-25-2022,24.39,25.64,HOLD,-0.49,0.00,-12.00
07-22-2022,24.36,25.35,HOLD,-0.61,0.00,-15.00
07-21-2022,24.51,25.82,BUY,0.00,,
07-20-2022,29.19,55.41,HOLD,0.00,0.00,0.00
07-19-2022,29.21,55.66,HOLD,0.00,0.00,0.00
07-18-2022,29.22,55.78,HOLD,0.00,0.00,0.00
07-15-2022,29.34,57.13,HOLD,0.00,0.00,0.00
07-14-2022,28.69,51.17,HOLD,0.00,0.00,0.00
07-13-2022,28.55,49.78,HOLD,0.00,0.00,0.00
07-12-2022,28.05,44.52,HOLD,0.00,0.00,0.00
07-11-2022,28.36,47.38,HOLD,0.00,0.00,0.00
07-08-2022,28.86,52.41,HOLD,0.00,0.00,0.00
07-07-2022,28.68,50.66,HOLD,0.00,0.00,0.00
07-06-2022,28.90,52.87,HOLD,0.00,0.00,0.00
07-05-2022,29.01,53.96,HOLD,0.00,0.00,0.00
07-01-2022,28.82,52.38,HOLD,0.00,0.00,0.00
06-30-2022,27.91,43.81,HOLD,0.00,0.00,0.00
06-29-2022,28.43,48.44,HOLD,0.00,0.00,0.00
06-28-2022,27.85,42.10,HOLD,0.00,0.00,0.00
06-27-2022,27.70,40.34,HOLD,0.00,0.00,0.00
06-24-2022,27.76,40.80,HOLD,0.00,0.00,0.00
06-23-2022,27.68,39.96,HOLD,0.00,0.00,0.00
06-22-2022,27.42,37.24,HOLD,0.00,0.00,0.00
06-21-2022,27.70,39.00,HOLD,0.00,0.00,0.00
06-17-2022,27.92,40.40,HOLD,0.00,0.00,0.00
06-16-2022,27.47,36.05,HOLD,0.00,0.00,0.00
06-15-2022,27.74,37.58,HOLD,0.00,0.00,0.00
06-14-2022,27.06,30.71,HOLD,0.00,0.00,0.00
06-13-2022,27.32,31.96,SELL,-14.33,0.00,-457.00
06-10-2022,29.00,42.27,HOLD,-9.06,0.00,-289.00
06-09-2022,29.24,44.16,HOLD,-8.31,0.00,-265.00
06-08-2022,30.47,56.08,HOLD,-4.45,0.00,-142.00
06-07-2022,30.40,55.45,HOLD,-4.67,0.00,-149.00
06-06-2022,29.68,48.30,HOLD,-6.93,0.00,-221.00
06-03-2022,30.13,53.26,HOLD,-5.52,0.00,-176.00
06-02-2022,30.32,55.49,HOLD,-4.92,0.00,-157.00
06-01-2022,30.39,56.30,HOLD,-4.70,0.00,-150.00
05-31-2022,30.05,53.23,HOLD,-5.77,0.00,-184.00
05-27-2022,29.68,49.65,HOLD,-6.93,0.00,-221.00
05-26-2022,29.48,47.64,HOLD,-7.56,0.00,-241.00
05-25-2022,29.65,49.19,HOLD,-7.02,0.00,-224.00
05-24-2022,29.70,49.63,HOLD,-6.87,0.00,-219.00
05-23-2022,29.28,45.85,HOLD,-8.18,0.00,-261.00
05-20-2022,28.92,42.40,HOLD,-9.31,0.00,-297.00
05-19-2022,28.51,38.24,HOLD,-10.60,0.00,-338.00
05-18-2022,28.85,40.49,HOLD,-9.53,0.00,-304.00
05-17-2022,29.67,46.64,HOLD,-6.96,0.00,-222.00
05-16-2022,29.39,43.94,HOLD,-7.84,0.00,-250.00
05-13-2022,29.15,41.59,HOLD,-8.59,0.00,-274.00
05-12-2022,28.74,37.43,HOLD,-9.88,0.00,-315.00
05-11-2022,28.67,36.72,HOLD,-10.10,0.00,-322.00
05-10-2022,28.26,32.53,HOLD,-11.38,0.00,-363.00
05-09-2022,28.90,35.98,HOLD,-9.38,0.00,-299.00
05-06-2022,29.84,42.07,HOLD,-6.43,0.00,-205.00
05-05-2022,29.91,42.57,HOLD,-6.21,0.00,-198.00
05-04-2022,29.42,37.78,HOLD,-7.75,0.00,-247.00
05-03-2022,28.61,28.65,HOLD,-10.29,0.00,-328.00
05-02-2022,29.96,37.07,HOLD,-6.05,0.00,-193.00
04-29-2022,30.46,41.24,HOLD,-4.48,0.00,-143.00
04-28-2022,31.14,48.07,HOLD,-2.35,0.00,-75.00
04-27-2022,30.60,40.84,HOLD,-4.05,0.00,-129.00
04-26-2022,31.38,50.21,HOLD,-1.60,0.00,-51.00
04-25-2022,31.38,50.21,HOLD,-1.60,0.00,-51.00
04-22-2022,31.40,50.47,HOLD,-1.54,0.00,-49.00
04-21-2022,32.01,58.98,HOLD,0.38,12.00,0.00
04-20-2022,31.50,52.80,HOLD,-1.22,0.00,-39.00
04-19-2022,31.09,46.82,HOLD,-2.51,0.00,-80.00
04-18-2022,30.93,44.26,HOLD,-3.01,0.00,-96.00
04-14-2022,31.33,49.83,HOLD,-1.76,0.00,-56.00
04-13-2022,31.30,49.38,HOLD,-1.85,0.00,-59.00
04-12-2022,31.31,49.52,HOLD,-1.82,0.00,-58.00
04-11-2022,31.31,49.52,HOLD,-1.82,0.00,-58.00
04-08-2022,31.63,53.57,HOLD,-0.82,0.00,-26.00
04-07-2022,31.74,55.01,HOLD,-0.47,0.00,-15.00
04-06-2022,31.87,56.68,HOLD,-0.06,0.00,-2.00
04-05-2022,31.31,50.69,HOLD,-1.82,0.00,-58.00
04-04-2022,31.51,53.13,HOLD,-1.19,0.00,-38.00
04-01-2022,31.75,56.13,HOLD,-0.44,0.00,-14.00
03-31-2022,31.34,51.81,HOLD,-1.72,0.00,-55.00
03-30-2022,31.69,56.20,HOLD,-0.63,0.00,-20.00
03-29-2022,32.03,60.85,HOLD,0.44,14.00,0.00
