Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,42.78,46.27,HOLD,-5.21,0.00,-235.00
08-22-2022,42.50,44.02,HOLD,-5.83,0.00,-263.00
08-19-2022,43.59,51.87,HOLD,-3.41,0.00,-154.00
08-18-2022,44.14,56.60,HOLD,-2.19,0.00,-99.00
08-17-2022,44.40,58.96,HOLD,-1.62,0.00,-73.00
08-16-2022,44.98,64.53,HOLD,-0.33,0.00,-15.00
08-15-2022,44.49,61.69,HOLD,-1.42,0.00,-64.00
08-12-2022,44.51,61.88,HOLD,-1.37,0.00,-62.00
08-11-2022,43.80,57.62,HOLD,-2.95,0.00,-133.00
08-10-2022,43.41,55.07,HOLD,-3.81,0.00,-172.00
08-09-2022,42.51,48.39,HOLD,-5.81,0.00,-262.00
08-08-2022,42.48,48.15,HOLD,-5.87,0.00,-265.00
08-05-2022,41.79,42.48,HOLD,-7.40,0.00,-334.00
08-04-2022,41.87,42.99,HOLD,-7.22,0.00,-326.00
08-03-2022,42.61,47.89,HOLD,-5.58,0.00,-252.00
08-02-2022,42.34,45.80,HOLD,-6.18,0.00,-279.00
08-01-2022,42.82,49.05,HOLD,-5.12,0.00,-231.00
07-29-2022,42.77,48.70,HOLD,-5.23,0.00,-236.00
07-28-2022,43.02,50.32,HOLD,-4.68,0.00,-211.00
07-27-2022,42.62,47.74,HOLD,-5.56,0.00,-251.00
07-26-2022,41.78,41.85,HOLD,-7.42,0.00,-335.00
07-25-2022,43.46,52.92,HOLD,-3.70,0.00,-167.00
07-22-2022,43.19,50.98,HOLD,-4.30,0.00,-194.00
07-21-2022,43.27,51.57,HOLD,-4.12,0.00,-186.00
07-20-2022,42.94,49.35,HOLD,-4.85,0.00,-219.00
07-19-2022,42.61,47.10,HOLD,-5.58,0.00,-252.00
07-18-2022,41.42,37.86,HOLD,-8.22,0.00,-371.00
07-15-2022,41.92,40.63,HOLD,-7.11,0.00,-321.00
07-14-2022,41.78,39.48,HOLD,-7.42,0.00,-335.00
07-13-2022,42.14,41.39,HOLD,-6.63,0.00,-299.00
07-12-2022,42.77,44.94,HOLD,-5.23,0.00,-236.00
07-11-2022,42.23,40.91,HOLD,-6.43,0.00,-290.00
07-08-2022,42.71,43.54,HOLD,-5.36,0.00,-242.00
07-07-2022,43.06,45.52,HOLD,-4.59,0.00,-207.00
07-06-2022,41.87,36.39,HOLD,-7.22,0.00,-326.00
07-05-2022,41.61,34.15,HOLD,-7.80,0.00,-352.00
07-01-2022,41.98,35.82,HOLD,-6.98,0.00,-315.00
06-30-2022,41.83,34.62,HOLD,-7.31,0.00,-330.00
06-29-2022,42.44,37.25,HOLD,-5.96,0.00,-269.00
06-28-2022,42.34,36.51,HOLD,-6.18,0.00,-279.00
06-27-2022,42.81,38.48,HOLD,-5.14,0.00,-232.00
06-24-2022,42.84,38.60,HOLD,-5.07,0.00,-229.00
06-23-2022,41.12,25.99,HOLD,-8.89,0.00,-401.00
06-22-2022,41.24,26.34,HOLD,-8.62,0.00,-389.00
06-21-2022,41.88,28.22,HOLD,-7.20,0.00,-325.00
06-17-2022,42.35,29.67,HOLD,-6.16,0.00,-278.00
06-16-2022,42.71,30.79,HOLD,-5.36,0.00,-242.00
06-15-2022,44.05,35.43,HOLD,-2.39,0.00,-108.00
06-14-2022,43.62,32.40,HOLD,-3.35,0.00,-151.00
06-13-2022,43.14,28.94,HOLD,-4.41,0.00,-199.00
06-10-2022,45.00,35.47,HOLD,-0.29,0.00,-13.00
06-09-2022,46.28,41.46,HOLD,2.55,115.00,0.00
06-08-2022,47.28,47.24,HOLD,4.76,215.00,0.00
06-07-2022,47.93,51.59,HOLD,6.20,280.00,0.00
06-06-2022,47.26,46.92,HOLD,4.72,213.00,0.00
06-03-2022,47.09,45.68,HOLD,4.34,196.00,0.00
06-02-2022,47.50,48.19,HOLD,5.25,237.00,0.00
06-01-2022,47.45,47.87,HOLD,5.14,232.00,0.00
