Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,188.84,58.38,HOLD,0.00,0.00,0.00
08-22-2022,187.61,56.90,HOLD,0.00,0.00,0.00
08-19-2022,189.75,60.38,HOLD,0.00,0.00,0.00
08-18-2022,191.82,63.89,HOLD,0.00,0.00,0.00
08-17-2022,188.68,60.67,HOLD,0.00,0.00,0.00
08-16-2022,194.65,72.01,HOLD,0.00,0.00,0.00
08-15-2022,194.13,71.58,HOLD,0.00,0.00,0.00
08-12-2022,195.13,73.60,HOLD,0.00,0.00,0.00
08-11-2022,192.89,71.96,HOLD,0.00,0.00,0.00
08-10-2022,190.92,70.46,HOLD,0.00,0.00,0.00
08-09-2022,184.40,64.63,HOLD,0.00,0.00,0.00
08-08-2022,187.07,69.87,HOLD,0.00,0.00,0.00
08-05-2022,183.60,66.60,HOLD,0.00,0.00,0.00
08-04-2022,181.19,64.09,HOLD,0.00,0.00,0.00
08-03-2022,178.58,61.15,HOLD,0.00,0.00,0.00
08-02-2022,178.70,61.36,HOLD,0.00,0.00,0.00
08-01-2022,181.56,66.52,HOLD,0.00,0.00,0.00
07-29-2022,183.27,69.78,HOLD,0.00,0.00,0.00
07-28-2022,179.45,66.37,HOLD,0.00,0.00,0.00
07-27-2022,171.55,57.03,HOLD,0.00,0.00,0.00
07-26-2022,169.46,53.89,HOLD,0.00,0.00,0.00
07-25-2022,173.32,61.62,HOLD,0.00,0.00,0.00
07-22-2022,173.75,62.55,HOLD,0.00,0.00,0.00
07-21-2022,171.89,60.14,HOLD,0.00,0.00,0.00
07-20-2022,173.13,62.63,HOLD,0.00,0.00,0.00
07-19-2022,174.46,65.33,HOLD,0.00,0.00,0.00
07-18-2022,168.10,57.12,HOLD,0.00,0.00,0.00
07-15-2022,167.58,56.33,HOLD,0.00,0.00,0.00
07-14-2022,165.55,53.23,HOLD,0.00,0.00,0.00
07-13-2022,162.78,48.60,HOLD,0.00,0.00,0.00
07-12-2022,164.10,50.82,HOLD,0.00,0.00,0.00
07-11-2022,164.06,50.76,HOLD,0.00,0.00,0.00
07-08-2022,165.70,53.39,HOLD,0.00,0.00,0.00
07-07-2022,166.20,54.18,HOLD,0.00,0.00,0.00
07-06-2022,161.59,47.50,HOLD,0.00,0.00,0.00
07-05-2022,159.72,44.45,HOLD,0.00,0.00,0.00
07-01-2022,159.87,44.65,HOLD,0.00,0.00,0.00
06-30-2022,157.47,40.83,HOLD,0.00,0.00,0.00
06-29-2022,157.30,40.56,HOLD,0.00,0.00,0.00
06-28-2022,157.65,40.91,HOLD,0.00,0.00,0.00
06-27-2022,162.16,45.72,HOLD,0.00,0.00,0.00
06-24-2022,162.15,45.71,HOLD,0.00,0.00,0.00
06-23-2022,157.50,39.37,HOLD,0.00,0.00,0.00
06-22-2022,155.53,36.45,HOLD,0.00,0.00,0.00
06-21-2022,158.73,39.31,HOLD,0.00,0.00,0.00
06-17-2022,154.88,33.49,SELL,-12.56,0.00,-2225.00
06-16-2022,156.56,34.84,HOLD,-11.61,0.00,-2057.00
06-15-2022,161.52,39.18,HOLD,-8.81,0.00,-1561.00
06-14-2022,161.42,39.04,HOLD,-8.87,0.00,-1571.00
06-13-2022,160.42,37.69,HOLD,-9.43,0.00,-1671.00
06-10-2022,163.73,40.45,HOLD,-7.57,0.00,-1340.00
06-09-2022,166.06,42.48,HOLD,-6.25,0.00,-1107.00
06-08-2022,168.80,44.95,HOLD,-4.70,0.00,-833.00
06-07-2022,176.57,53.06,HOLD,-0.32,0.00,-56.00
06-06-2022,181.07,58.76,HOLD,2.22,394.00,0.00
06-03-2022,179.40,57.18,HOLD,1.28,227.00,0.00
06-02-2022,177.41,55.27,HOLD,0.16,28.00,0.00
06-01-2022,172.91,50.67,HOLD,-2.38,0.00,-422.00
05-31-2022,172.58,50.32,HOLD,-2.57,0.00,-455.00
05-27-2022,174.86,52.71,HOLD,-1.28,0.00,-227.00
05-26-2022,173.18,51.12,HOLD,-2.23,0.00,-395.00
05-25-2022,167.20,45.02,HOLD,-5.61,0.00,-993.00
05-24-2022,161.94,38.78,HOLD,-8.58,0.00,-1519.00
05-23-2022,165.92,42.14,HOLD,-6.33,0.00,-1121.00
05-20-2022,164.38,40.28,HOLD,-7.20,0.00,-1275.00
05-19-2022,160.62,35.59,HOLD,-9.32,0.00,-1651.00
05-18-2022,162.85,37.20,HOLD,-8.06,0.00,-1428.00
05-17-2022,178.97,53.41,HOLD,1.04,184.00,0.00
05-16-2022,173.48,45.96,HOLD,-2.06,0.00,-365.00
05-13-2022,176.44,49.96,HOLD,-0.39,0.00,-69.00
05-12-2022,172.63,44.16,HOLD,-2.54,0.00,-450.00
05-11-2022,169.60,38.92,HOLD,-4.25,0.00,-753.00
05-10-2022,172.14,41.98,HOLD,-2.82,0.00,-499.00
05-09-2022,172.50,42.42,HOLD,-2.61,0.00,-463.00
05-06-2022,175.79,46.56,HOLD,-0.76,0.00,-134.00
05-05-2022,175.67,46.38,HOLD,-0.82,0.00,-146.00
05-04-2022,178.43,49.91,HOLD,0.73,130.00,0.00
05-03-2022,172.70,41.30,HOLD,-2.50,0.00,-443.00
