Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,63.86,49.41,HOLD,0.00,0.00,0.00
08-22-2022,64.19,51.14,HOLD,0.00,0.00,0.00
08-19-2022,65.96,61.94,HOLD,0.00,0.00,0.00
08-18-2022,66.31,64.44,HOLD,0.00,0.00,0.00
08-17-2022,65.97,63.09,HOLD,0.00,0.00,0.00
08-16-2022,66.64,67.77,HOLD,0.00,0.00,0.00
08-15-2022,65.55,63.71,HOLD,0.00,0.00,0.00
08-12-2022,65.50,63.51,HOLD,0.00,0.00,0.00
08-11-2022,64.53,59.57,HOLD,0.00,0.00,0.00
08-10-2022,64.70,60.64,HOLD,0.00,0.00,0.00
08-09-2022,64.23,58.75,HOLD,0.00,0.00,0.00
08-08-2022,64.56,60.65,HOLD,0.00,0.00,0.00
08-05-2022,64.67,61.26,HOLD,0.00,0.00,0.00
08-04-2022,64.75,61.68,HOLD,0.00,0.00,0.00
08-03-2022,65.18,63.88,HOLD,0.00,0.00,0.00
08-02-2022,64.13,60.71,HOLD,0.00,0.00,0.00
08-01-2022,65.60,68.52,HOLD,0.00,0.00,0.00
07-29-2022,65.51,68.29,HOLD,0.00,0.00,0.00
07-28-2022,64.78,66.42,HOLD,0.00,0.00,0.00
07-27-2022,64.14,64.74,HOLD,0.00,0.00,0.00
07-26-2022,62.53,60.05,HOLD,0.00,0.00,0.00
07-25-2022,62.59,60.32,HOLD,0.00,0.00,0.00
07-22-2022,62.44,59.89,HOLD,0.00,0.00,0.00
07-21-2022,63.86,66.21,HOLD,0.00,0.00,0.00
07-20-2022,63.05,64.21,HOLD,0.00,0.00,0.00
07-19-2022,62.63,63.16,HOLD,0.00,0.00,0.00
07-18-2022,60.06,55.80,HOLD,0.00,0.00,0.00
07-15-2022,59.13,52.62,HOLD,0.00,0.00,0.00
07-14-2022,57.99,48.39,HOLD,0.00,0.00,0.00
07-13-2022,58.65,50.83,HOLD,0.00,0.00,0.00
07-12-2022,58.62,50.72,HOLD,0.00,0.00,0.00
07-11-2022,59.21,52.78,HOLD,0.00,0.00,0.00
07-08-2022,61.16,60.27,HOLD,0.00,0.00,0.00
07-07-2022,61.17,60.31,SELL,17.52,912.00,0.00
07-06-2022,58.76,53.23,HOLD,12.89,671.00,0.00
07-05-2022,57.88,50.22,HOLD,11.20,583.00,0.00
07-01-2022,58.41,52.09,HOLD,12.22,636.00,0.00
06-30-2022,58.02,50.84,HOLD,11.47,597.00,0.00
06-29-2022,57.74,49.97,HOLD,10.93,569.00,0.00
06-28-2022,57.26,48.51,HOLD,10.01,521.00,0.00
06-27-2022,58.05,50.77,HOLD,11.53,600.00,0.00
06-24-2022,57.25,48.51,HOLD,9.99,520.00,0.00
06-23-2022,55.77,44.12,HOLD,7.15,372.00,0.00
06-22-2022,56.63,46.25,HOLD,8.80,458.00,0.00
06-21-2022,53.84,37.10,HOLD,3.44,179.00,0.00
06-17-2022,51.84,29.07,HOLD,-0.40,0.00,-21.00
06-16-2022,52.05,29.43,BUY,0.00,,
06-15-2022,54.63,34.38,HOLD,0.00,0.00,0.00
06-14-2022,54.81,34.76,HOLD,0.00,0.00,0.00
06-13-2022,53.79,30.75,HOLD,0.00,0.00,0.00
06-10-2022,56.12,35.36,HOLD,0.00,0.00,0.00
06-09-2022,59.70,44.98,HOLD,0.00,0.00,0.00
06-08-2022,61.29,50.67,HOLD,0.00,0.00,0.00
06-07-2022,62.49,55.60,HOLD,0.00,0.00,0.00
06-06-2022,61.75,52.98,HOLD,0.00,0.00,0.00
06-03-2022,61.68,52.74,HOLD,0.00,0.00,0.00
06-02-2022,62.48,55.82,HOLD,0.00,0.00,0.00
06-01-2022,60.40,48.56,HOLD,0.00,0.00,0.00
05-31-2022,61.46,52.66,HOLD,0.00,0.00,0.00
05-27-2022,61.19,51.69,HOLD,0.00,0.00,0.00
05-26-2022,60.02,47.38,HOLD,0.00,0.00,0.00
05-25-2022,59.40,44.96,HOLD,0.00,0.00,0.00
05-24-2022,58.50,41.33,HOLD,0.00,0.00,0.00
05-23-2022,58.01,39.30,HOLD,0.00,0.00,0.00
05-20-2022,57.52,37.29,HOLD,0.00,0.00,0.00
05-19-2022,57.52,37.29,HOLD,0.00,0.00,0.00
05-18-2022,57.96,38.27,HOLD,0.00,0.00,0.00
05-17-2022,61.34,47.12,HOLD,0.00,0.00,0.00
05-16-2022,59.04,38.08,HOLD,0.00,0.00,0.00
05-13-2022,58.63,36.27,HOLD,0.00,0.00,0.00
05-12-2022,57.76,32.39,HOLD,0.00,0.00,0.00
05-11-2022,58.81,34.77,HOLD,0.00,0.00,0.00
05-10-2022,60.62,39.38,HOLD,0.00,0.00,0.00
05-09-2022,60.83,39.96,HOLD,0.00,0.00,0.00
05-06-2022,61.08,40.61,HOLD,0.00,0.00,0.00
05-05-2022,62.00,43.00,HOLD,0.00,0.00,0.00
05-04-2022,64.91,52.02,HOLD,0.00,0.00,0.00
05-03-2022,63.27,46.11,HOLD,0.00,0.00,0.00
05-02-2022,62.12,41.40,HOLD,0.00,0.00,0.00
04-29-2022,61.44,38.46,HOLD,0.00,0.00,0.00
04-28-2022,63.37,44.33,HOLD,0.00,0.00,0.00
04-27-2022,61.47,35.29,HOLD,0.00,0.00,0.00
04-26-2022,61.92,36.60,HOLD,0.00,0.00,0.00
04-25-2022,64.90,47.40,HOLD,0.00,0.00,0.00
04-22-2022,64.82,47.01,HOLD,0.00,0.00,0.00
04-21-2022,66.55,55.22,HOLD,0.00,0.00,0.00
