Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,19.31,52.11,HOLD,0.00,0.00,0.00
08-22-2022,18.61,47.99,HOLD,0.00,0.00,0.00
08-19-2022,19.40,52.74,HOLD,0.00,0.00,0.00
08-18-2022,20.32,59.07,HOLD,0.00,0.00,0.00
08-17-2022,20.43,59.86,HOLD,0.00,0.00,0.00
08-16-2022,21.11,64.89,HOLD,0.00,0.00,0.00
08-15-2022,19.96,59.56,HOLD,0.00,0.00,0.00
08-12-2022,19.96,59.56,HOLD,0.00,0.00,0.00
08-11-2022,19.53,57.47,HOLD,0.00,0.00,0.00
08-10-2022,18.30,50.74,HOLD,0.00,0.00,0.00
08-09-2022,17.53,45.74,HOLD,0.00,0.00,0.00
08-08-2022,18.78,53.99,HOLD,0.00,0.00,0.00
08-05-2022,17.84,47.36,HOLD,0.00,0.00,0.00
08-04-2022,17.67,46.05,HOLD,0.00,0.00,0.00
08-03-2022,18.12,49.04,HOLD,0.00,0.00,0.00
08-02-2022,17.21,41.96,HOLD,0.00,0.00,0.00
08-01-2022,17.83,46.01,HOLD,0.00,0.00,0.00
07-29-2022,17.65,44.57,HOLD,0.00,0.00,0.00
07-28-2022,17.45,43.00,HOLD,0.00,0.00,0.00
07-27-2022,17.45,43.00,HOLD,0.00,0.00,0.00
07-26-2022,16.79,38.00,HOLD,0.00,0.00,0.00
07-25-2022,18.10,45.32,HOLD,0.00,0.00,0.00
07-22-2022,18.29,46.53,HOLD,0.00,0.00,0.00
07-21-2022,18.65,48.82,HOLD,0.00,0.00,0.00
07-20-2022,18.56,48.23,HOLD,0.00,0.00,0.00
07-19-2022,18.16,45.64,HOLD,0.00,0.00,0.00
07-18-2022,17.41,40.45,HOLD,0.00,0.00,0.00
07-15-2022,16.61,34.24,HOLD,0.00,0.00,0.00
07-14-2022,16.26,31.33,HOLD,0.00,0.00,0.00
07-13-2022,16.78,33.36,HOLD,0.00,0.00,0.00
07-12-2022,16.90,33.84,HOLD,0.00,0.00,0.00
07-11-2022,17.07,34.48,HOLD,0.00,0.00,0.00
07-08-2022,17.92,37.80,HOLD,0.00,0.00,0.00
07-07-2022,17.94,37.88,HOLD,0.00,0.00,0.00
07-06-2022,17.56,35.48,HOLD,0.00,0.00,0.00
07-05-2022,18.80,40.19,HOLD,0.00,0.00,0.00
07-01-2022,17.97,34.81,HOLD,0.00,0.00,0.00
06-30-2022,18.32,36.08,HOLD,0.00,0.00,0.00
06-29-2022,18.83,37.95,HOLD,0.00,0.00,0.00
06-28-2022,19.38,40.04,HOLD,0.00,0.00,0.00
06-27-2022,20.20,43.33,HOLD,0.00,0.00,0.00
06-24-2022,20.96,46.63,HOLD,0.00,0.00,0.00
06-23-2022,19.07,35.24,HOLD,0.00,0.00,0.00
06-22-2022,19.54,37.07,HOLD,0.00,0.00,0.00
06-21-2022,19.93,38.61,HOLD,0.00,0.00,0.00
06-17-2022,19.87,38.24,HOLD,0.00,0.00,0.00
