Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,90.22,36.55,HOLD,0.97,87.00,0.00
08-22-2022,93.09,48.63,HOLD,4.19,374.00,0.00
08-19-2022,95.00,61.11,HOLD,6.32,565.00,0.00
08-18-2022,95.24,63.00,HOLD,6.59,589.00,0.00
08-17-2022,94.91,61.48,HOLD,6.22,556.00,0.00
08-16-2022,95.31,64.46,HOLD,6.67,596.00,0.00
08-15-2022,95.20,64.01,HOLD,6.55,585.00,0.00
08-12-2022,94.82,62.51,HOLD,6.12,547.00,0.00
08-11-2022,94.04,59.26,HOLD,5.25,469.00,0.00
08-10-2022,94.17,60.07,HOLD,5.39,482.00,0.00
08-09-2022,93.10,55.44,HOLD,4.20,375.00,0.00
08-08-2022,93.58,58.25,HOLD,4.73,423.00,0.00
08-05-2022,93.28,56.98,HOLD,4.40,393.00,0.00
08-04-2022,93.21,56.70,HOLD,4.32,386.00,0.00
08-03-2022,93.77,59.63,HOLD,4.95,442.00,0.00
08-02-2022,93.21,57.59,HOLD,4.32,386.00,0.00
08-01-2022,93.08,57.13,HOLD,4.17,373.00,0.00
07-29-2022,92.52,55.16,HOLD,3.55,317.00,0.00
07-28-2022,93.47,59.46,HOLD,4.61,412.00,0.00
07-27-2022,93.22,58.67,HOLD,4.33,387.00,0.00
07-26-2022,91.90,54.32,HOLD,2.85,255.00,0.00
07-25-2022,90.75,50.06,HOLD,1.57,140.00,0.00
07-22-2022,90.72,49.95,HOLD,1.53,137.00,0.00
07-21-2022,90.26,48.28,HOLD,1.02,91.00,0.00
07-20-2022,89.23,44.43,HOLD,-0.13,0.00,-12.00
07-19-2022,90.33,47.97,HOLD,1.10,98.00,0.00
07-18-2022,87.90,37.81,HOLD,-1.62,0.00,-145.00
07-15-2022,89.12,41.60,HOLD,-0.26,0.00,-23.00
07-14-2022,87.51,33.43,HOLD,-2.06,0.00,-184.00
07-13-2022,87.91,34.54,HOLD,-1.61,0.00,-144.00
07-12-2022,88.69,36.76,HOLD,-0.74,0.00,-66.00
07-11-2022,88.95,37.51,HOLD,-0.45,0.00,-40.00
07-08-2022,89.48,39.01,HOLD,0.15,13.00,0.00
07-07-2022,89.50,39.06,HOLD,0.17,15.00,0.00
07-06-2022,89.62,39.37,HOLD,0.30,27.00,0.00
07-05-2022,90.49,41.57,HOLD,1.28,114.00,0.00
07-01-2022,91.38,43.91,HOLD,2.27,203.00,0.00
06-30-2022,89.75,37.99,HOLD,0.45,40.00,0.00
06-29-2022,90.42,39.58,HOLD,1.20,107.00,0.00
06-28-2022,89.20,34.96,HOLD,-0.17,0.00,-15.00
06-27-2022,90.47,37.75,HOLD,1.25,112.00,0.00
06-24-2022,90.22,36.83,HOLD,0.97,87.00,0.00
06-23-2022,88.67,30.95,HOLD,-0.76,0.00,-68.00
06-22-2022,89.25,31.99,HOLD,-0.11,0.00,-10.00
06-21-2022,88.71,29.96,HOLD,-0.72,0.00,-64.00
06-17-2022,88.22,28.16,HOLD,-1.26,0.00,-113.00
06-16-2022,87.40,25.17,HOLD,-2.18,0.00,-195.00
06-15-2022,89.35,27.72,BUY,0.00,,
06-14-2022,88.48,24.56,SELL,-12.69,0.00,-1286.00
06-13-2022,90.17,26.66,HOLD,-11.02,0.00,-1117.00
06-10-2022,92.74,30.33,HOLD,-8.49,0.00,-860.00
06-09-2022,93.20,31.04,HOLD,-8.03,0.00,-814.00
06-08-2022,96.04,35.86,HOLD,-5.23,0.00,-530.00
06-07-2022,96.47,36.66,HOLD,-4.81,0.00,-487.00
06-06-2022,95.49,33.52,HOLD,-5.77,0.00,-585.00
06-03-2022,95.48,33.49,HOLD,-5.78,0.00,-586.00
06-02-2022,98.50,38.57,HOLD,-2.80,0.00,-284.00
06-01-2022,97.78,36.43,HOLD,-3.51,0.00,-356.00
05-31-2022,100.15,40.76,HOLD,-1.17,0.00,-119.00
05-27-2022,99.08,37.65,HOLD,-2.23,0.00,-226.00
05-26-2022,99.44,38.28,HOLD,-1.87,0.00,-190.00
05-25-2022,105.54,51.86,HOLD,4.14,420.00,0.00
05-24-2022,105.59,52.00,HOLD,4.19,425.00,0.00
05-23-2022,104.26,48.56,HOLD,2.88,292.00,0.00
05-20-2022,102.53,43.69,HOLD,1.17,119.00,0.00
05-19-2022,102.75,44.18,HOLD,1.39,141.00,0.00
05-18-2022,103.57,45.98,HOLD,2.20,223.00,0.00
05-17-2022,106.26,52.50,HOLD,4.85,492.00,0.00
05-16-2022,103.81,46.03,HOLD,2.44,247.00,0.00
05-13-2022,102.67,42.65,HOLD,1.31,133.00,0.00
05-12-2022,101.11,37.70,HOLD,-0.23,0.00,-23.00
05-11-2022,100.65,36.20,HOLD,-0.68,0.00,-69.00
05-10-2022,100.31,35.12,HOLD,-1.02,0.00,-103.00
05-09-2022,99.58,32.86,HOLD,-1.74,0.00,-176.00
05-06-2022,103.45,39.66,HOLD,2.08,211.00,0.00
05-05-2022,104.55,41.96,HOLD,3.17,321.00,0.00
05-04-2022,105.83,44.75,HOLD,4.43,449.00,0.00
05-03-2022,103.11,36.39,HOLD,1.75,177.00,0.00
05-02-2022,103.14,36.44,HOLD,1.78,180.00,0.00
04-29-2022,104.36,38.71,HOLD,2.98,302.00,0.00
04-28-2022,107.15,44.62,HOLD,5.73,581.00,0.00
04-27-2022,106.63,43.12,HOLD,5.22,529.00,0.00
04-26-2022,106.78,43.43,HOLD,5.37,544.00,0.00
04-25-2022,109.48,49.48,HOLD,8.03,814.00,0.00
04-22-2022,107.80,45.06,HOLD,6.37,646.00,0.00
04-21-2022,113.09,60.54,HOLD,11.59,1175.00,0.00
04-20-2022,113.00,60.33,HOLD,11.51,1166.00,0.00
04-19-2022,110.22,52.96,HOLD,8.76,888.00,0.00
04-18-2022,108.08,45.77,HOLD,6.65,674.00,0.00
04-14-2022,109.02,48.81,HOLD,7.58,768.00,0.00
04-13-2022,110.46,53.92,HOLD,9.00,912.00,0.00
04-12-2022,110.58,54.36,HOLD,9.12,924.00,0.00
04-11-2022,111.52,57.79,HOLD,10.05,1018.00,0.00
04-08-2022,112.47,61.42,HOLD,10.98,1113.00,0.00
04-07-2022,112.33,61.09,HOLD,10.84,1099.00,0.00
04-06-2022,111.72,59.67,HOLD,10.24,1038.00,0.00
04-05-2022,110.50,56.74,HOLD,9.04,916.00,0.00
04-04-2022,110.88,57.96,HOLD,9.41,954.00,0.00
04-01-2022,112.52,63.41,HOLD,11.03,1118.00,0.00
03-31-2022,110.95,60.07,HOLD,9.48,961.00,0.00
03-30-2022,111.56,62.12,HOLD,10.08,1022.00,0.00
03-29-2022,112.38,64.87,HOLD,10.89,1104.00,0.00
03-28-2022,109.93,59.94,HOLD,8.48,859.00,0.00
03-25-2022,108.46,56.55,HOLD,7.03,712.00,0.00
03-24-2022,106.35,51.01,HOLD,4.94,501.00,0.00
03-23-2022,106.16,50.49,HOLD,4.76,482.00,0.00
03-22-2022,108.97,59.24,HOLD,7.53,763.00,0.00
03-21-2022,108.75,58.72,HOLD,7.31,741.00,0.00
03-18-2022,110.18,63.63,HOLD,8.72,884.00,0.00
03-17-2022,109.74,62.74,HOLD,8.29,840.00,0.00
03-16-2022,107.30,57.37,HOLD,5.88,596.00,0.00
03-15-2022,105.40,52.42,HOLD,4.01,406.00,0.00
03-14-2022,103.22,45.69,HOLD,1.86,188.00,0.00
03-11-2022,103.82,47.40,HOLD,2.45,248.00,0.00
03-10-2022,104.46,49.23,HOLD,3.08,312.00,0.00
03-09-2022,103.58,46.60,HOLD,2.21,224.00,0.00
03-08-2022,104.09,47.94,HOLD,2.71,275.00,0.00
03-07-2022,106.64,55.29,HOLD,5.23,530.00,0.00
03-04-2022,108.31,60.99,HOLD,6.88,697.00,0.00
03-03-2022,107.65,59.46,HOLD,6.23,631.00,0.00
03-02-2022,106.38,56.40,HOLD,4.97,504.00,0.00
03-01-2022,103.66,48.70,HOLD,2.29,232.00,0.00
02-28-2022,104.99,52.94,HOLD,3.60,365.00,0.00
02-25-2022,105.84,55.83,HOLD,4.44,450.00,0.00
02-24-2022,103.33,48.06,HOLD,1.96,199.00,0.00
02-23-2022,103.03,47.03,HOLD,1.67,169.00,0.00
02-22-2022,103.72,49.12,HOLD,2.35,238.00,0.00
02-18-2022,100.58,37.37,HOLD,-0.75,0.00,-76.00
02-17-2022,101.70,40.46,HOLD,0.36,36.00,0.00
02-16-2022,103.15,44.93,HOLD,1.79,181.00,0.00
02-15-2022,103.91,47.49,HOLD,2.54,257.00,0.00
02-14-2022,102.31,40.92,HOLD,0.96,97.00,0.00
02-11-2022,102.99,43.05,HOLD,1.63,165.00,0.00
02-10-2022,104.88,49.71,HOLD,3.49,354.00,0.00
02-09-2022,106.09,54.74,HOLD,4.69,475.00,0.00
02-08-2022,104.21,47.00,HOLD,2.83,287.00,0.00
02-07-2022,101.99,34.74,HOLD,0.64,65.00,0.00
02-04-2022,102.73,37.42,HOLD,1.37,139.00,0.00
02-03-2022,102.17,33.84,HOLD,0.82,83.00,0.00
02-02-2022,103.37,38.19,HOLD,2.00,203.00,0.00
02-01-2022,103.59,39.04,HOLD,2.22,225.00,0.00
01-31-2022,103.49,38.46,HOLD,2.12,215.00,0.00
01-28-2022,103.13,36.44,HOLD,1.77,179.00,0.00
01-27-2022,103.18,36.59,HOLD,1.82,184.00,0.00
01-26-2022,104.09,39.43,HOLD,2.71,275.00,0.00
01-25-2022,104.17,39.68,HOLD,2.79,283.00,0.00
01-24-2022,104.21,39.80,HOLD,2.83,287.00,0.00
01-21-2022,105.60,44.02,HOLD,4.20,426.00,0.00
01-20-2022,106.11,45.67,HOLD,4.71,477.00,0.00
01-19-2022,107.76,51.47,HOLD,6.34,642.00,0.00
01-18-2022,107.49,50.51,HOLD,6.07,615.00,0.00
01-14-2022,108.55,54.41,HOLD,7.11,721.00,0.00
01-13-2022,108.78,55.27,HOLD,7.34,744.00,0.00
01-12-2022,108.95,55.88,HOLD,7.51,761.00,0.00
01-11-2022,107.89,52.89,HOLD,6.46,655.00,0.00
01-10-2022,105.62,45.55,HOLD,4.22,428.00,0.00
01-07-2022,105.16,43.90,HOLD,3.77,382.00,0.00
01-06-2022,104.97,43.25,HOLD,3.58,363.00,0.00
01-05-2022,106.01,45.99,HOLD,4.61,467.00,0.00
01-04-2022,106.39,47.00,HOLD,4.98,505.00,0.00
01-03-2022,106.10,46.16,HOLD,4.70,476.00,0.00
12-31-2021,103.45,37.82,HOLD,2.08,211.00,0.00
12-30-2021,104.47,40.03,HOLD,3.09,313.00,0.00
12-29-2021,103.95,38.32,HOLD,2.58,261.00,0.00
12-28-2021,104.53,39.49,HOLD,3.15,319.00,0.00
12-27-2021,104.43,39.19,HOLD,3.05,309.00,0.00
12-23-2021,102.90,34.65,HOLD,1.54,156.00,0.00
12-22-2021,101.34,29.66,BUY,0.00,,
12-21-2021,101.65,30.09,HOLD,0.00,0.00,0.00
12-20-2021,99.53,23.12,SELL,-12.22,0.00,-1385.00
12-17-2021,100.63,24.29,HOLD,-11.25,0.00,-1275.00
12-16-2021,102.21,26.04,HOLD,-9.85,0.00,-1117.00
12-15-2021,104.94,29.45,HOLD,-7.44,0.00,-844.00
12-14-2021,111.69,42.08,HOLD,-1.49,0.00,-169.00
12-13-2021,112.86,45.20,HOLD,-0.46,0.00,-52.00
12-10-2021,112.43,43.78,HOLD,-0.84,0.00,-95.00
12-09-2021,112.81,44.73,HOLD,-0.50,0.00,-57.00
12-08-2021,112.42,43.56,HOLD,-0.85,0.00,-96.00
12-07-2021,112.27,43.13,HOLD,-0.98,0.00,-111.00
12-06-2021,110.24,37.10,HOLD,-2.77,0.00,-314.00
12-03-2021,106.87,24.81,HOLD,-5.74,0.00,-651.00
12-02-2021,107.28,25.37,HOLD,-5.38,0.00,-610.00
12-01-2021,105.47,17.76,HOLD,-6.98,0.00,-791.00
11-30-2021,106.70,18.98,HOLD,-5.89,0.00,-668.00
11-29-2021,110.28,23.32,HOLD,-2.73,0.00,-310.00
11-26-2021,111.05,24.43,HOLD,-2.06,0.00,-233.00
11-24-2021,114.44,30.36,HOLD,0.93,106.00,0.00
11-23-2021,113.38,25.08,BUY,0.00,,
11-22-2021,116.89,32.71,HOLD,0.00,0.00,0.00
11-19-2021,117.22,33.60,HOLD,0.00,0.00,0.00
11-18-2021,117.67,34.80,HOLD,0.00,0.00,0.00
11-17-2021,117.83,35.21,HOLD,0.00,0.00,0.00
11-16-2021,117.99,35.61,HOLD,0.00,0.00,0.00
11-15-2021,117.58,33.84,HOLD,0.00,0.00,0.00
11-12-2021,119.31,37.92,HOLD,0.00,0.00,0.00
11-11-2021,119.58,38.59,HOLD,0.00,0.00,0.00
11-10-2021,122.41,46.65,HOLD,0.00,0.00,0.00
11-09-2021,122.29,46.21,HOLD,0.00,0.00,0.00
11-08-2021,123.02,48.48,HOLD,0.00,0.00,0.00
11-05-2021,122.98,48.35,HOLD,0.00,0.00,0.00
11-04-2021,120.69,40.41,HOLD,0.00,0.00,0.00
11-03-2021,121.18,41.68,HOLD,0.00,0.00,0.00
11-02-2021,121.30,41.98,HOLD,0.00,0.00,0.00
11-01-2021,120.23,38.29,HOLD,0.00,0.00,0.00
10-29-2021,119.86,37.01,HOLD,0.00,0.00,0.00
10-28-2021,121.27,39.95,HOLD,0.00,0.00,0.00
10-27-2021,122.50,42.71,HOLD,0.00,0.00,0.00
10-26-2021,124.05,46.45,HOLD,0.00,0.00,0.00
10-25-2021,123.56,45.04,HOLD,0.00,0.00,0.00
10-22-2021,123.09,43.71,HOLD,0.00,0.00,0.00
10-21-2021,121.65,39.57,HOLD,0.00,0.00,0.00
10-20-2021,121.79,39.83,HOLD,0.00,0.00,0.00
10-19-2021,122.20,40.57,HOLD,0.00,0.00,0.00
10-18-2021,120.72,36.64,HOLD,0.00,0.00,0.00
10-15-2021,127.75,51.75,HOLD,0.00,0.00,0.00
10-14-2021,124.80,42.51,HOLD,0.00,0.00,0.00
10-13-2021,122.57,33.58,HOLD,0.00,0.00,0.00
10-12-2021,122.93,34.38,HOLD,0.00,0.00,0.00
10-11-2021,123.54,35.72,HOLD,0.00,0.00,0.00
10-08-2021,125.27,39.81,HOLD,0.00,0.00,0.00
10-07-2021,126.83,44.02,HOLD,0.00,0.00,0.00
10-06-2021,126.09,41.28,HOLD,0.00,0.00,0.00
10-05-2021,125.80,40.22,HOLD,0.00,0.00,0.00
10-04-2021,125.05,37.50,HOLD,0.00,0.00,0.00
10-01-2021,127.31,42.97,HOLD,0.00,0.00,0.00
09-30-2021,125.35,35.37,HOLD,0.00,0.00,0.00
09-29-2021,126.58,38.35,HOLD,0.00,0.00,0.00
09-28-2021,126.00,35.99,HOLD,0.00,0.00,0.00
