Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,20.77,54.71,HOLD,0.00,0.00,0.00
08-22-2022,20.50,51.53,HOLD,0.00,0.00,0.00
08-19-2022,20.84,56.14,HOLD,0.00,0.00,0.00
08-18-2022,21.15,60.75,HOLD,0.00,0.00,0.00
08-17-2022,21.10,60.26,HOLD,0.00,0.00,0.00
08-16-2022,21.42,65.07,HOLD,0.00,0.00,0.00
08-15-2022,21.10,62.27,HOLD,0.00,0.00,0.00
08-12-2022,21.08,62.10,HOLD,0.00,0.00,0.00
08-11-2022,20.75,59.18,HOLD,0.00,0.00,0.00
08-10-2022,20.51,56.93,HOLD,0.00,0.00,0.00
08-09-2022,19.89,50.40,HOLD,0.00,0.00,0.00
08-08-2022,20.32,55.86,HOLD,0.00,0.00,0.00
08-05-2022,19.92,51.31,HOLD,0.00,0.00,0.00
08-04-2022,19.57,46.85,HOLD,0.00,0.00,0.00
08-03-2022,19.81,49.75,HOLD,0.00,0.00,0.00
08-02-2022,19.80,49.63,HOLD,0.00,0.00,0.00
08-01-2022,20.28,55.57,HOLD,0.00,0.00,0.00
07-29-2022,20.21,54.84,HOLD,0.00,0.00,0.00
07-28-2022,20.69,61.26,HOLD,0.00,0.00,0.00
07-27-2022,20.09,55.17,HOLD,0.00,0.00,0.00
07-26-2022,19.79,51.63,HOLD,0.00,0.00,0.00
07-25-2022,20.00,54.42,HOLD,0.00,0.00,0.00
07-22-2022,20.19,57.01,HOLD,0.00,0.00,0.00
07-21-2022,20.02,55.24,HOLD,0.00,0.00,0.00
07-20-2022,19.93,54.32,HOLD,0.00,0.00,0.00
07-19-2022,19.80,53.02,HOLD,0.00,0.00,0.00
07-18-2022,19.43,49.19,HOLD,0.00,0.00,0.00
07-15-2022,19.00,44.31,HOLD,0.00,0.00,0.00
07-14-2022,18.91,43.24,HOLD,0.00,0.00,0.00
07-13-2022,19.17,45.57,HOLD,0.00,0.00,0.00
07-12-2022,19.09,44.72,HOLD,0.00,0.00,0.00
07-11-2022,18.88,42.53,HOLD,0.00,0.00,0.00
07-08-2022,19.32,46.09,HOLD,0.00,0.00,0.00
07-07-2022,19.39,46.66,HOLD,0.00,0.00,0.00
07-06-2022,19.48,47.37,HOLD,0.00,0.00,0.00
07-05-2022,20.00,51.56,HOLD,0.00,0.00,0.00
07-01-2022,19.51,47.49,HOLD,0.00,0.00,0.00
06-30-2022,19.04,43.26,HOLD,0.00,0.00,0.00
06-29-2022,19.29,45.05,HOLD,0.00,0.00,0.00
06-28-2022,19.42,45.97,HOLD,0.00,0.00,0.00
06-27-2022,19.69,47.86,HOLD,0.00,0.00,0.00
06-24-2022,20.03,50.28,HOLD,0.00,0.00,0.00
06-23-2022,19.46,46.04,HOLD,0.00,0.00,0.00
06-22-2022,18.27,35.36,HOLD,0.00,0.00,0.00
06-21-2022,18.31,35.58,HOLD,0.00,0.00,0.00
06-17-2022,18.11,33.66,HOLD,0.00,0.00,0.00
06-16-2022,17.86,31.30,HOLD,0.00,0.00,0.00
06-15-2022,18.72,35.33,HOLD,0.00,0.00,0.00
06-14-2022,18.47,33.00,HOLD,0.00,0.00,0.00
06-13-2022,18.64,33.76,HOLD,0.00,0.00,0.00
06-10-2022,19.14,36.06,HOLD,0.00,0.00,0.00
06-09-2022,19.98,40.33,HOLD,0.00,0.00,0.00
06-08-2022,20.58,43.77,HOLD,0.00,0.00,0.00
06-07-2022,21.14,47.26,HOLD,0.00,0.00,0.00
06-06-2022,21.39,48.87,HOLD,0.00,0.00,0.00
06-03-2022,21.12,47.06,HOLD,0.00,0.00,0.00
06-02-2022,21.57,49.80,HOLD,0.00,0.00,0.00
06-01-2022,21.49,49.31,HOLD,0.00,0.00,0.00
05-31-2022,21.44,49.02,HOLD,0.00,0.00,0.00
05-27-2022,21.88,51.40,HOLD,0.00,0.00,0.00
05-26-2022,21.21,47.82,HOLD,0.00,0.00,0.00
05-25-2022,20.36,42.87,HOLD,0.00,0.00,0.00
05-24-2022,18.83,32.09,HOLD,0.00,0.00,0.00
05-23-2022,19.59,35.15,HOLD,0.00,0.00,0.00
05-20-2022,19.45,34.08,HOLD,0.00,0.00,0.00
05-19-2022,19.67,34.92,HOLD,0.00,0.00,0.00
05-18-2022,20.67,39.00,HOLD,0.00,0.00,0.00
05-17-2022,23.07,52.72,HOLD,0.00,0.00,0.00
05-16-2022,22.59,49.41,HOLD,0.00,0.00,0.00
05-13-2022,22.69,50.09,HOLD,0.00,0.00,0.00
05-12-2022,22.17,46.55,HOLD,0.00,0.00,0.00
05-11-2022,21.79,43.85,HOLD,0.00,0.00,0.00
05-10-2022,22.62,48.86,HOLD,0.00,0.00,0.00
05-09-2022,24.26,61.81,HOLD,0.00,0.00,0.00
05-06-2022,22.48,47.89,HOLD,0.00,0.00,0.00
05-05-2022,22.59,48.91,HOLD,0.00,0.00,0.00
05-04-2022,23.28,55.86,HOLD,0.00,0.00,0.00
05-03-2022,23.41,57.29,HOLD,0.00,0.00,0.00
05-02-2022,22.43,48.01,HOLD,0.00,0.00,0.00
04-29-2022,23.15,56.36,HOLD,0.00,0.00,0.00
04-28-2022,23.03,55.16,HOLD,0.00,0.00,0.00
04-27-2022,22.57,50.26,HOLD,0.00,0.00,0.00
04-26-2022,22.63,50.93,HOLD,0.00,0.00,0.00
04-25-2022,23.27,58.73,HOLD,0.00,0.00,0.00
