Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,178.37,60.41,HOLD,0.00,0.00,0.00
08-22-2022,178.45,60.73,HOLD,0.00,0.00,0.00
08-19-2022,180.17,68.02,HOLD,0.00,0.00,0.00
08-18-2022,180.40,69.04,HOLD,0.00,0.00,0.00
08-17-2022,180.22,68.70,HOLD,0.00,0.00,0.00
08-16-2022,180.32,69.10,HOLD,0.00,0.00,0.00
08-15-2022,179.28,67.27,HOLD,0.00,0.00,0.00
08-12-2022,177.33,63.53,HOLD,0.00,0.00,0.00
08-11-2022,175.04,58.34,HOLD,0.00,0.00,0.00
08-10-2022,175.94,61.54,HOLD,0.00,0.00,0.00
08-09-2022,174.50,58.13,HOLD,0.00,0.00,0.00
08-08-2022,173.85,56.51,HOLD,0.00,0.00,0.00
08-05-2022,174.55,58.78,HOLD,0.00,0.00,0.00
08-04-2022,175.87,63.22,HOLD,0.00,0.00,0.00
08-03-2022,176.83,66.63,HOLD,0.00,0.00,0.00
08-02-2022,175.49,64.12,HOLD,0.00,0.00,0.00
08-01-2022,176.95,69.39,HOLD,0.00,0.00,0.00
07-29-2022,174.96,65.84,HOLD,0.00,0.00,0.00
07-28-2022,174.84,65.62,HOLD,0.00,0.00,0.00
07-27-2022,171.59,58.85,HOLD,0.00,0.00,0.00
07-26-2022,171.83,59.66,HOLD,0.00,0.00,0.00
07-25-2022,169.85,54.94,HOLD,0.00,0.00,0.00
07-22-2022,169.61,54.33,HOLD,0.00,0.00,0.00
07-21-2022,168.51,51.58,HOLD,0.00,0.00,0.00
07-20-2022,168.26,50.96,HOLD,0.00,0.00,0.00
07-19-2022,170.06,55.76,HOLD,0.00,0.00,0.00
07-18-2022,168.26,51.52,HOLD,0.00,0.00,0.00
07-15-2022,171.12,60.01,HOLD,0.00,0.00,0.00
07-14-2022,170.98,59.70,HOLD,0.00,0.00,0.00
07-13-2022,170.10,57.85,HOLD,0.00,0.00,0.00
07-12-2022,169.50,56.58,HOLD,0.00,0.00,0.00
07-11-2022,170.47,59.25,HOLD,0.00,0.00,0.00
07-08-2022,171.88,63.29,HOLD,0.00,0.00,0.00
07-07-2022,170.36,60.60,HOLD,0.00,0.00,0.00
07-06-2022,170.70,61.54,HOLD,0.00,0.00,0.00
07-05-2022,169.01,58.59,HOLD,0.00,0.00,0.00
07-01-2022,169.39,59.54,HOLD,0.00,0.00,0.00
06-30-2022,166.66,54.62,HOLD,0.00,0.00,0.00
06-29-2022,166.73,54.78,HOLD,0.00,0.00,0.00
06-28-2022,164.01,49.49,HOLD,0.00,0.00,0.00
06-27-2022,166.35,54.59,HOLD,0.00,0.00,0.00
06-24-2022,166.13,54.18,HOLD,0.00,0.00,0.00
06-23-2022,164.10,50.31,HOLD,0.00,0.00,0.00
06-22-2022,162.03,45.99,HOLD,0.00,0.00,0.00
06-21-2022,160.71,43.06,HOLD,0.00,0.00,0.00
06-17-2022,157.06,33.85,HOLD,0.00,0.00,0.00
06-16-2022,157.03,33.77,HOLD,0.00,0.00,0.00
06-15-2022,157.79,34.78,HOLD,0.00,0.00,0.00
