Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,36.91,43.96,HOLD,0.00,0.00,0.00
08-22-2022,36.36,41.15,HOLD,0.00,0.00,0.00
08-19-2022,37.50,45.54,HOLD,0.00,0.00,0.00
08-18-2022,39.06,52.70,HOLD,0.00,0.00,0.00
08-17-2022,38.96,52.25,HOLD,0.00,0.00,0.00
08-16-2022,40.29,59.15,HOLD,0.00,0.00,0.00
08-15-2022,39.86,57.47,HOLD,0.00,0.00,0.00
08-12-2022,39.34,55.40,HOLD,0.00,0.00,0.00
08-11-2022,38.67,52.65,HOLD,0.00,0.00,0.00
08-10-2022,38.69,52.74,HOLD,0.00,0.00,0.00
08-09-2022,37.80,49.14,HOLD,0.00,0.00,0.00
08-08-2022,38.65,52.70,HOLD,0.00,0.00,0.00
08-05-2022,37.82,49.37,HOLD,0.00,0.00,0.00
08-04-2022,38.63,52.73,HOLD,0.00,0.00,0.00
08-03-2022,38.63,52.73,HOLD,0.00,0.00,0.00
08-02-2022,37.23,47.39,HOLD,0.00,0.00,0.00
08-01-2022,37.69,49.08,HOLD,0.00,0.00,0.00
07-29-2022,36.75,45.39,HOLD,0.00,0.00,0.00
07-28-2022,36.74,45.35,HOLD,0.00,0.00,0.00
07-27-2022,36.42,44.16,HOLD,0.00,0.00,0.00
07-26-2022,35.34,40.06,HOLD,0.00,0.00,0.00
07-25-2022,36.34,42.76,HOLD,0.00,0.00,0.00
07-22-2022,36.33,42.72,HOLD,0.00,0.00,0.00
07-21-2022,37.44,45.66,HOLD,0.00,0.00,0.00
07-20-2022,41.68,60.43,HOLD,0.00,0.00,0.00
07-19-2022,41.47,59.83,HOLD,0.00,0.00,0.00
07-18-2022,39.34,53.17,HOLD,0.00,0.00,0.00
07-15-2022,38.78,51.20,HOLD,0.00,0.00,0.00
07-14-2022,37.85,47.81,HOLD,0.00,0.00,0.00
07-13-2022,37.91,48.01,HOLD,0.00,0.00,0.00
07-12-2022,38.23,49.02,HOLD,0.00,0.00,0.00
07-11-2022,35.37,38.17,HOLD,0.00,0.00,0.00
07-08-2022,36.47,41.31,HOLD,0.00,0.00,0.00
07-07-2022,36.69,41.95,HOLD,0.00,0.00,0.00
07-06-2022,36.66,41.83,HOLD,0.00,0.00,0.00
07-05-2022,36.97,42.64,HOLD,0.00,0.00,0.00
07-01-2022,36.44,40.83,HOLD,0.00,0.00,0.00
06-30-2022,35.42,37.30,HOLD,0.00,0.00,0.00
06-29-2022,35.68,37.83,HOLD,0.00,0.00,0.00
06-28-2022,36.97,40.51,HOLD,0.00,0.00,0.00
06-27-2022,37.20,40.99,HOLD,0.00,0.00,0.00
06-24-2022,38.51,43.73,HOLD,0.00,0.00,0.00
06-23-2022,35.81,35.47,HOLD,0.00,0.00,0.00
06-22-2022,36.72,37.18,HOLD,0.00,0.00,0.00
06-21-2022,36.50,36.49,HOLD,0.00,0.00,0.00
06-17-2022,36.28,35.84,HOLD,0.00,0.00,0.00
06-16-2022,34.78,31.39,HOLD,0.00,0.00,0.00
06-15-2022,37.89,36.23,HOLD,0.00,0.00,0.00
06-14-2022,36.99,33.47,HOLD,0.00,0.00,0.00
06-13-2022,37.02,33.51,HOLD,0.00,0.00,0.00
06-10-2022,41.16,40.46,HOLD,0.00,0.00,0.00
06-09-2022,42.70,43.58,HOLD,0.00,0.00,0.00
06-08-2022,44.60,47.81,HOLD,0.00,0.00,0.00
06-07-2022,46.45,52.40,HOLD,0.00,0.00,0.00
06-06-2022,44.76,48.18,HOLD,0.00,0.00,0.00
06-03-2022,44.43,47.33,HOLD,0.00,0.00,0.00
06-02-2022,45.77,50.44,HOLD,0.00,0.00,0.00
06-01-2022,45.49,49.80,HOLD,0.00,0.00,0.00
05-31-2022,47.63,54.82,HOLD,0.00,0.00,0.00
05-27-2022,48.41,56.76,HOLD,0.00,0.00,0.00
05-26-2022,46.07,52.04,HOLD,0.00,0.00,0.00
05-25-2022,43.08,44.90,HOLD,0.00,0.00,0.00
05-24-2022,41.57,40.76,HOLD,0.00,0.00,0.00
05-23-2022,44.76,47.80,HOLD,0.00,0.00,0.00
05-20-2022,43.55,44.42,HOLD,0.00,0.00,0.00
05-19-2022,44.21,45.93,HOLD,0.00,0.00,0.00
05-18-2022,44.63,46.87,HOLD,0.00,0.00,0.00
05-17-2022,46.97,52.41,HOLD,0.00,0.00,0.00
05-16-2022,43.54,43.28,HOLD,0.00,0.00,0.00
05-13-2022,43.27,42.47,HOLD,0.00,0.00,0.00
05-12-2022,41.50,37.01,HOLD,0.00,0.00,0.00
05-11-2022,43.18,40.39,HOLD,0.00,0.00,0.00
05-10-2022,44.12,42.40,HOLD,0.00,0.00,0.00
05-09-2022,43.31,40.01,HOLD,0.00,0.00,0.00
05-06-2022,47.52,50.01,HOLD,0.00,0.00,0.00
05-05-2022,48.90,54.13,HOLD,0.00,0.00,0.00
05-04-2022,51.90,64.93,HOLD,0.00,0.00,0.00
05-03-2022,51.38,63.77,HOLD,0.00,0.00,0.00
05-02-2022,50.19,61.02,HOLD,0.00,0.00,0.00
04-29-2022,50.50,62.16,HOLD,0.00,0.00,0.00
04-28-2022,51.82,67.12,HOLD,0.00,0.00,0.00
04-27-2022,50.28,64.01,HOLD,0.00,0.00,0.00
04-26-2022,48.86,60.84,HOLD,0.00,0.00,0.00
04-25-2022,51.30,70.79,HOLD,0.00,0.00,0.00
04-22-2022,51.46,71.50,HOLD,0.00,0.00,0.00
04-21-2022,50.85,70.45,HOLD,0.00,0.00,0.00
04-20-2022,46.52,60.94,HOLD,0.00,0.00,0.00
04-19-2022,45.95,59.34,HOLD,0.00,0.00,0.00
04-18-2022,43.97,53.15,HOLD,0.00,0.00,0.00
04-14-2022,45.13,57.95,HOLD,0.00,0.00,0.00
04-13-2022,45.14,57.99,HOLD,0.00,0.00,0.00
04-12-2022,42.73,49.89,HOLD,0.00,0.00,0.00
04-11-2022,42.42,48.70,HOLD,0.00,0.00,0.00
04-08-2022,41.96,46.98,HOLD,0.00,0.00,0.00
04-07-2022,42.40,48.42,HOLD,0.00,0.00,0.00
04-06-2022,43.07,50.63,HOLD,0.00,0.00,0.00
04-05-2022,44.71,56.47,HOLD,0.00,0.00,0.00
04-04-2022,45.53,59.66,HOLD,0.00,0.00,0.00
04-01-2022,45.78,60.63,HOLD,0.00,0.00,0.00
03-31-2022,46.36,62.83,HOLD,0.00,0.00,0.00
03-30-2022,45.86,61.72,HOLD,0.00,0.00,0.00
03-29-2022,45.67,61.31,HOLD,0.00,0.00,0.00
03-28-2022,43.86,57.27,HOLD,0.00,0.00,0.00
03-25-2022,43.18,55.66,HOLD,0.00,0.00,0.00
03-24-2022,42.78,54.72,HOLD,0.00,0.00,0.00
03-23-2022,41.53,51.77,HOLD,0.00,0.00,0.00
03-22-2022,42.20,53.51,HOLD,0.00,0.00,0.00
03-21-2022,40.85,50.40,HOLD,0.00,0.00,0.00
03-18-2022,42.35,54.14,HOLD,0.00,0.00,0.00
03-17-2022,41.42,52.09,HOLD,0.00,0.00,0.00
03-16-2022,41.19,51.60,HOLD,0.00,0.00,0.00
03-15-2022,38.24,44.79,SELL,22.56,704.00,0.00
03-14-2022,35.02,35.63,HOLD,12.24,382.00,0.00
03-11-2022,34.87,35.16,HOLD,11.76,367.00,0.00
03-10-2022,35.20,35.69,HOLD,12.82,400.00,0.00
03-09-2022,34.90,34.86,HOLD,11.86,370.00,0.00
03-08-2022,32.24,27.17,HOLD,3.33,104.00,0.00
03-07-2022,31.20,23.91,BUY,0.00,,
03-04-2022,36.71,30.67,HOLD,0.00,0.00,0.00
03-03-2022,40.37,37.14,HOLD,0.00,0.00,0.00
03-02-2022,42.42,41.72,HOLD,0.00,0.00,0.00
03-01-2022,41.85,39.81,HOLD,0.00,0.00,0.00
02-28-2022,44.40,46.11,HOLD,0.00,0.00,0.00
02-25-2022,45.85,50.31,HOLD,0.00,0.00,0.00
02-24-2022,44.06,44.51,HOLD,0.00,0.00,0.00
02-23-2022,43.85,43.80,HOLD,0.00,0.00,0.00
02-22-2022,46.32,50.97,HOLD,0.00,0.00,0.00
02-18-2022,47.43,54.70,HOLD,0.00,0.00,0.00
02-17-2022,48.36,58.01,HOLD,0.00,0.00,0.00
02-16-2022,50.21,65.31,HOLD,0.00,0.00,0.00
02-15-2022,50.48,66.44,HOLD,0.00,0.00,0.00
02-14-2022,46.93,57.42,HOLD,0.00,0.00,0.00
02-11-2022,46.97,57.59,HOLD,0.00,0.00,0.00
02-10-2022,49.24,67.63,HOLD,0.00,0.00,0.00
02-09-2022,48.93,66.90,SELL,15.78,667.00,0.00
02-08-2022,46.83,61.41,HOLD,10.81,457.00,0.00
02-07-2022,44.44,53.21,HOLD,5.16,218.00,0.00
02-04-2022,42.82,45.98,HOLD,1.33,56.00,0.00
02-03-2022,43.08,47.06,HOLD,1.94,82.00,0.00
02-02-2022,44.12,51.58,HOLD,4.40,186.00,0.00
02-01-2022,43.96,50.90,HOLD,4.02,170.00,0.00
01-31-2022,42.88,46.22,HOLD,1.47,62.00,0.00
01-28-2022,40.91,35.87,HOLD,-3.19,0.00,-135.00
01-27-2022,40.93,35.94,HOLD,-3.15,0.00,-133.00
01-26-2022,41.43,37.52,HOLD,-1.96,0.00,-83.00
01-25-2022,41.78,38.63,HOLD,-1.14,0.00,-48.00
01-24-2022,41.39,36.70,HOLD,-2.06,0.00,-87.00
